name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,False,feedback,"Anomaly ""Evar ?X722 was not declared."" Please report at http://coq.inria.fr/bugs/."
iterates_In,GHC/Enum.v,False,feedback,Expects a disjunctive pattern with 2 branches.
Foldable_length_cons,Data/Foldable.v,False,feedback,The LHS of hs_coq_length_list     (length _) does not match any subterm of the goal
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,True,,
instance_MonoidLaws_list,GHC/Base.v,False,add_err,"Anomaly ""Uncaught exception Option.IsNone."" Please report at http://coq.inria.fr/bugs/."
enumFromTo_Int_iterates',GHC/Enum.v,False,feedback,The LHS of eftInt_iterates'     (eftInt _ _) does not match any subterm of the goal
eftInt_aux_unroll,GHC/Enum.v,False,feedback,"In environment from : Int pf : (from <= from)%Z Unable to unify ""from :: nil"" with ""eftInt_aux from from pf""."
eq_replace_r,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a v1 : EqLaws a v2, v3, H0 : a The term ""v2"" has type ""a"" while it is expected to have type ""EqLaws a""."
N_popcount_Nsucc_double,Data/Bits/Popcount.v,False,feedback,Wrong bullet -: No more subgoals.
EqExact_Data_Either_Either,Data/Either.v,False,add_err,"Anomaly ""Uncaught exception Option.IsNone."" Please report at http://coq.inria.fr/bugs/."
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,Expects a disjunctive pattern with 3 branches.
Foldable_any_app,Data/Foldable.v,False,feedback,The LHS of IH     (any (fun y : A => v == y) (l1 ++ _)) does not match any subterm of the goal
Eq_eq_Word,GHC/Base.v,True,,
unzip_zip,GHC/List.v,False,feedback,Unexpected name (at most 1 introduction pattern was expected in the branch).
iterates'_In,GHC/Enum.v,False,feedback,The reference seq_lt was not found in the current environment.
Foldable_length_nil,Data/Foldable.v,True,,
