name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,True,,
iterates_In,GHC/Enum.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
Foldable_length_cons,Data/Foldable.v,False,feedback,The LHS of hs_coq_length_list'     (Foldable.Foldable__list_length _) does not match any subterm of the goal
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,True,,
instance_MonoidLaws_list,GHC/Base.v,False,feedback,The LHS of app_nil_r     (_ ++ nil) does not match any subterm of the goal
enumFromTo_Int_iterates',GHC/Enum.v,True,,
eftInt_aux_unroll,GHC/Enum.v,False,feedback,"In environment to, from : Int pf : (from <= to)%Z Heq : from = to Unable to unify ""from :: nil"" with ""eftInt_aux to from pf""."
eq_replace_r,GHC/Base.v,False,feedback,(in proof eq_replace_r): Attempt to save an incomplete proof
N_popcount_Nsucc_double,Data/Bits/Popcount.v,True,,
EqExact_Data_Either_Either,Data/Either.v,False,feedback,The reference eq_exact was not found in the current environment.
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,Expects a disjunctive pattern with 3 branches.
Foldable_any_app,Data/Foldable.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
Eq_eq_Word,GHC/Base.v,False,feedback,"Anomaly ""Evar ?X704 was not declared."" Please report at http://coq.inria.fr/bugs/."
unzip_zip,GHC/List.v,False,feedback,"In environment A : Type B : Type a : A b : B l : list (A * B) la : list A lb : list B H : unzip ((a, b) :: l) = (la, lb) IH : unzip l = (la, lb) -> l = zip la lb H1 : (let (as_, bs) := unzip l in (a :: as_, b :: bs)) = (la, lb) Unable to unify ""l = zip la lb"" with ""(a, b) :: l = zip la lb""."
iterates'_In,GHC/Enum.v,False,feedback,Cannot find an homogeneous relation to rewrite.
Foldable_length_nil,Data/Foldable.v,False,feedback,The LHS of Foldable_foldl'_nil     (foldl' _ _ nil) does not match any subterm of the goal
lines_def,Data/OldList.v,False,feedback,The reference List.null_iff was not found in the current environment.
eq_replace_l,GHC/Base.v,False,feedback,not a rewritable relation: (EqLaws a) in rule H0
hs_coq_foldl'_list,Data/Foldable.v,False,feedback,The LHS of IH     (foldl' f z xs) does not match any subterm of the goal
instance_MonadLaws_Data_Either_Either,Data/Either.v,False,feedback,The reference x was not found in the current environment.
eftInt_aux_pf,../base/GHC/Enum.v,False,feedback,No such assumption.
parametric_eq_sym,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a H0 : EqLaws a Unable to unify ""(H0 == ?M2028) = (?M2028 == H0)"" with  ""forall x y : a,   (fun x0 y0 : a => is_true (x0 == y0)) x y ->   (fun x0 y0 : a => is_true (x0 == y0)) y x""."
foldr_initial,GHC/Base.v,True,,
instance_SemigroupLaws_option,GHC/Base.v,False,feedback,"Unable to satisfy the following constraints: In environment: a : Type H : Semigroup a H0 : Eq_ a H1 : EqLaws a H2 : SemigroupLaws a a1, a2, a3 : a  ?H1 : ""EqLaws (option a)""  ?SemigroupLaws : ""SemigroupLaws (option a)"""
Build_EqLaws_reflect,GHC/Base.v,False,feedback,Tactic failure:  The relation reflexive is not a declared reflexive relation. Maybe you need to require the Coq.Classes.RelationClasses library.
N_popcount_diff,Data/Bits/Popcount.v,False,feedback,"In environment p1, p2 : positive Unable to unify  ""(N_popcount (Pos.ldiff p1 p2) + N_popcount (Pos.ldiff p2 p1) +    N.double (N_popcount (Pos.land p2 p1)))%N"" with ""N.pos (Pos_popcount p1 + Pos_popcount p2)""."
In_zip_swap,GHC/List.v,True,,
Eq_Symmetric,GHC/Base.v,False,feedback,Applied theorem does not have enough premises.
List_foldl_foldr,GHC/List.v,False,feedback,"Found no subterm matching ""fold_left f ys x"" in the current goal."
instance_SemigroupLaws_unit,GHC/Base.v,False,feedback,No product even after head-reduction.
dropWhile_cons_prop,../base/Data/OldList.v,False,feedback,No such assumption.
iterates'_length,GHC/Enum.v,False,feedback,The LHS of IH     (length (iterates' n f z)) does not match any subterm of the goal
hs_coq_reverse,GHC/List.v,False,feedback,The reference foldl was not found in the current environment.
