name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,True,,
iterates_In,GHC/Enum.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
Foldable_length_cons,Data/Foldable.v,False,feedback,"In environment a : Type x : a xs : list a Unable to unify ""Z.succ (length xs)"" with ""length (x :: xs)""."
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,True,,
instance_MonoidLaws_list,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a H0 : EqLaws a x : list a Unable to unify ""forall x0 : ?t, x0 == x0"" with  ""(mappend x mempty == x) = true""."
enumFromTo_Int_iterates',GHC/Enum.v,True,,
eftInt_aux_unroll,GHC/Enum.v,False,feedback,"In environment to, from : Int pf : (from <= to)%Z e : from = to Unable to unify ""eftInt_aux_rhs to from pf"" with ""eftInt_aux to from pf""."
eq_replace_r,GHC/Base.v,False,feedback,The reference eq_m was not found in the current environment.
N_popcount_Nsucc_double,Data/Bits/Popcount.v,True,,
EqExact_Data_Either_Either,Data/Either.v,False,feedback,H is already used.
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,Cannot recognize a statement based on N.
Foldable_any_app,Data/Foldable.v,False,feedback,_tmp is used in conclusion.
Eq_eq_Word,GHC/Base.v,True,,
unzip_zip,GHC/List.v,False,feedback,"In environment A : Type B : Type a : A b : B ps : list (A * B) la' : list A lb' : list B E : unzip ps = (la', lb') IH : forall (la : list A) (lb : list B),      (la', lb') = (la, lb) -> ps = zip la lb The term ""E"" has type ""unzip ps = (la', lb')"" while it is expected to have type ""(la', lb') = (la', lb')""."
iterates'_In,GHC/Enum.v,False,feedback,Not an inductive product.
Foldable_length_nil,Data/Foldable.v,True,,
