name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,True,,
iterates_In,GHC/Enum.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
Foldable_length_cons,Data/Foldable.v,False,feedback,The LHS of hs_coq_lenAcc     (List.lenAcc _ _) does not match any subterm of the goal
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,True,,
instance_MonoidLaws_list,GHC/Base.v,False,feedback,The reference Monoid__list_mappend was not found in the current environment.
enumFromTo_Int_iterates',GHC/Enum.v,True,,
eftInt_aux_unroll,GHC/Enum.v,False,feedback,The reference Z2Nat_inj was not found in the current environment.
eq_replace_r,GHC/Base.v,False,feedback,Tactic failure: Incorrect number of goals (expected 1 tactic).
N_popcount_Nsucc_double,Data/Bits/Popcount.v,True,,
EqExact_Data_Either_Either,Data/Either.v,False,feedback,"In environment a : Type b : Type H : Eq_ a H0 : EqLaws a H1 : EqExact a H2 : Eq_ b H3 : EqLaws b H4 : EqExact b a1, a2 : a e : a1 = a2 Unable to unify ""reflect ?M2111 false"" with  ""reflect (Left a1 = Left a2) (Left a1 == Left a2)""."
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,"In environment n : positive IHn : Pos_popcount (2 ^ n) = 1%positive Unable to unify ""1%positive"" with ""Pos_popcount (2 ^ n~1)""."
Foldable_any_app,Data/Foldable.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
Eq_eq_Word,GHC/Base.v,False,feedback,congruence failed.
unzip_zip,GHC/List.v,False,feedback,"In environment A : Type B : Type a : A b : B l' : list (A * B) la' : list A lb' : list B EQ : unzip l' = (la', lb') H : (a :: la', b :: lb') = (a :: la', b :: lb') IHl' : (la', lb') = (a :: la', b :: lb') -> l' = zip (a :: la') (b :: lb') The term ""la'"" has type ""list A"" while it is expected to have type  ""(la', lb') = (a :: la', b :: lb')""."
iterates'_In,GHC/Enum.v,False,feedback,Not an inductive goal with 1 constructor.
Foldable_length_nil,Data/Foldable.v,True,,
lines_def,Data/OldList.v,False,feedback,The reference lines_equation was not found in the current environment.
eq_replace_l,GHC/Base.v,False,feedback,not a rewritable relation: (EqLaws a) in rule H0
hs_coq_foldl'_list,Data/Foldable.v,False,feedback,"The LHS of IH     (Foldable__list (forall b a : Type, (b -> a -> b) -> b -> list a -> b)        (foldl'__ list) B A f _ xs) does not match any subterm of the goal"
instance_MonadLaws_Data_Either_Either,Data/Either.v,False,feedback,a is already used.
eftInt_aux_pf,../base/GHC/Enum.v,True,,
parametric_eq_sym,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a H0 : EqLaws a Unable to unify ""(H0 == ?M2028) = (?M2028 == H0)"" with  ""forall x y : a,   (fun x0 y0 : a => is_true (x0 == y0)) x y ->   (fun x0 y0 : a => is_true (x0 == y0)) y x""."
foldr_initial,GHC/Base.v,True,,
instance_SemigroupLaws_option,GHC/Base.v,False,feedback,a is already used.
Build_EqLaws_reflect,GHC/Base.v,False,feedback,"In environment t : Type H : Eq_ t X : forall x y : t, reflect (x = y) (x == y) H0 : forall x y : t, (x == y) = ~~ (x /= y) Unable to unify ""(?M2078 == ?M2079) = ~~ (?M2078 /= ?M2079)"" with  ""forall x : t, x == x""."
N_popcount_diff,Data/Bits/Popcount.v,True,,
In_zip_swap,GHC/List.v,True,,
Eq_Symmetric,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a x : EqLaws a y : a The term ""y"" has type ""a"" while it is expected to have type ""EqLaws a""."
List_foldl_foldr,GHC/List.v,False,feedback,"Found no subterm matching ""fold_left f xs x"" in the current goal."
instance_SemigroupLaws_unit,GHC/Base.v,True,,
dropWhile_cons_prop,../base/Data/OldList.v,False,feedback,The reference dropWhile_cons_prop was not found in the current environment.
iterates'_length,GHC/Enum.v,True,,
hs_coq_reverse,GHC/List.v,False,feedback,xs is already used.
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,True,,
fst_pair,Data/Tuple.v,True,,
hs_coq_foldl_list',Data/Foldable.v,True,,
instance_FunctorLaws_identity,Data/Functor/Identity.v,True,,
