name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,False,add_err,Syntax error: illegal begin of vernac.
iterates_In,GHC/Enum.v,False,feedback,Not an inductive goal with 1 constructor.
Foldable_length_cons,Data/Foldable.v,False,feedback,The LHS of Zpos_P_of_succ_nat     (Z.pos (Pos.of_succ_nat _)) does not match any subterm of the goal
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,True,,
instance_MonoidLaws_list,GHC/Base.v,False,feedback,No product even after head-reduction.
enumFromTo_Int_iterates',GHC/Enum.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
eftInt_aux_unroll,GHC/Enum.v,False,feedback,The reference eqP was not found in the current environment.
eq_replace_r,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a v1 : EqLaws a v2, v3, H0 : a The term ""v2"" has type ""a"" while it is expected to have type ""EqLaws a""."
N_popcount_Nsucc_double,Data/Bits/Popcount.v,False,feedback,The reference Pos.Nsucc_double_spec was not found in the current environment.
EqExact_Data_Either_Either,Data/Either.v,False,feedback,No product even after head-reduction.
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,"Found no subterm matching ""(?M1689 + ?M1690)%positive"" in the current goal."
Foldable_any_app,Data/Foldable.v,False,feedback,The LHS of IH     (any (fun y : A => v == y) (l1 ++ l2)) does not match any subterm of the goal
Eq_eq_Word,GHC/Base.v,False,feedback,The reference Word64_inj_iff was not found in the current environment.
unzip_zip,GHC/List.v,False,feedback,Unexpected name (at most 1 introduction pattern was expected in the branch).
iterates'_In,GHC/Enum.v,False,feedback,Expects a disjunctive pattern with 2 branches.
Foldable_length_nil,Data/Foldable.v,True,,
