name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,True,,
iterates_In,GHC/Enum.v,False,add_err,Syntax error: ']' expected after [tactic_then_gen] (in [tactic:tactic_expr]).
Foldable_length_cons,Data/Foldable.v,False,feedback,"In environment a : Type x : a xs : list a Unable to unify ""Z.succ (length xs)"" with ""length (x :: xs)""."
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,True,,
instance_MonoidLaws_list,GHC/Base.v,False,feedback,No product even after head-reduction.
enumFromTo_Int_iterates',GHC/Enum.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
eftInt_aux_unroll,GHC/Enum.v,False,feedback,"In environment to, from : Int pf, Hle : (from <= to)%Z Unable to unify  ""from   :: match Z.eq_dec from to with      | left _ => nil      | right neq =>          eftInt_aux to (from + 1)%Z (eftInt_aux_pf (y:=to) (x:=from) pf neq)      end"" with  ""eftInt_aux_func     (existT (fun y : Int => {x : Int & (x <= y)%Z}) to        (existT (Z.le^~ to) from pf))""."
eq_replace_r,GHC/Base.v,False,feedback,not a rewritable relation: a in rule H0
N_popcount_Nsucc_double,Data/Bits/Popcount.v,False,feedback,The reference N_popcount_succ_double was not found in the current environment.
EqExact_Data_Either_Either,Data/Either.v,False,feedback,Not an inductive goal with 1 constructor.
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,The reference Pos2Nat.inj_pow was not found in the current environment.
Foldable_any_app,Data/Foldable.v,False,feedback,The LHS of fold_right_app     (fold_right _ _ (_ ++ _)) does not match any subterm of the goal
Eq_eq_Word,GHC/Base.v,False,feedback,Cannot coerce reflect to an evaluable reference.
unzip_zip,GHC/List.v,False,feedback,Wrong bullet +: Current bullet + is not finished.
iterates'_In,GHC/Enum.v,False,feedback,Not an inductive goal with 1 constructor.
Foldable_length_nil,Data/Foldable.v,True,,
