name,file,result,error_type,error
Eq_eq_bool,GHC/Base.v,True,,
iterates_In,GHC/Enum.v,False,feedback,Wrong bullet +: Current bullet + is not finished.
Foldable_length_cons,Data/Foldable.v,False,feedback,"In environment a : Type x : a xs : list a Unable to unify ""Z.succ (length xs)"" with ""length (x :: xs)""."
flat_map_nil,GHC/Base.v,True,,
flat_map_unpack_cons_f,GHC/List.v,True,,
Foldable_foldl'_cons,Data/Foldable.v,False,feedback,"Found no subterm matching ""fold_left ?M2051 ?M2053                              (fold_left ?M2051 ?M2052 ?M2054)"" in the current goal."
instance_MonoidLaws_list,GHC/Base.v,False,feedback,The LHS of IH     (mappend mempty t == t) does not match any subterm of the goal
enumFromTo_Int_iterates',GHC/Enum.v,False,feedback,The LHS of Z2Nat.inj_succ     (Z.to_nat (Z.succ _)) does not match any subterm of the goal
eftInt_aux_unroll,GHC/Enum.v,False,feedback,Expects a disjunctive pattern with 3 branches.
eq_replace_r,GHC/Base.v,False,feedback,The reference eqP was not found in the current environment.
N_popcount_Nsucc_double,Data/Bits/Popcount.v,False,feedback,The reference Pos.Nsucc_double_spec was not found in the current environment.
EqExact_Data_Either_Either,Data/Either.v,False,feedback,H is already used.
Pos_popcount_pow2,Data/Bits/Popcount.v,False,feedback,The reference Pos.pow_eqn was not found in the current environment.
Foldable_any_app,Data/Foldable.v,False,feedback,The LHS of fold_right_app     (fold_right _ _ (_ ++ _)) does not match any subterm of the goal
Eq_eq_Word,GHC/Base.v,False,feedback,The term reflect is not unfoldable
unzip_zip,GHC/List.v,False,feedback,"In environment A : Type B : Type la : list A lb : list B H : ([], []) = (la, lb) Unable to unify ""zip la lb"" with ""[]""."
iterates'_In,GHC/Enum.v,False,feedback,Not an inductive product.
Foldable_length_nil,Data/Foldable.v,True,,
lines_def,Data/OldList.v,False,feedback,s is already used.
eq_replace_l,GHC/Base.v,False,feedback,The reference eqP was not found in the current environment.
hs_coq_foldl'_list,Data/Foldable.v,False,feedback,The LHS of IH     (foldl' f z l) does not match any subterm of the goal
instance_MonadLaws_Data_Either_Either,Data/Either.v,False,feedback,The reference x was not found in the current environment.
eftInt_aux_pf,../base/GHC/Enum.v,False,feedback,"In environment y, x : Int Hle : (x <= y)%Z Hneq : x <> y The term ""1"" has type ""nat"" while it is expected to have type ""Int""."
parametric_eq_sym,GHC/Base.v,False,feedback,Cannot coerce eq to an evaluable reference.
foldr_initial,GHC/Base.v,True,,
instance_SemigroupLaws_option,GHC/Base.v,False,feedback,The reference semigroup_laws_assoc was not found in the current environment.
Build_EqLaws_reflect,GHC/Base.v,False,feedback,No assumption in ((x == x) = true)
N_popcount_diff,Data/Bits/Popcount.v,False,feedback,The reference N.ldiff_land was not found in the current environment.
In_zip_swap,GHC/List.v,False,feedback,Not an inductive product.
Eq_Symmetric,GHC/Base.v,False,feedback,"In environment a : Type H : Eq_ a x : EqLaws a y, H_eq : a The term ""H_eq"" has type ""a"" while it is expected to have type ""?x = ?y""."
List_foldl_foldr,GHC/List.v,False,feedback,"Found no subterm matching ""fold_left f ys x"" in the current goal."
instance_SemigroupLaws_unit,GHC/Base.v,True,,
