name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,9,unfold;case;constructor;move;case;case;move;case;case
iterates_In,GHC/Enum.v,10,rewrite;split;intros;exists;omega;assumption;intros;exists;omega;assumption
Foldable_length_cons,Data/Foldable.v,5,unfold;simpl;rewrite;simpl;omega
flat_map_nil,GHC/Base.v,4,induction;reflexivity;simpl;apply
flat_map_unpack_cons_f,GHC/List.v,6,intros;induction;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,4,intros;unfold;simpl;reflexivity
instance_MonoidLaws_list,GHC/Base.v,17,split;intro;apply;apply;intro;apply;apply;intros;apply;reflexivity;intro;apply;induction;reflexivity;simpl;rewrite;reflexivity
enumFromTo_Int_iterates',GHC/Enum.v,0,
eftInt_aux_unroll,GHC/Enum.v,9,unfold;unfold;rewrite;reflexivity;intros;destruct;reflexivity;f_equal;apply
eq_replace_r,GHC/Base.v,23,intros;destruct;reflexivity;apply;apply;auto;rewrite;inversion;apply;apply;auto;rewrite;inversion;apply;apply;auto;rewrite;inversion;apply;apply;auto;rewrite;inversion
N_popcount_Nsucc_double,Data/Bits/Popcount.v,13,intro;destruct;simpl;induction;simpl;rewrite;reflexivity;simpl;reflexivity;reflexivity;simpl;reflexivity;reflexivity
EqExact_Data_Either_Either,Data/Either.v,24,split;intros;destruct;simpl;constructor;congruence;destruct;subst;constructor;reflexivity;constructor;intro;apply;inversion;reflexivity;destruct;subst;constructor;reflexivity;constructor;intro;apply;inversion;reflexivity
Pos_popcount_pow2,Data/Bits/Popcount.v,6,intro;induction;reflexivity;simpl;rewrite;reflexivity
Foldable_any_app,Data/Foldable.v,7,induction;simpl;reflexivity;simpl;rewrite;rewrite;reflexivity
Eq_eq_Word,GHC/Base.v,5,unfold;case;constructor;apply;rewrite
unzip_zip,GHC/List.v,16,revert;induction;intros;simpl;injection;subst;simpl;reflexivity;simpl;destruct;injection;subst;simpl;f_equal;apply;reflexivity
iterates'_In,GHC/Enum.v,18,split;intro;rewrite;apply;destruct;exists;apply;omega;exact;intro;destruct;rewrite;apply;exists;split;exact;apply;omega
Foldable_length_nil,Data/Foldable.v,2,unfold;reflexivity
lines_def,Data/OldList.v,8,unfold;destruct;reflexivity;simpl;destruct;destruct;reflexivity;reflexivity
eq_replace_l,GHC/Base.v,88,intros;destruct;destruct;auto;assert;assumption;assert;rewrite;reflexivity;assert;rewrite;reflexivity;assert;rewrite;reflexivity;assert;rewrite;reflexivity;assert;assumption;apply;apply;rewrite;rewrite;inversion;assert;assumption;assert;rewrite;reflexivity;assert;rewrite;reflexivity;assert;rewrite;reflexivity;assert;rewrite;reflexivity;assert;assumption;apply;apply;rewrite;rewrite;inversion;assert;assumption;assert;rewrite;reflexivity;assert;rewrite;reflexivity;assert;rewrite;reflexivity;assert;rewrite;reflexivity;assert;assumption;apply;apply;rewrite;rewrite;inversion;assert;assumption;assert;rewrite;reflexivity;assert;rewrite;reflexivity;assert;rewrite;reflexivity;assert;rewrite;reflexivity;assert;assumption;apply;apply;rewrite;rewrite;inversion
hs_coq_foldl'_list,Data/Foldable.v,3,rewrite;move;elim
instance_MonadLaws_Data_Either_Either,Data/Either.v,0,
eftInt_aux_pf,../base/GHC/Enum.v,2,intros;omega
parametric_eq_sym,GHC/Base.v,3,intros;apply;apply
foldr_initial,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_option,GHC/Base.v,18,split;unfold;intros;destruct;destruct;destruct;simpl;apply;rewrite;apply;intros;destruct;destruct;destruct;simpl;apply;rewrite;apply
Build_EqLaws_reflect,GHC/Base.v,0,
N_popcount_diff,Data/Bits/Popcount.v,7,intros;destruct;reflexivity;reflexivity;reflexivity;simpl;apply
In_zip_swap,GHC/List.v,20,intros;revert;induction;intros;simpl;contradiction;destruct;simpl;contradiction;simpl;destruct;inversion;subst;simpl;left;auto;simpl;right;apply;assumption
Eq_Symmetric,GHC/Base.v,3,intros;apply;exact
List_foldl_foldr,GHC/List.v,8,intros;induction;reflexivity;simpl;rewrite;simpl;rewrite;reflexivity
instance_SemigroupLaws_unit,GHC/Base.v,4,constructor;intros;destruct;reflexivity
dropWhile_cons_prop,../base/Data/OldList.v,13,intros;generalize_dependent;generalize_dependent;induction;intros;inversion;simpl;destruct;apply;assumption;injection;rewrite;assumption
iterates'_length,GHC/Enum.v,0,
hs_coq_reverse,GHC/List.v,6,unfold;induction;reflexivity;simpl;rewrite;reflexivity
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,0,
fst_pair,Data/Tuple.v,1,reflexivity
hs_coq_foldl_list',Data/Foldable.v,1,apply
instance_FunctorLaws_identity,Data/Functor/Identity.v,7,constructor;intros;destruct;reflexivity;intros;destruct;reflexivity
iter_plus_nat,GHC/Enum.v,5,induction;reflexivity;simpl;rewrite;reflexivity
Foldable_foldr_cons,Data/Foldable.v,3,unfold;simpl;reflexivity
lines_cons,Data/OldList.v,7,intros;rewrite;simpl;destruct;destruct;reflexivity;reflexivity
Foldable_foldl'_app,Data/Foldable.v,6,unfold;intros;repeat;rewrite;rewrite;auto
flat_map_cons_id,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
Eq_eq_Int,GHC/Base.v,4,unfold;apply;rewrite;reflexivity
mapAccumL_cons,Data/Traversable.v,0,
Eq_Equivalence,GHC/Base.v,4,constructor;apply;apply;apply
break_length,../base/Data/OldList.v,20,intros;revert;induction;intros;simpl;inversion;simpl;omega;simpl;destruct;inversion;subst;simpl;omega;destruct;inversion;subst;simpl;specialize;omega
Neq_sym,GHC/Base.v,4,move;rewrite;rewrite;reflexivity
mapAccumL_nil,Data/Traversable.v,4,intros;unfold;simpl;reflexivity
Eq_m,GHC/Base.v,2,intros;rewrite
EqExact_Proxy,Data/Proxy.v,0,
Neq_atrans,GHC/Base.v,0,
reverse_unit,GHC/List.v,6,intros;rewrite;rewrite;simpl;rewrite;reflexivity
hs_coq_partition,Data/OldList.v,6,induction;reflexivity;simpl;rewrite;destruct;reflexivity
Eq_Reflexive,GHC/Base.v,0,
reverse_append,GHC/List.v,5,intros;rewrite;simpl;rewrite;reflexivity
N_popcount_1_pow2,Data/Bits/Popcount.v,14,intro;destruct;exfalso;simpl;discriminate;exists;apply;destruct;rewrite;simpl;rewrite;rewrite;reflexivity;apply
iterates_length,GHC/Enum.v,0,
Pop_popcount_diff,Data/Bits/Popcount.v,0,
elem_eq,Data/Foldable.v,2,intros;apply
length_zip,GHC/List.v,13,intros;revert;induction;intros;simpl;reflexivity;destruct;simpl;omega;simpl;f_equal;apply;omega
In_zip_fst,GHC/List.v,27,intros;revert;induction;intros;simpl;destruct;simpl;omega;exists;simpl;auto;destruct;simpl;omega;simpl;simpl;destruct;exists;simpl;destruct;subst;auto;right;auto;exists;simpl;auto
instance_ApplicativeLaws_option,GHC/Base.v,0,
N_popcount_pow2,Data/Bits/Popcount.v,7,intro;induction;reflexivity;rewrite;rewrite;apply;apply
snd_unzip_map,GHC/List.v,8,induction;reflexivity;simpl;repeat;expand_pairs;simpl;f_equal;apply
words_cons,Data/OldList.v,12,intros;rewrite;simpl;destruct;rewrite;simpl;rewrite;reflexivity;rewrite;simpl;rewrite;reflexivity
dropWhile_cons_length,../base/Data/OldList.v,14,induction;intros;simpl;discriminate;intros;simpl;destruct;specialize;simpl;omega;injection;subst;simpl;omega
words_nil,Data/OldList.v,2,rewrite;reflexivity
forM_map,Data/Traversable.v,9,intros;unfold;unfold;simpl;induction;reflexivity;simpl;rewrite;reflexivity
flat_map_app,GHC/Base.v,4,rewrite;rewrite;rewrite;reflexivity
parametric_eq_trans,GHC/Base.v,2,intros;apply
safeSubN_sub,../base/GHC/Num.v,10,intros;unfold;destruct;exfalso;apply;apply;assumption;rewrite;reflexivity;assumption
EqExact_pair,GHC/Base.v,0,
hs_coq_map,GHC/Base.v,1,reflexivity
map_id,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_list,GHC/Base.v,0,
instance_MonadLaws_option,GHC/Base.v,23,split;intros;unfold;reflexivity;intros;unfold;destruct;reflexivity;intros;unfold;destruct;reflexivity;intros;unfold;destruct;reflexivity;intros;reflexivity;intros;unfold;destruct;destruct;reflexivity
iterates'_ext,GHC/Enum.v,8,intro;induction;reflexivity;simpl;rewrite;rewrite;reflexivity;assumption
Neq_neq,GHC/Base.v,10,rewrite;destruct;constructor;intro;apply;apply;constructor;intro;apply;apply
unzip_equal_length,GHC/List.v,0,
elem_nil,Data/Foldable.v,7,intros;unfold;unfold;unfold;unfold;simpl;reflexivity
instance_ApplicativeLaws_identity,Data/Functor/Identity.v,19,constructor;intros;destruct;destruct;destruct;simpl;reflexivity;destruct;reflexivity;destruct;reflexivity;destruct;reflexivity;destruct;reflexivity;destruct;reflexivity;destruct;reflexivity
hs_coq_length_list',Data/Foldable.v,2,unfold;apply
instance_SemigroupLaws_comparison,GHC/Base.v,14,split;unfold;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity
EqExact_comparison,GHC/Base.v,0,
simpl_list_nil_eq,GHC/Base.v,3,unfold;simpl;reflexivity
Foldable_foldl'_nil,Data/Foldable.v,3,unfold;simpl;auto
Foldable_elem_proper,Data/Foldable.v,28,intros;unfold;unfold;unfold;unfold;unfold;simpl;induction;simpl;destruct;reflexivity;simpl;inversion;simpl;destruct;simpl;inversion;simpl;inversion;subst;simpl;rewrite;reflexivity;subst;simpl;rewrite;reflexivity;assumption
simpl_option_some_eq,GHC/Base.v,2,unfold;reflexivity
hs_coq_foldr_list',Data/Foldable.v,3,unfold;unfold;reflexivity
instance_MonoidLaws_comparison,GHC/Base.v,41,split;unfold;unfold;intro;destruct;apply;intro;destruct;apply;intros;destruct;destruct;apply;intro;induction;apply;simpl;destruct;simpl;apply;destruct;simpl;apply;destruct;apply;destruct;apply;destruct;simpl;apply;destruct;apply;destruct;apply;destruct;simpl;apply;destruct;apply;destruct;apply
instance_ApplicativeLaws_list,GHC/Base.v,0,
flat_map_concat_map,GHC/Base.v,6,induction;reflexivity;simpl;rewrite;rewrite;reflexivity
map_snd_zip,GHC/List.v,12,intros;revert;induction;intros;destruct;simpl;discriminate;reflexivity;f_equal;apply;inversion;reflexivity
iter_plus_N,GHC/Enum.v,7,induction;reflexivity;simpl;rewrite;simpl;rewrite;reflexivity
EqLaws_Data_Either_Either,Data/Either.v,39,constructor;intro;destruct;simpl;apply;simpl;apply;intros;destruct;simpl;apply;assumption;discriminate;discriminate;apply;assumption;intros;destruct;simpl;apply;assumption;discriminate;discriminate;apply;assumption;discriminate;discriminate;discriminate;apply;assumption;intros;destruct;simpl;rewrite;reflexivity;reflexivity;reflexivity;rewrite;reflexivity
instance_MonoidLaws_unit,GHC/Base.v,17,split;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;induction;simpl;reflexivity;destruct;simpl;auto
Eq_Transitive,GHC/Base.v,4,move;apply;exact;exact
EqLaws_Int,GHC/Base.v,0,
Neq_irrefl,GHC/Base.v,6,unfold;intros;rewrite;apply;apply;discriminate
take_drop,GHC/List.v,26,intros;generalize_dependent;generalize_dependent;induction;intros;simpl;induction;simpl;auto;rewrite;auto;destruct;simpl;reflexivity;simpl;case_eq;intros;simpl;reflexivity;simpl;rewrite;reflexivity;unfold;split;omega;omega
Foldable_foldl_nil,Data/Foldable.v,3,intros;unfold;reflexivity
Foldable_foldr_nil,Data/Foldable.v,3,intros;unfold;reflexivity
hs_coq_lenAcc,GHC/List.v,10,revert;induction;simpl;intros;reflexivity;rewrite;simpl;rewrite;f_equal;omega
fmfm,GHC/Base.v,5,rewrite;apply;intros;rewrite;reflexivity
hs_coq_foldr_base,GHC/Base.v,2,unfold;reflexivity
instance_FunctorLaws_list,GHC/Base.v,13,split;intros;induction;reflexivity;simpl;rewrite;reflexivity;intros;induction;reflexivity;simpl;rewrite;reflexivity
hs_coq_tuple_fst,Data/Tuple.v,2,destruct;reflexivity
instance_FunctorLaws_Data_Either_Either,Data/Either.v,0,
eftInt_In,GHC/Enum.v,7,rewrite;case;split;move;move;omega;apply
EqExact_list,GHC/Base.v,37,constructor;intros;unfold;simpl;induction;constructor;constructor;constructor;simpl;case;case;constructor;apply;apply;destruct;apply;apply;subst;reflexivity;constructor;intro;apply;destruct;apply;apply;subst;rewrite;inversion;constructor;intro;apply;destruct;apply;apply;subst;rewrite;inversion
Foldable_any_cons,Data/Foldable.v,6,intros;unfold;unfold;unfold;simpl;reflexivity
Foldable_foldr_app,Data/Foldable.v,8,intros;unfold;induction;simpl;reflexivity;simpl;rewrite;reflexivity
foldr_nil,GHC/Base.v,1,reflexivity
map_map,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_MonadLaws_identity,Data/Functor/Identity.v,6,constructor;intros;cbn;repeat;destruct;reflexivity
Foldable_any_nil,Data/Foldable.v,26,intros;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;simpl;reflexivity
simpl_option_none_eq,GHC/Base.v,3,repeat;unfold;reflexivity
instance_MonadLaws_list,GHC/Base.v,11,split;intros;repeat;unfold;simpl;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite
reverse_nil,GHC/List.v,2,unfold;reflexivity
zip_unzip_map,GHC/List.v,8,induction;reflexivity;simpl;repeat;expand_pairs;simpl;f_equal;apply
EqLaws_pair,GHC/Base.v,10,split;rewrite;case;rewrite;case;rewrite;case;rewrite;case;rewrite
EqExact_unit,GHC/Base.v,5,constructor;intros;destruct;constructor;auto
EqExact_Word,GHC/Base.v,2,constructor;apply
length_app,GHC/List.v,4,rewrite;rewrite;rewrite;reflexivity
Foldable_foldl_app,Data/Foldable.v,6,intros;unfold;rewrite;rewrite;rewrite;reflexivity
hs_coq_list_length,GHC/List.v,4,unfold;rewrite;simpl;omega
iterates_map,GHC/Enum.v,0,
N_popcount_Ndouble,Data/Bits/Popcount.v,5,intros;unfold;destruct;reflexivity;reflexivity
EqExact_bool,GHC/Base.v,2,constructor;apply
iterates'_map,GHC/Enum.v,14,revert;induction;intro;simpl;reflexivity;rewrite;simpl;f_equal;clear;induction;simpl;reflexivity;rewrite;reflexivity
Neq_inv,GHC/Base.v,2,rewrite;rewrite
map_cong,GHC/Base.v,4,intro;rewrite;apply;exact
EqLaws_list,GHC/Base.v,46,constructor;intro;induction;reflexivity;simpl;rewrite;rewrite;reflexivity;intros;induction;destruct;reflexivity;reflexivity;reflexivity;simpl;rewrite;rewrite;rewrite;reflexivity;intros;induction;destruct;destruct;reflexivity;reflexivity;reflexivity;reflexivity;reflexivity;reflexivity;reflexivity;simpl;rewrite;rewrite;rewrite;reflexivity;intros;induction;destruct;reflexivity;reflexivity;reflexivity;simpl;rewrite;rewrite;rewrite;reflexivity
hs_coq_foldr_list,Data/Foldable.v,5,induction;reflexivity;simpl;rewrite;reflexivity
EqLaws_comparison,GHC/Base.v,13,constructor;intro;destruct;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity
iterates_iterates',GHC/Enum.v,5,induction;simpl;reflexivity;rewrite;reflexivity
simpl_list_cons_eq,GHC/Base.v,2,unfold;reflexivity
flat_map_cons_f,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
EqLaws_Word,GHC/Base.v,0,
In_zip_map,GHC/List.v,11,intros;induction;simpl;contradiction;simpl;destruct;inversion;subst;reflexivity;apply;assumption
EqLaws_bool,GHC/Base.v,1,EqLaws_from_reflect
hs_coq_foldl_list,Data/Foldable.v,1,rewrite
reverse_involutive,GHC/List.v,4,intro;rewrite;rewrite;reflexivity
map_append,GHC/Base.v,2,rewrite;apply
EqLaws_option,GHC/Base.v,12,split;unfold;move;rewrite;move;rewrite;rewrite;move;move;move;move;rewrite
EqLaws_unit,GHC/Base.v,9,constructor;intros;reflexivity;intros;reflexivity;intros;reflexivity;intros;reflexivity
concat_map,GHC/Base.v,6,induction;reflexivity;simpl;rewrite;rewrite;reflexivity
length_cons,GHC/List.v,5,unfold;simpl;rewrite;simpl;omega
foldr_id,GHC/Base.v,4,induction;reflexivity;simpl;apply
instance_FunctorLaws_option,GHC/Base.v,7,constructor;intros;destruct;reflexivity;intros;destruct;reflexivity
flat_map_map,GHC/Base.v,3,rewrite;rewrite;reflexivity
Foldable_elem_app,Data/Foldable.v,3,intros;unfold;apply
EqExact_Down,Data/Ord.v,13,split;intros;destruct;simpl;destruct;left;f_equal;assumption;right;intro;apply;inversion;reflexivity
iter_plus_Z,GHC/Enum.v,6,induction;reflexivity;simpl;rewrite;rewrite;ring
iterates_ext,GHC/Enum.v,4,move;rewrite;apply;exact
length_nil,GHC/List.v,1,reflexivity
enumFromTo_Int_In,GHC/Enum.v,2,rewrite;reflexivity
eftInt_iterates',GHC/Enum.v,0,
In_zip,GHC/List.v,19,intros;induction;simpl;contradiction;destruct;simpl;contradiction;simpl;destruct;inversion;subst;split;simpl;auto;apply;destruct;split;simpl;auto
instance_MonoidLaws_option,GHC/Base.v,28,split;unfold;repeat;unfold;intro;destruct;apply;apply;intro;destruct;apply;apply;intros;destruct;destruct;apply;apply;intros;induction;apply;simpl;destruct;simpl;apply;rewrite;apply;rewrite;apply
eftInt_aux_In,GHC/Enum.v,0,
snd_unzip,GHC/List.v,6,intros;induction;reflexivity;simpl;rewrite;reflexivity
N_double_succ,Data/Bits/Popcount.v,11,intros;destruct;reflexivity;simpl;induction;simpl;rewrite;reflexivity;simpl;reflexivity;reflexivity
Pos_popcount_1_Is_power,Data/Bits/Popcount.v,18,intro;induction;apply;destruct;simpl;rewrite;apply;apply;apply;simpl;rewrite;apply;apply;apply;simpl;apply;apply;apply
hs_coq_tuple_snd,Data/Tuple.v,2,destruct;reflexivity
In_zip_snd,GHC/List.v,21,intros;revert;induction;intros;simpl;contradiction;destruct;simpl;omega;simpl;destruct;injection;subst;exists;left;reflexivity;specialize;destruct;exists;right;assumption
snd_pair,Data/Tuple.v,2,simpl;reflexivity
Foldable_foldr_map,Data/Foldable.v,6,unfold;induction;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl_cons,Data/Foldable.v,3,unfold;simpl;auto
hs_coq_lenAcc_add,GHC/List.v,8,revert;induction;intros;simpl;reflexivity;simpl;rewrite;omega
N_popcount_double,Data/Bits/Popcount.v,11,intro;destruct;reflexivity;simpl;induction;simpl;rewrite;reflexivity;simpl;reflexivity;reflexivity
EqLaws_Down,Data/Ord.v,0,
EqLaws_Proxy,Data/Proxy.v,13,constructor;intros;reflexivity;intros;simpl;subst;reflexivity;intros;simpl;subst;reflexivity;intros;reflexivity
elem_cons,Data/Foldable.v,7,intros;unfold;unfold;unfold;unfold;simpl;reflexivity
flat_map_cong,GHC/Base.v,4,intro;rewrite;apply;exact
hs_coq_filter,GHC/List.v,6,induction;reflexivity;simpl;rewrite;destruct;reflexivity
foldr_single,GHC/Base.v,1,simpl
hs_coq_foldl_base,GHC/Base.v,6,unfold;induction;simpl;reflexivity;rewrite;reflexivity
EqExact_Int,GHC/Base.v,2,constructor;exact
Eq_is_true_m,GHC/Base.v,0,
forM_cong,Data/Traversable.v,0,
