name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,4,case;case;constructor;auto
iterates_In,GHC/Enum.v,0,
Foldable_length_cons,Data/Foldable.v,0,
flat_map_nil,GHC/Base.v,5,induction;simpl;reflexivity;rewrite;reflexivity
flat_map_unpack_cons_f,GHC/List.v,6,intros;induction;simpl;reflexivity;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,3,unfold;simpl;auto
instance_MonoidLaws_list,GHC/Base.v,17,split;unfold;intros;apply;rewrite;intros;apply;rewrite;intros;apply;reflexivity;intros;apply;induction;simpl;reflexivity;rewrite
enumFromTo_Int_iterates',GHC/Enum.v,1,apply
eftInt_aux_unroll,GHC/Enum.v,8,unfold;unfold;destruct;simpl;reflexivity;f_equal;apply;assumption
eq_replace_r,GHC/Base.v,4,intros;apply;apply;assumption
N_popcount_Nsucc_double,Data/Bits/Popcount.v,2,destruct;reflexivity
EqExact_Data_Either_Either,Data/Either.v,16,split;intros;destruct;simpl;apply;split;intro;congruence;discriminate;rewrite;split;intros;reflexivity;intros;injection;auto
Pos_popcount_pow2,Data/Bits/Popcount.v,5,induction;reflexivity;simpl;rewrite;reflexivity
Foldable_any_app,Data/Foldable.v,6,intros;unfold;unfold;rewrite;rewrite;reflexivity
Eq_eq_Word,GHC/Base.v,0,
unzip_zip,GHC/List.v,13,intros;induction;simpl;inversion;reflexivity;simpl;destruct;inversion;subst;simpl;f_equal;apply;auto
iterates'_In,GHC/Enum.v,15,rewrite;rewrite;split;intros;exists;split;apply;omega;reflexivity;intros;exists;split;apply;omega;reflexivity
Foldable_length_nil,Data/Foldable.v,1,apply
lines_def,Data/OldList.v,10,functional;simpl;auto;destruct;destruct;reflexivity;rewrite;auto;apply;omega
eq_replace_l,GHC/Base.v,3,intros;rewrite;reflexivity
hs_coq_foldl'_list,Data/Foldable.v,2,unfold;apply
instance_MonadLaws_Data_Either_Either,Data/Either.v,23,split;repeat;unfold;intros;destruct;auto;intros;destruct;destruct;auto;intros;destruct;destruct;auto;intros;destruct;destruct;destruct;auto;intros;destruct;auto;reflexivity
eftInt_aux_pf,../base/GHC/Enum.v,0,
parametric_eq_sym,GHC/Base.v,1,exact
foldr_initial,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_option,GHC/Base.v,8,split;unfold;intros;destruct;simpl;reflexivity;rewrite;reflexivity
Build_EqLaws_reflect,GHC/Base.v,16,constructor;intros;apply;reflexivity;case;case;intros;subst;auto;case;case;case;intros;subst;auto;apply
N_popcount_diff,Data/Bits/Popcount.v,6,destruct;simpl;reflexivity;reflexivity;reflexivity;apply
In_zip_swap,GHC/List.v,14,intros;induction;simpl;inversion;destruct;simpl;inversion;simpl;inversion;left;congruence;right;apply;apply
Eq_Symmetric,GHC/Base.v,3,intros;apply;assumption
List_foldl_foldr,GHC/List.v,7,intros;induction;simpl;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_unit,GHC/Base.v,3,apply;intros;reflexivity
dropWhile_cons_prop,../base/Data/OldList.v,12,intros;induction;simpl;discriminate;simpl;destruct;apply;exact;injection;intros;subst;exact
iterates'_length,GHC/Enum.v,2,elim;rewrite
hs_coq_reverse,GHC/List.v,8,unfold;assert;induction;intros;simpl;auto;apply;apply
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,22,split;intros;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto;simpl;auto;destruct;simpl;auto;reflexivity;destruct;reflexivity
fst_pair,Data/Tuple.v,1,reflexivity
hs_coq_foldl_list',Data/Foldable.v,1,apply
instance_FunctorLaws_identity,Data/Functor/Identity.v,9,split;intros;destruct;simpl;reflexivity;intros;destruct;simpl;reflexivity
iter_plus_nat,GHC/Enum.v,5,induction;reflexivity;simpl;rewrite;omega
Foldable_foldr_cons,Data/Foldable.v,3,unfold;simpl;reflexivity
lines_cons,Data/OldList.v,3,rewrite;simpl;reflexivity
Foldable_foldl'_app,Data/Foldable.v,4,unfold;intros;rewrite;apply
flat_map_cons_id,GHC/Base.v,1,rewrite
Eq_eq_Int,GHC/Base.v,3,apply;rewrite;auto
mapAccumL_cons,Data/Traversable.v,12,intros;unfold;unfold;simpl;rewrite;simpl;unfold;unfold;simpl;destruct;destruct;reflexivity
Eq_Equivalence,GHC/Base.v,4,split;apply;apply;apply
break_length,../base/Data/OldList.v,18,induction;intros;simpl;inversion;subst;simpl;apply;destruct;inversion;subst;simpl;apply;destruct;inversion;subst;simpl;apply;auto
Neq_sym,GHC/Base.v,4,intros;rewrite;f_equal;apply
mapAccumL_nil,Data/Traversable.v,4,unfold;rewrite;simpl;reflexivity
Eq_m,GHC/Base.v,14,intros;apply;split;intro;apply;apply;apply;exact;exact;apply;exact;apply;exact;apply
EqExact_Proxy,Data/Proxy.v,5,split;case;case;apply;exact
Neq_atrans,GHC/Base.v,10,rewrite;move;apply;move;rewrite;move;apply;move;move;rewrite
reverse_unit,GHC/List.v,6,rewrite;induction;simpl;reflexivity;rewrite;reflexivity
hs_coq_partition,Data/OldList.v,6,induction;simpl;reflexivity;rewrite;destruct;reflexivity
Eq_Reflexive,GHC/Base.v,3,intros;destruct;apply
reverse_append,GHC/List.v,4,rewrite;simpl;rewrite;reflexivity
N_popcount_1_pow2,Data/Bits/Popcount.v,11,destruct;simpl;intro;inversion;simpl;intro;apply;destruct;exists;rewrite;reflexivity
iterates_length,GHC/Enum.v,2,rewrite;apply
Pop_popcount_diff,Data/Bits/Popcount.v,19,induction;induction;simpl;repeat;rewrite;reflexivity;repeat;rewrite;repeat;rewrite;repeat;rewrite;repeat;rewrite;repeat;rewrite;rewrite;rewrite;omega
elem_eq,Data/Foldable.v,9,intros;induction;autorewrite_with;reflexivity;autorewrite_with;rewrite;rewrite;reflexivity;assumption
length_zip,GHC/List.v,13,intros;induction;simpl;destruct;inversion;reflexivity;destruct;inversion;simpl;f_equal;apply;inversion;reflexivity
In_zip_fst,GHC/List.v,25,intros;induction;simpl;contradiction;destruct;simpl;contradiction;destruct;simpl;inversion;simpl;destruct;inversion;subst;exists;left;auto;inversion;subst;apply;auto;destruct;exists;right;auto
instance_ApplicativeLaws_option,GHC/Base.v,33,split;intros;destruct;simpl;reflexivity;intros;destruct;simpl;reflexivity;destruct;simpl;reflexivity;destruct;simpl;reflexivity;intros;simpl;reflexivity;intros;destruct;simpl;reflexivity;intros;destruct;simpl;reflexivity;destruct;simpl;reflexivity;intros;destruct;simpl;reflexivity
N_popcount_pow2,Data/Bits/Popcount.v,6,intros;destruct;simpl;reflexivity;rewrite;reflexivity
snd_unzip_map,GHC/List.v,4,intros;rewrite;rewrite;reflexivity
words_cons,Data/OldList.v,11,intros;rewrite;case_eq;intros;simpl;rewrite;rewrite;reflexivity;simpl;rewrite;reflexivity
dropWhile_cons_length,../base/Data/OldList.v,11,induction;intros;simpl;discriminate;simpl;destruct;apply;omega;inversion;subst;omega
words_nil,Data/OldList.v,2,simpl;reflexivity
forM_map,Data/Traversable.v,7,intros;unfold;induction;simpl;reflexivity;rewrite;reflexivity
flat_map_app,GHC/Base.v,4,rewrite;rewrite;rewrite;reflexivity
parametric_eq_trans,GHC/Base.v,2,intros;exact
safeSubN_sub,../base/GHC/Num.v,6,intros;unfold;rewrite;apply;assumption;reflexivity
EqExact_pair,GHC/Base.v,0,
hs_coq_map,GHC/Base.v,2,unfold;reflexivity
map_id,GHC/Base.v,4,induction;simpl;f_equal;auto
instance_SemigroupLaws_list,GHC/Base.v,10,split;unfold;intros;induction;simpl;rewrite;reflexivity;rewrite;rewrite;apply
instance_MonadLaws_option,GHC/Base.v,19,split;intros;simpl;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;reflexivity;intros;destruct;destruct;reflexivity
iterates'_ext,GHC/Enum.v,7,intros;induction;simpl;reflexivity;rewrite;now;rewrite
Neq_neq,GHC/Base.v,4,rewrite;case;constructor;auto
unzip_equal_length,GHC/List.v,11,intros;induction;inversion;subst;reflexivity;inversion;subst;simpl;f_equal;apply;assumption
elem_nil,Data/Foldable.v,2,unfold;apply
instance_ApplicativeLaws_identity,Data/Functor/Identity.v,13,constructor;intros;destruct;reflexivity;destruct;reflexivity;reflexivity;destruct;reflexivity;destruct;reflexivity;destruct;reflexivity
hs_coq_length_list',Data/Foldable.v,1,apply
instance_SemigroupLaws_comparison,GHC/Base.v,4,split;intros;destruct;reflexivity
EqExact_comparison,GHC/Base.v,7,intros;unfold;destruct;constructor;reflexivity;constructor;discriminate
simpl_list_nil_eq,GHC/Base.v,3,unfold;simpl;reflexivity
Foldable_foldl'_nil,Data/Foldable.v,3,unfold;simpl;auto
Foldable_elem_proper,Data/Foldable.v,0,
simpl_option_some_eq,GHC/Base.v,2,unfold;reflexivity
hs_coq_foldr_list',Data/Foldable.v,2,unfold;apply
instance_MonoidLaws_comparison,GHC/Base.v,11,split;intro;destruct;reflexivity;intro;destruct;reflexivity;intros;reflexivity;intro;reflexivity
instance_ApplicativeLaws_list,GHC/Base.v,33,split;intros;simpl;rewrite;apply;intros;simpl;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;reflexivity;intros;simpl;reflexivity;intros;simpl;rewrite;apply;intros;reflexivity;intros;simpl;reflexivity;intros;simpl;reflexivity
flat_map_concat_map,GHC/Base.v,5,induction;simpl;reflexivity;rewrite;reflexivity
map_snd_zip,GHC/List.v,14,intros;generalize_dependent;induction;intros;simpl;destruct;auto;inversion;destruct;inversion;simpl;f_equal;apply;auto
iter_plus_N,GHC/Enum.v,6,induction;simpl;reflexivity;simpl;rewrite;apply
