name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,3,apply;move;move
iterates_In,GHC/Enum.v,12,rewrite;split;move;exists;split;apply;assumption;move;exists;split;apply;assumption
Foldable_length_cons,Data/Foldable.v,4,unfold;simpl;rewrite;reflexivity
flat_map_nil,GHC/Base.v,4,induction;reflexivity;simpl;assumption
flat_map_unpack_cons_f,GHC/List.v,6,intros;induction;reflexivity;simpl;f_equal;apply
Foldable_foldl'_cons,Data/Foldable.v,4,intros;unfold;simpl;auto
instance_MonoidLaws_list,GHC/Base.v,21,split;unfold;unfold;intros;apply;simpl;apply;intros;apply;simpl;apply;intros;apply;reflexivity;intros;apply;induction;simpl;auto;rewrite;reflexivity
enumFromTo_Int_iterates',GHC/Enum.v,1,apply
eftInt_aux_unroll,GHC/Enum.v,9,unfold;unfold;simpl;destruct;reflexivity;f_equal;apply;intros;apply
eq_replace_r,GHC/Base.v,4,intros;apply;reflexivity;assumption
N_popcount_Nsucc_double,Data/Bits/Popcount.v,16,intros;unfold;rewrite;destruct;simpl;induction;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity;simpl;reflexivity;simpl;reflexivity
EqExact_Data_Either_Either,Data/Either.v,13,constructor;intros;apply;case;discriminate;move;subst;move;subst;move;subst;case;apply
Pos_popcount_pow2,Data/Bits/Popcount.v,10,intros;induction;simpl;reflexivity;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity
Foldable_any_app,Data/Foldable.v,8,intros;induction;simpl;reflexivity;simpl;rewrite;rewrite;reflexivity
Eq_eq_Word,GHC/Base.v,5,unfold;case;constructor;apply;rewrite
unzip_zip,GHC/List.v,16,intros;generalize_dependent;generalize_dependent;induction;intros;simpl;inversion;reflexivity;simpl;destruct;inversion;subst;simpl;f_equal;apply;reflexivity
iterates'_In,GHC/Enum.v,19,split;rewrite;move;rewrite;move;exists;split;auto;rewrite;omega;move;rewrite;apply;exists;split;auto;rewrite;rewrite;omega
Foldable_length_nil,Data/Foldable.v,4,unfold;unfold;simpl;reflexivity
lines_def,Data/OldList.v,11,unfold;destruct;reflexivity;simpl;f_equal;destruct;destruct;reflexivity;simpl;f_equal;apply
eq_replace_l,GHC/Base.v,3,intros;rewrite;reflexivity
hs_coq_foldl'_list,Data/Foldable.v,1,apply
instance_MonadLaws_Data_Either_Either,Data/Either.v,22,split;repeat;unfold;simpl;intros;destruct;auto;intros;destruct;auto;intros;destruct;auto;intros;destruct;auto;intros;auto;intros;destruct;destruct;auto
eftInt_aux_pf,../base/GHC/Enum.v,7,intros;apply;destruct;apply;apply;assumption;contradiction
parametric_eq_sym,GHC/Base.v,2,intros;apply
foldr_initial,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_option,GHC/Base.v,8,split;intros;simpl;destruct;simpl;apply;rewrite;apply
Build_EqLaws_reflect,GHC/Base.v,43,intros;constructor;intros;destruct;reflexivity;exfalso;apply;reflexivity;intros;destruct;subst;destruct;reflexivity;exfalso;apply;reflexivity;destruct;subst;exfalso;apply;reflexivity;reflexivity;intros;destruct;subst;destruct;subst;reflexivity;exfalso;apply;reflexivity;destruct;subst;exfalso;apply;reflexivity;destruct;reflexivity;exfalso;apply;apply;assumption;apply
N_popcount_diff,Data/Bits/Popcount.v,16,intros;destruct;simpl;reflexivity;simpl;rewrite;simpl;rewrite;reflexivity;simpl;rewrite;simpl;rewrite;reflexivity;simpl;apply
In_zip_swap,GHC/List.v,17,intros;revert;induction;intros;simpl;contradiction;destruct;simpl;contradiction;simpl;destruct;left;inversion;reflexivity;right;apply;assumption
Eq_Symmetric,GHC/Base.v,2,intros;apply
List_foldl_foldr,GHC/List.v,9,intros;revert;induction;intros;simpl;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_unit,GHC/Base.v,5,constructor;intros;unfold;simpl;reflexivity
dropWhile_cons_prop,../base/Data/OldList.v,13,intros;destruct;simpl;inversion;simpl;destruct;apply;simpl;rewrite;discriminate;inversion;subst;assumption
iterates'_length,GHC/Enum.v,5,induction;reflexivity;simpl;f_equal;apply
hs_coq_reverse,GHC/List.v,11,unfold;induction;simpl;reflexivity;rewrite;clear;induction;simpl;reflexivity;rewrite;reflexivity
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,23,split;repeat;unfold;intros;destruct;auto;intros;destruct;destruct;destruct;auto;intros;auto;intros;destruct;auto;intros;destruct;destruct;auto;intros;destruct;auto
fst_pair,Data/Tuple.v,1,reflexivity
hs_coq_foldl_list',Data/Foldable.v,1,apply
instance_FunctorLaws_identity,Data/Functor/Identity.v,7,split;intros;simpl;reflexivity;intros;simpl;reflexivity
iter_plus_nat,GHC/Enum.v,5,elim;reflexivity;simpl;rewrite;omega
Foldable_foldr_cons,Data/Foldable.v,4,intros;unfold;simpl;reflexivity
lines_cons,Data/OldList.v,4,intros;rewrite;simpl;reflexivity
Foldable_foldl'_app,Data/Foldable.v,4,intros;unfold;rewrite;reflexivity
flat_map_cons_id,GHC/Base.v,1,rewrite
Eq_eq_Int,GHC/Base.v,6,unfold;apply;move;done;move;apply
mapAccumL_cons,Data/Traversable.v,10,intros;unfold;unfold;unfold;simpl;unfold;simpl;destruct;destruct;reflexivity
Eq_Equivalence,GHC/Base.v,2,constructor;typeclasses_eauto
break_length,../base/Data/OldList.v,21,intros;generalize_dependent;induction;intros;simpl;inversion;simpl;apply;simpl;destruct;inversion;simpl;apply;apply;destruct;inversion;subst;simpl;apply;apply;reflexivity
Neq_sym,GHC/Base.v,4,move;rewrite;apply;apply
mapAccumL_nil,Data/Traversable.v,4,intros;unfold;simpl;reflexivity
Eq_m,GHC/Base.v,3,intros;apply;assumption
EqExact_Proxy,Data/Proxy.v,5,split;intros;apply;destruct;reflexivity
Neq_atrans,GHC/Base.v,10,move;case;rewrite;rewrite;move;rewrite;rewrite;move;rewrite;rewrite
reverse_unit,GHC/List.v,7,intros;induction;simpl;reflexivity;simpl;rewrite;reflexivity
hs_coq_partition,Data/OldList.v,11,unfold;induction;reflexivity;simpl;destruct;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity
Eq_Reflexive,GHC/Base.v,2,intros;apply
reverse_append,GHC/List.v,4,intros;simpl;rewrite;reflexivity
N_popcount_1_pow2,Data/Bits/Popcount.v,9,intros;destruct;simpl;discriminate;apply;destruct;exists;rewrite;reflexivity
iterates_length,GHC/Enum.v,1,rewrite
Pop_popcount_diff,Data/Bits/Popcount.v,0,
elem_eq,Data/Foldable.v,8,intros;induction;hs_simpl;reflexivity;hs_simpl;rewrite;f_equal;apply
length_zip,GHC/List.v,14,intros;generalize_dependent;induction;intros;destruct;simpl;auto;destruct;simpl;discriminate;inversion;f_equal;apply;assumption
In_zip_fst,GHC/List.v,22,intros;generalize_dependent;induction;intros;destruct;simpl;contradiction;destruct;simpl;discriminate;destruct;inversion;subst;exists;left;reflexivity;apply;auto;destruct;exists;right;assumption
instance_ApplicativeLaws_option,GHC/Base.v,21,split;intros;destruct;reflexivity;intros;destruct;destruct;destruct;reflexivity;intros;reflexivity;intros;destruct;reflexivity;intros;destruct;destruct;reflexivity;intros;destruct;reflexivity
N_popcount_pow2,Data/Bits/Popcount.v,11,intros;unfold;rewrite;destruct;simpl;reflexivity;rewrite;rewrite;apply;apply;discriminate
snd_unzip_map,GHC/List.v,6,intros;induction;reflexivity;simpl;rewrite;reflexivity
words_cons,Data/OldList.v,8,intros;unfold;simpl;destruct;reflexivity;simpl;rewrite;reflexivity
dropWhile_cons_length,../base/Data/OldList.v,14,intros;induction;simpl;discriminate;simpl;destruct;apply;simpl;apply;assumption;inversion;subst;simpl;apply
words_nil,Data/OldList.v,3,unfold;simpl;reflexivity
forM_map,Data/Traversable.v,9,intros;unfold;unfold;induction;simpl;reflexivity;simpl;rewrite;reflexivity
flat_map_app,GHC/Base.v,2,rewrite;reflexivity
parametric_eq_trans,GHC/Base.v,3,intros;apply;assumption
safeSubN_sub,../base/GHC/Num.v,7,intros;unfold;destruct;exfalso;apply;omega;reflexivity
EqExact_pair,GHC/Base.v,19,split;unfold;intros;simpl;case;case;constructor;move;reflexivity;move;contradict;move;move;contradict;move;contradict;move;contradict;move
hs_coq_map,GHC/Base.v,1,reflexivity
map_id,GHC/Base.v,6,unfold;induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_list,GHC/Base.v,18,split;unfold;intros;unfold;induction;simpl;apply;destruct;simpl;apply;destruct;simpl;apply;rewrite;apply;split;apply;apply
instance_MonadLaws_option,GHC/Base.v,21,split;repeat;unfold;simpl;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;reflexivity;intros;destruct;reflexivity
iterates'_ext,GHC/Enum.v,5,move;elim;rewrite;f_equal;apply
Neq_neq,GHC/Base.v,4,rewrite;case;constructor;auto
unzip_equal_length,GHC/List.v,16,intros;generalize_dependent;generalize_dependent;induction;intros;simpl;inversion;reflexivity;simpl;destruct;inversion;subst;simpl;f_equal;apply;reflexivity
elem_nil,Data/Foldable.v,4,intros;unfold;rewrite;reflexivity
instance_ApplicativeLaws_identity,Data/Functor/Identity.v,8,constructor;intros;destruct;destruct;destruct;destruct;simpl;reflexivity
hs_coq_length_list',Data/Foldable.v,2,unfold;apply
instance_SemigroupLaws_comparison,GHC/Base.v,6,split;intros;unfold;destruct;simpl;reflexivity
EqExact_comparison,GHC/Base.v,5,constructor;intros;destruct;constructor;congruence
simpl_list_nil_eq,GHC/Base.v,3,unfold;simpl;auto
Foldable_foldl'_nil,Data/Foldable.v,3,unfold;simpl;auto
Foldable_elem_proper,Data/Foldable.v,6,intros;unfold;unfold;apply;apply;apply
simpl_option_some_eq,GHC/Base.v,3,unfold;simpl;reflexivity
hs_coq_foldr_list',Data/Foldable.v,2,unfold;apply
instance_MonoidLaws_comparison,GHC/Base.v,19,split;unfold;unfold;intros;destruct;apply;intros;destruct;apply;intros;apply;intros;induction;simpl;apply;destruct;simpl;rewrite;apply
instance_ApplicativeLaws_list,GHC/Base.v,0,
flat_map_concat_map,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
map_snd_zip,GHC/List.v,15,intros;induction;intros;simpl;destruct;simpl;auto;inversion;destruct;simpl;inversion;inversion;f_equal;apply;auto
