name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,9,unfold;destruct;constructor;apply;apply;constructor;intros;subst;apply
iterates_In,GHC/Enum.v,21,rewrite;split;intros;induction;exists;split;lia;reflexivity;destruct;exists;split;lia;rewrite;reflexivity;intros;rewrite;apply;apply;apply;apply;apply
Foldable_length_cons,Data/Foldable.v,3,simpl;rewrite;reflexivity
flat_map_nil,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
flat_map_unpack_cons_f,GHC/List.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,5,intros;unfold;simpl;rewrite;reflexivity
instance_MonoidLaws_list,GHC/Base.v,16,split;intros;rewrite;rewrite;apply;intros;rewrite;rewrite;apply;intros;rewrite;apply;intros;rewrite;rewrite;apply
enumFromTo_Int_iterates',GHC/Enum.v,8,rewrite;case;rewrite;rewrite;omega;rewrite;rewrite;omega
eftInt_aux_unroll,GHC/Enum.v,9,unfold;rewrite;destruct;rewrite;simpl;reflexivity;simpl;rewrite;reflexivity
eq_replace_r,GHC/Base.v,3,intros;rewrite;reflexivity
N_popcount_Nsucc_double,Data/Bits/Popcount.v,11,intros;unfold;destruct;simpl;reflexivity;simpl;rewrite;rewrite;reflexivity;apply;reflexivity
EqExact_Data_Either_Either,Data/Either.v,30,constructor;intros;unfold;destruct;simpl;constructor;auto;destruct;constructor;subst;auto;apply;rewrite;reflexivity;constructor;auto;apply;rewrite;reflexivity;destruct;constructor;auto;apply;rewrite;reflexivity;constructor;auto;apply;rewrite;reflexivity
Pos_popcount_pow2,Data/Bits/Popcount.v,7,intros;induction;simpl;reflexivity;simpl;rewrite;reflexivity
Foldable_any_app,Data/Foldable.v,9,intros;unfold;unfold;unfold;simpl;rewrite;rewrite;rewrite;reflexivity
Eq_eq_Word,GHC/Base.v,0,
unzip_zip,GHC/List.v,13,intros;induction;simpl;destruct;simpl;auto;simpl;injection;subst;rewrite;reflexivity;simpl;auto
iterates'_In,GHC/Enum.v,27,split;intros;induction;exists;split;apply;rewrite;reflexivity;destruct;exists;split;apply;rewrite;rewrite;reflexivity;destruct;apply;rewrite;apply;induction;simpl;contradiction;simpl;apply;apply;apply;assumption
Foldable_length_nil,Data/Foldable.v,2,simpl;reflexivity
lines_def,Data/OldList.v,15,unfold;destruct;apply;rewrite;reflexivity;unfold;destruct;simpl;rewrite;destruct;simpl;reflexivity;simpl;rewrite;reflexivity
eq_replace_l,GHC/Base.v,3,intros;rewrite;reflexivity
hs_coq_foldl'_list,Data/Foldable.v,5,rewrite;rewrite;elim;rewrite;rewrite
instance_MonadLaws_Data_Either_Either,Data/Either.v,23,split;repeat;unfold;intros;destruct;auto;intros;destruct;auto;intros;destruct;auto;intros;destruct;auto;intros;unfold;simpl;auto;intros;unfold;destruct;auto
eftInt_aux_pf,../base/GHC/Enum.v,8,intros;apply;destruct;apply;apply;assumption;contradiction;assumption
parametric_eq_sym,GHC/Base.v,3,intros;apply;apply
foldr_initial,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_option,GHC/Base.v,0,
Build_EqLaws_reflect,GHC/Base.v,14,constructor;intros;unfold;simpl;rewrite;reflexivity;rewrite;rewrite;reflexivity;rewrite;rewrite;reflexivity;rewrite;reflexivity
N_popcount_diff,Data/Bits/Popcount.v,15,intros;destruct;simpl;reflexivity;rewrite;simpl;rewrite;reflexivity;rewrite;simpl;rewrite;reflexivity;rewrite;rewrite;reflexivity
In_zip_swap,GHC/List.v,14,intros;induction;simpl;destruct;destruct;destruct;simpl;destruct;subst;left;reflexivity;right;apply;assumption
Eq_Symmetric,GHC/Base.v,3,intros;apply;apply
List_foldl_foldr,GHC/List.v,8,induction;simpl;reflexivity;rewrite;unfold;simpl;rewrite;reflexivity
instance_SemigroupLaws_unit,GHC/Base.v,5,unfold;intros;destruct;simpl;reflexivity
dropWhile_cons_prop,../base/Data/OldList.v,18,intros;induction;simpl;rewrite;reflexivity;simpl;destruct;apply;rewrite;reflexivity;assert;rewrite;reflexivity;rewrite;simpl;rewrite;reflexivity;apply
iterates'_length,GHC/Enum.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
hs_coq_reverse,GHC/List.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,35,split;repeat;unfold;intros;destruct;simpl;auto;intros;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto;intros;simpl;reflexivity;intros;destruct;simpl;auto;intros;destruct;simpl;auto;destruct;simpl;auto;intros;destruct;simpl;auto
fst_pair,Data/Tuple.v,2,simpl;reflexivity
hs_coq_foldl_list',Data/Foldable.v,4,rewrite;move;elim;rewrite
instance_FunctorLaws_identity,Data/Functor/Identity.v,0,
iter_plus_nat,GHC/Enum.v,8,induction;simpl;rewrite;reflexivity;simpl;rewrite;rewrite;reflexivity
Foldable_foldr_cons,Data/Foldable.v,3,unfold;simpl;reflexivity
lines_cons,Data/OldList.v,14,intros;rewrite;simpl;destruct;rewrite;reflexivity;unfold;destruct;simpl;destruct;simpl;reflexivity;rewrite;reflexivity
Foldable_foldl'_app,Data/Foldable.v,5,intros;unfold;rewrite;rewrite;reflexivity
flat_map_cons_id,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
Eq_eq_Int,GHC/Base.v,5,apply;rewrite;apply;rewrite;apply
mapAccumL_cons,Data/Traversable.v,0,
Eq_Equivalence,GHC/Base.v,5,split;apply;split;apply;apply
break_length,../base/Data/OldList.v,12,intros;induction;simpl;apply;simpl;destruct;apply;reflexivity;simpl;apply;apply;reflexivity
Neq_sym,GHC/Base.v,3,move;rewrite;apply
mapAccumL_nil,Data/Traversable.v,4,unfold;simpl;rewrite;reflexivity
Eq_m,GHC/Base.v,7,intros;unfold;intros;rewrite;rewrite;apply;auto
EqExact_Proxy,Data/Proxy.v,12,constructor;intros;destruct;simpl;apply;split;intros;subst;reflexivity;inversion;subst;reflexivity
Neq_atrans,GHC/Base.v,7,move;apply;case;left;rewrite;right;rewrite
reverse_unit,GHC/List.v,9,intros;unfold;rewrite;induction;simpl;reflexivity;simpl;rewrite;reflexivity
hs_coq_partition,Data/OldList.v,12,induction;simpl;reflexivity;simpl;rewrite;destruct;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity
Eq_Reflexive,GHC/Base.v,2,intros;apply
reverse_append,GHC/List.v,12,intros;unfold;simpl;rewrite;rewrite;clear;induction;simpl;reflexivity;simpl;rewrite;reflexivity
N_popcount_1_pow2,Data/Bits/Popcount.v,10,intros;destruct;simpl;discriminate;apply;exists;rewrite;rewrite;rewrite;reflexivity
iterates_length,GHC/Enum.v,3,rewrite;rewrite;reflexivity
