name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,7,unfold;case;constructor;move;move;subst;rewrite
iterates_In,GHC/Enum.v,10,rewrite;split;intros;exists;omega;exact;intros;exists;omega;exact
Foldable_length_cons,Data/Foldable.v,5,unfold;simpl;rewrite;rewrite;reflexivity
flat_map_nil,GHC/Base.v,4,induction;reflexivity;simpl;apply
flat_map_unpack_cons_f,GHC/List.v,6,intros;induction;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,3,unfold;simpl;auto
instance_MonoidLaws_list,GHC/Base.v,0,
enumFromTo_Int_iterates',GHC/Enum.v,1,rewrite
eftInt_aux_unroll,GHC/Enum.v,5,unfold;destruct;subst;reflexivity;reflexivity
eq_replace_r,GHC/Base.v,32,intros;destruct;destruct;auto;assert;rewrite;apply;apply;apply;rewrite;rewrite;assert;rewrite;apply;apply;apply;rewrite;rewrite;assert;rewrite;apply;apply;apply;rewrite;rewrite;assert;rewrite;apply;apply;apply;rewrite;rewrite
N_popcount_Nsucc_double,Data/Bits/Popcount.v,5,intro;destruct;reflexivity;reflexivity;reflexivity
EqExact_Data_Either_Either,Data/Either.v,0,
Pos_popcount_pow2,Data/Bits/Popcount.v,8,intro;induction;reflexivity;simpl;rewrite;simpl;rewrite;reflexivity
Foldable_any_app,Data/Foldable.v,7,induction;simpl;reflexivity;simpl;rewrite;rewrite;reflexivity
Eq_eq_Word,GHC/Base.v,5,unfold;case;constructor;apply;rewrite
unzip_zip,GHC/List.v,17,intros;revert;induction;intros;simpl;injection;subst;simpl;reflexivity;simpl;destruct;injection;subst;simpl;f_equal;apply;reflexivity
iterates'_In,GHC/Enum.v,17,rewrite;rewrite;split;intro;destruct;exists;rewrite;omega;rewrite;reflexivity;intro;destruct;exists;rewrite;reflexivity;rewrite;omega
Foldable_length_nil,Data/Foldable.v,1,reflexivity
lines_def,Data/OldList.v,16,unfold;destruct;reflexivity;simpl;destruct;destruct;simpl;reflexivity;simpl;destruct;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity
eq_replace_l,GHC/Base.v,3,intros;rewrite;reflexivity
hs_coq_foldl'_list,Data/Foldable.v,0,
instance_MonadLaws_Data_Either_Either,Data/Either.v,0,
eftInt_aux_pf,../base/GHC/Enum.v,2,intros;omega
parametric_eq_sym,GHC/Base.v,3,intros;apply;apply
foldr_initial,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_option,GHC/Base.v,0,
Build_EqLaws_reflect,GHC/Base.v,29,intros;constructor;intro;destruct;reflexivity;exfalso;apply;reflexivity;intros;destruct;destruct;exfalso;apply;apply;subst;reflexivity;congruence;intros;destruct;destruct;destruct;exfalso;apply;apply;apply;subst;reflexivity;congruence;exact
N_popcount_diff,Data/Bits/Popcount.v,10,intros;destruct;reflexivity;simpl;rewrite;reflexivity;simpl;reflexivity;simpl;apply
In_zip_swap,GHC/List.v,7,intros;apply;destruct;apply;split;apply;apply
Eq_Symmetric,GHC/Base.v,3,intros;apply;exact
List_foldl_foldr,GHC/List.v,6,intros;induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_unit,GHC/Base.v,4,constructor;intros;destruct;reflexivity
dropWhile_cons_prop,../base/Data/OldList.v,14,intros;generalize_dependent;induction;intros;simpl;inversion;simpl;destruct;simpl;apply;assumption;inversion;subst;assumption
iterates'_length,GHC/Enum.v,0,
