name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,6,unfold;destruct;destruct;constructor;reflexivity;discriminate
iterates_In,GHC/Enum.v,0,
Foldable_length_cons,Data/Foldable.v,3,rewrite;simpl;reflexivity
flat_map_nil,GHC/Base.v,4,rewrite;induction;simpl;auto
flat_map_unpack_cons_f,GHC/List.v,6,intros;induction;simpl;auto;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,3,unfold;simpl;auto
instance_MonoidLaws_list,GHC/Base.v,10,split;intro;apply;intro;rewrite;apply;intros;apply;intro;apply
enumFromTo_Int_iterates',GHC/Enum.v,1,apply
eftInt_aux_unroll,GHC/Enum.v,6,unfold;destruct;reflexivity;simpl;f_equal;apply
eq_replace_r,GHC/Base.v,4,intros;apply;apply;apply
N_popcount_Nsucc_double,Data/Bits/Popcount.v,4,destruct;simpl;reflexivity;reflexivity
EqExact_Data_Either_Either,Data/Either.v,56,split;intros;destruct;simpl;destruct;left;apply;congruence;right;intros;inversion;subst;apply;congruence;right;congruence;right;congruence;destruct;left;apply;congruence;right;intros;inversion;subst;apply;congruence;destruct;simpl;split;intros;apply;congruence;intros;inversion;subst;apply;reflexivity;split;discriminate;intros;congruence;split;discriminate;intros;congruence;split;intros;apply;congruence;intros;inversion;subst;apply;reflexivity
Pos_popcount_pow2,Data/Bits/Popcount.v,28,destruct;reflexivity;induction;simpl;reflexivity;assert;induction;intros;simpl;reflexivity;rewrite;reflexivity;rewrite;reflexivity;rewrite;apply;assert;induction;intros;simpl;reflexivity;rewrite;reflexivity;rewrite;reflexivity;simpl;rewrite;apply
Foldable_any_app,Data/Foldable.v,0,
Eq_eq_Word,GHC/Base.v,5,unfold;case;constructor;apply;rewrite
unzip_zip,GHC/List.v,11,intros;induction;inversion;subst;reflexivity;inversion;subst;simpl;f_equal;apply;reflexivity
iterates'_In,GHC/Enum.v,15,rewrite;rewrite;split;intros;exists;split;apply;omega;reflexivity;intros;exists;split;apply;omega;reflexivity
Foldable_length_nil,Data/Foldable.v,3,unfold;rewrite;reflexivity
lines_def,Data/OldList.v,19,induction;simpl;rewrite;reflexivity;simpl;destruct;unfold;unfold;rewrite;simpl;reflexivity;unfold;unfold;rewrite;simpl;destruct;simpl;destruct;reflexivity
eq_replace_l,GHC/Base.v,3,intros;rewrite;reflexivity
hs_coq_foldl'_list,Data/Foldable.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_MonadLaws_Data_Either_Either,Data/Either.v,8,split;intros;destruct;auto;destruct;auto;destruct;auto
eftInt_aux_pf,../base/GHC/Enum.v,4,intros;apply;apply;assumption
parametric_eq_sym,GHC/Base.v,2,intros;apply
foldr_initial,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_option,GHC/Base.v,9,split;intros;destruct;destruct;destruct;simpl;autorewrite_with;reflexivity;apply
Build_EqLaws_reflect,GHC/Base.v,11,constructor;intros;apply;reflexivity;case;case;congruence;case;case;congruence;apply
N_popcount_diff,Data/Bits/Popcount.v,7,destruct;simpl;auto;reflexivity;reflexivity;reflexivity;apply
