name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,3,apply;move;move
iterates_In,GHC/Enum.v,10,rewrite;split;subst;exists;split;done;move;apply;split;apply
Foldable_length_cons,Data/Foldable.v,2,simpl;reflexivity
flat_map_nil,GHC/Base.v,4,induction;reflexivity;simpl;assumption
flat_map_unpack_cons_f,GHC/List.v,6,intros;induction;reflexivity;simpl;f_equal;apply
Foldable_foldl'_cons,Data/Foldable.v,4,intros;unfold;simpl;auto
instance_MonoidLaws_list,GHC/Base.v,15,split;unfold;unfold;intros;apply;apply;intros;apply;apply;intros;apply;reflexivity;intros;apply;apply
enumFromTo_Int_iterates',GHC/Enum.v,2,rewrite;apply
eftInt_aux_unroll,GHC/Enum.v,11,revert;fix;intros;unfold;fold;unfold;destruct;subst;reflexivity;f_equal;apply
eq_replace_r,GHC/Base.v,4,intros;apply;reflexivity;assumption
N_popcount_Nsucc_double,Data/Bits/Popcount.v,8,intros;unfold;rewrite;destruct;simpl;reflexivity;rewrite;reflexivity
EqExact_Data_Either_Either,Data/Either.v,15,split;intros;unfold;case;case;simpl;intros;apply;reflexivity;case;case;simpl;intros;apply;congruence
Pos_popcount_pow2,Data/Bits/Popcount.v,0,
Foldable_any_app,Data/Foldable.v,10,intros;induction;simpl;rewrite;reflexivity;simpl;rewrite;rewrite;rewrite;reflexivity
Eq_eq_Word,GHC/Base.v,5,unfold;case;constructor;apply;rewrite
unzip_zip,GHC/List.v,15,intros;generalize_dependent;generalize_dependent;induction;intros;simpl;inversion;reflexivity;simpl;inversion;subst;simpl;f_equal;apply;reflexivity
iterates'_In,GHC/Enum.v,13,rewrite;split;move;exists;split;auto;move;apply;exists;split;auto;apply;auto
Foldable_length_nil,Data/Foldable.v,1,reflexivity
lines_def,Data/OldList.v,17,unfold;destruct;reflexivity;simpl;unfold;destruct;discriminate;clear;simpl;destruct;simpl;f_equal;destruct;reflexivity;simpl;f_equal;apply
eq_replace_l,GHC/Base.v,3,intros;rewrite;reflexivity
hs_coq_foldl'_list,Data/Foldable.v,2,unfold;apply
instance_MonadLaws_Data_Either_Either,Data/Either.v,13,split;repeat;unfold;simpl;intros;destruct;auto;intros;destruct;auto;intros;destruct;auto
eftInt_aux_pf,../base/GHC/Enum.v,7,intros;apply;destruct;apply;apply;assumption;contradiction
parametric_eq_sym,GHC/Base.v,2,intros;apply
foldr_initial,GHC/Base.v,6,rewrite;induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_option,GHC/Base.v,5,split;intros;simpl;apply;apply
Build_EqLaws_reflect,GHC/Base.v,42,intros;constructor;intros;destruct;reflexivity;exfalso;apply;reflexivity;intros;destruct;subst;destruct;reflexivity;exfalso;apply;reflexivity;destruct;exfalso;apply;symmetry;assumption;reflexivity;intros;destruct;subst;destruct;subst;reflexivity;exfalso;apply;reflexivity;destruct;subst;exfalso;apply;reflexivity;destruct;reflexivity;exfalso;apply;reflexivity;exact
N_popcount_diff,Data/Bits/Popcount.v,16,intros;destruct;reflexivity;simpl;rewrite;rewrite;rewrite;rewrite;reflexivity;simpl;rewrite;rewrite;rewrite;rewrite;reflexivity;apply
In_zip_swap,GHC/List.v,17,intros;revert;induction;intros;simpl;contradiction;destruct;simpl;contradiction;simpl;destruct;left;inversion;reflexivity;right;apply;assumption
Eq_Symmetric,GHC/Base.v,2,intros;apply
List_foldl_foldr,GHC/List.v,8,intros;revert;induction;simpl;intros;reflexivity;rewrite;reflexivity
instance_SemigroupLaws_unit,GHC/Base.v,4,constructor;intros;destruct;reflexivity
dropWhile_cons_prop,../base/Data/OldList.v,13,intros;generalize_dependent;induction;intros;simpl;inversion;simpl;destruct;apply;assumption;inversion;subst;assumption
iterates'_length,GHC/Enum.v,2,elim;rewrite
hs_coq_reverse,GHC/List.v,10,induction;simpl;auto;rewrite;clear;induction;simpl;auto;rewrite;reflexivity
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,19,split;repeat;unfold;intros;destruct;reflexivity;reflexivity;intros;destruct;destruct;destruct;reflexivity;intros;destruct;destruct;reflexivity;intros;destruct;reflexivity
fst_pair,Data/Tuple.v,2,unfold;reflexivity
hs_coq_foldl_list',Data/Foldable.v,1,apply
instance_FunctorLaws_identity,Data/Functor/Identity.v,5,split;intros;reflexivity;intros;reflexivity
iter_plus_nat,GHC/Enum.v,6,induction;simpl;reflexivity;simpl;rewrite;omega
Foldable_foldr_cons,Data/Foldable.v,4,intros;unfold;simpl;reflexivity
lines_cons,Data/OldList.v,12,intros;rewrite;simpl;destruct;simpl;discriminate;simpl;destruct;simpl;destruct;reflexivity;reflexivity
Foldable_foldl'_app,Data/Foldable.v,4,intros;unfold;rewrite;reflexivity
flat_map_cons_id,GHC/Base.v,1,rewrite
Eq_eq_Int,GHC/Base.v,1,apply
mapAccumL_cons,Data/Traversable.v,7,intros;unfold;unfold;simpl;destruct;destruct;reflexivity
Eq_Equivalence,GHC/Base.v,4,split;apply;apply;apply
break_length,../base/Data/OldList.v,24,intros;unfold;destruct;inversion;subst;clear;generalize_dependent;induction;intros;simpl;subst;simpl;omega;simpl;destruct;simpl;subst;apply;reflexivity;simpl;inversion;subst;simpl;omega
Neq_sym,GHC/Base.v,3,move;rewrite;apply
mapAccumL_nil,Data/Traversable.v,3,intros;simpl;reflexivity
Eq_m,GHC/Base.v,3,intros;apply;assumption
EqExact_Proxy,Data/Proxy.v,8,split;apply;intros;destruct;reflexivity;intros;destruct;reflexivity
Neq_atrans,GHC/Base.v,8,move;case;rewrite;move;rewrite;move;rewrite;rewrite
reverse_unit,GHC/List.v,7,intros;rewrite;rewrite;rewrite;simpl;rewrite;reflexivity
hs_coq_partition,Data/OldList.v,11,unfold;induction;reflexivity;simpl;destruct;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity
Eq_Reflexive,GHC/Base.v,2,intros;apply
reverse_append,GHC/List.v,4,intros;simpl;rewrite;reflexivity
N_popcount_1_pow2,Data/Bits/Popcount.v,9,intros;destruct;simpl;discriminate;apply;destruct;exists;rewrite;reflexivity
iterates_length,GHC/Enum.v,1,rewrite
Pop_popcount_diff,Data/Bits/Popcount.v,0,
elem_eq,Data/Foldable.v,8,intros;induction;hs_simpl;reflexivity;hs_simpl;rewrite;f_equal;apply
length_zip,GHC/List.v,15,intros;generalize_dependent;induction;intros;destruct;simpl;auto;inversion;destruct;simpl;inversion;f_equal;apply;inversion;reflexivity
In_zip_fst,GHC/List.v,22,intros;generalize_dependent;induction;intros;destruct;simpl;contradiction;destruct;simpl;discriminate;destruct;inversion;subst;exists;left;reflexivity;apply;auto;destruct;exists;right;assumption
instance_ApplicativeLaws_option,GHC/Base.v,18,split;intros;simpl;reflexivity;destruct;reflexivity;destruct;destruct;destruct;reflexivity;reflexivity;destruct;reflexivity;destruct;destruct;reflexivity;destruct;reflexivity
N_popcount_pow2,Data/Bits/Popcount.v,13,intros;destruct;simpl;reflexivity;rewrite;induction;simpl;reflexivity;rewrite;rewrite;rewrite;rewrite;reflexivity
snd_unzip_map,GHC/List.v,9,intros;induction;reflexivity;simpl;repeat;expand_pairs;simpl;f_equal;apply
words_cons,Data/OldList.v,10,intros;unfold;destruct;simpl;rewrite;reflexivity;simpl;rewrite;destruct;reflexivity
dropWhile_cons_length,../base/Data/OldList.v,13,intros;induction;simpl;discriminate;simpl;destruct;apply;simpl;omega;inversion;subst;simpl;omega
words_nil,Data/OldList.v,3,rewrite;simpl;reflexivity
forM_map,Data/Traversable.v,10,intros;unfold;unfold;unfold;induction;simpl;reflexivity;simpl;rewrite;reflexivity
flat_map_app,GHC/Base.v,2,rewrite;reflexivity
parametric_eq_trans,GHC/Base.v,3,intros;apply;assumption
