name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,4,destruct;constructor;simpl;auto
iterates_In,GHC/Enum.v,21,rewrite;split;intros;induction;exists;split;lia;reflexivity;destruct;exists;split;lia;rewrite;reflexivity;intros;apply;rewrite;apply;apply;apply;lia
Foldable_length_cons,Data/Foldable.v,3,simpl;rewrite;reflexivity
flat_map_nil,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
flat_map_unpack_cons_f,GHC/List.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,5,intros;unfold;simpl;rewrite;reflexivity
instance_MonoidLaws_list,GHC/Base.v,15,split;intros;simpl;apply;intros;simpl;apply;intros;simpl;apply;intros;simpl;induction;simpl;auto
enumFromTo_Int_iterates',GHC/Enum.v,10,rewrite;case;have;omega;case;case;rewrite;f_equal;rewrite;omega
eftInt_aux_unroll,GHC/Enum.v,16,revert;induction;intros;destruct;subst;simpl;reflexivity;simpl;destruct;apply;apply;auto;rewrite;apply;apply;auto
eq_replace_r,GHC/Base.v,3,intros;rewrite;apply
N_popcount_Nsucc_double,Data/Bits/Popcount.v,6,intros;unfold;rewrite;simpl;rewrite;reflexivity
EqExact_Data_Either_Either,Data/Either.v,12,constructor;repeat;unfold;case;apply;case;apply;case;apply;case;rewrite;reflexivity
Pos_popcount_pow2,Data/Bits/Popcount.v,7,intros;unfold;rewrite;simpl;rewrite;rewrite;reflexivity
Foldable_any_app,Data/Foldable.v,9,intros;unfold;unfold;unfold;simpl;rewrite;rewrite;rewrite;reflexivity
Eq_eq_Word,GHC/Base.v,5,unfold;case;constructor;apply;rewrite
unzip_zip,GHC/List.v,11,intros;induction;simpl;destruct;simpl;discriminate;simpl;injection;subst;rewrite;reflexivity
iterates'_In,GHC/Enum.v,23,split;intros;induction;exists;split;done;rewrite;reflexivity;destruct;exists;split;apply;assumption;rewrite;assumption;destruct;rewrite;apply;rewrite;apply;apply;assumption;apply
Foldable_length_nil,Data/Foldable.v,2,simpl;reflexivity
lines_def,Data/OldList.v,0,
eq_replace_l,GHC/Base.v,3,intros;rewrite;reflexivity
hs_coq_foldl'_list,Data/Foldable.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
instance_MonadLaws_Data_Either_Either,Data/Either.v,19,split;repeat;unfold;simpl;intros;destruct;auto;intros;destruct;auto;intros;destruct;auto;intros;destruct;auto;intros;destruct;auto
eftInt_aux_pf,../base/GHC/Enum.v,9,intros;apply;assumption;apply;unfold;apply;apply;apply;assumption
parametric_eq_sym,GHC/Base.v,5,intros;unfold;intros;apply;apply
foldr_initial,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
