name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,10,destruct;simpl;constructor;reflexivity;constructor;discriminate;constructor;discriminate;constructor;reflexivity
iterates_In,GHC/Enum.v,0,
Foldable_length_cons,Data/Foldable.v,2,simpl;reflexivity
flat_map_nil,GHC/Base.v,1,elim
flat_map_unpack_cons_f,GHC/List.v,8,intros;induction;simpl;reflexivity;simpl;rewrite;simpl;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,4,intros;unfold;simpl;auto
instance_MonoidLaws_list,GHC/Base.v,13,split;intros;simpl;apply;intros;simpl;apply;intros;simpl;apply;intros;simpl;apply
enumFromTo_Int_iterates',GHC/Enum.v,2,rewrite;apply
eftInt_aux_unroll,GHC/Enum.v,4,simpl;destruct;simpl;reflexivity
eq_replace_r,GHC/Base.v,2,intros;apply
N_popcount_Nsucc_double,Data/Bits/Popcount.v,3,intros;destruct;reflexivity
EqExact_Data_Either_Either,Data/Either.v,17,split;intros;destruct;simpl;apply;subst;reflexivity;discriminate;discriminate;apply;subst;reflexivity;intros;inversion;subst;simpl;apply
Pos_popcount_pow2,Data/Bits/Popcount.v,9,intros;induction;simpl;reflexivity;simpl;rewrite;rewrite;simpl;assumption
Foldable_any_app,Data/Foldable.v,10,intros;induction;simpl;rewrite;rewrite;reflexivity;rewrite;rewrite;rewrite;reflexivity
Eq_eq_Word,GHC/Base.v,5,unfold;case;constructor;apply;rewrite
unzip_zip,GHC/List.v,16,intros;induction;intros;simpl;inversion;reflexivity;simpl;destruct;simpl;inversion;subst;clear;specialize;simpl;f_equal;apply
iterates'_In,GHC/Enum.v,18,rewrite;split;intros;exists;split;rewrite;destruct;exact;exact;intros;apply;exists;split;rewrite;split;apply;exact;exact
Foldable_length_nil,Data/Foldable.v,2,simpl;reflexivity
lines_def,Data/OldList.v,3,unfold;simpl;reflexivity
eq_replace_l,GHC/Base.v,4,intros;rewrite;apply;assumption
hs_coq_foldl'_list,Data/Foldable.v,1,apply
instance_MonadLaws_Data_Either_Either,Data/Either.v,12,split;repeat;unfold;simpl;intros;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity
eftInt_aux_pf,../base/GHC/Enum.v,2,intros;omega
parametric_eq_sym,GHC/Base.v,3,intros;intros;apply
foldr_initial,GHC/Base.v,4,rewrite;induction;simpl;auto
instance_SemigroupLaws_option,GHC/Base.v,10,split;unfold;intros;destruct;destruct;destruct;simpl;hs_simpl;apply;apply
Build_EqLaws_reflect,GHC/Base.v,32,intros;constructor;intros;case;done;exfalso;apply;reflexivity;intros;case;case;done;exfalso;apply;exact;case;exfalso;apply;exact;done;intros;case;case;case;done;exfalso;apply;move;rewrite;discriminate;discriminate;exact
N_popcount_diff,Data/Bits/Popcount.v,4,intros;simpl;reflexivity;apply
