name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,4,destruct;constructor;auto;discriminate
iterates_In,GHC/Enum.v,0,
Foldable_length_cons,Data/Foldable.v,6,unfold;simpl;rewrite;rewrite;rewrite;reflexivity
flat_map_nil,GHC/Base.v,5,induction;simpl;reflexivity;rewrite;reflexivity
flat_map_unpack_cons_f,GHC/List.v,6,intros;induction;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,3,unfold;cbn;reflexivity
instance_MonoidLaws_list,GHC/Base.v,20,split;unfold;intros;apply;reflexivity;intros;apply;rewrite;reflexivity;intros;apply;reflexivity;intros;apply;rewrite;induction;simpl;auto;rewrite;reflexivity
enumFromTo_Int_iterates',GHC/Enum.v,2,unfold;apply
eftInt_aux_unroll,GHC/Enum.v,28,revert;induction;intros;apply;apply;omega;subst;assert;omega;subst;unfold;destruct;contradiction;reflexivity;unfold;unfold;destruct;subst;apply;omega;simpl;f_equal;apply;replace;omega;rewrite;rewrite;omega
eq_replace_r,GHC/Base.v,4,intros;apply;apply;apply
N_popcount_Nsucc_double,Data/Bits/Popcount.v,3,intros;simpl;reflexivity
EqExact_Data_Either_Either,Data/Either.v,10,constructor;intros;destruct;simpl;apply;congruence;destruct;destruct;constructor;congruence
Pos_popcount_pow2,Data/Bits/Popcount.v,8,induction;reflexivity;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity
Foldable_any_app,Data/Foldable.v,0,
Eq_eq_Word,GHC/Base.v,9,case_eq;intro;apply;apply;exact;apply;intro;apply;congruence
unzip_zip,GHC/List.v,12,intros;induction;simpl;inversion;reflexivity;simpl;destruct;inversion;subst;simpl;rewrite;reflexivity
iterates'_In,GHC/Enum.v,17,rewrite;split;intro;apply;destruct;exists;split;apply;omega;assumption;destruct;apply;exists;split;apply;omega;assumption
Foldable_length_nil,Data/Foldable.v,1,reflexivity
lines_def,Data/OldList.v,2,rewrite;reflexivity
eq_replace_l,GHC/Base.v,3,intros;rewrite;reflexivity
hs_coq_foldl'_list,Data/Foldable.v,5,unfold;move;elim;reflexivity;rewrite
instance_MonadLaws_Data_Either_Either,Data/Either.v,22,split;intros;simpl;destruct;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;reflexivity;intros;destruct;simpl;reflexivity;destruct;reflexivity
eftInt_aux_pf,../base/GHC/Enum.v,1,omega
parametric_eq_sym,GHC/Base.v,2,intros;apply
foldr_initial,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
