name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,5,destruct;simpl;constructor;auto;discriminate
iterates_In,GHC/Enum.v,13,rewrite;rewrite;split;move;exists;split;apply;assumption;move;exists;split;apply;assumption
Foldable_length_cons,Data/Foldable.v,4,unfold;simpl;rewrite;reflexivity
flat_map_nil,GHC/Base.v,4,induction;reflexivity;simpl;apply
flat_map_unpack_cons_f,GHC/List.v,7,intros;induction;simpl;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,5,intros;unfold;destruct;simpl;reflexivity
instance_MonoidLaws_list,GHC/Base.v,19,split;intros;unfold;apply;reflexivity;intros;unfold;apply;apply;intros;unfold;apply;reflexivity;intros;unfold;rewrite;rewrite;apply;reflexivity
enumFromTo_Int_iterates',GHC/Enum.v,2,unfold;apply
eftInt_aux_unroll,GHC/Enum.v,9,unfold;unfold;destruct;reflexivity;f_equal;apply;intros;f_equal;apply
eq_replace_r,GHC/Base.v,3,intros;apply;auto
N_popcount_Nsucc_double,Data/Bits/Popcount.v,15,intros;unfold;destruct;simpl;reflexivity;simpl;induction;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity;simpl;reflexivity
EqExact_Data_Either_Either,Data/Either.v,0,
Pos_popcount_pow2,Data/Bits/Popcount.v,10,intros;induction;simpl;reflexivity;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity
Foldable_any_app,Data/Foldable.v,16,intros;unfold;unfold;unfold;unfold;unfold;unfold;simpl;induction;simpl;reflexivity;simpl;rewrite;destruct;simpl;reflexivity
Eq_eq_Word,GHC/Base.v,5,unfold;apply;move;move;apply
unzip_zip,GHC/List.v,16,intros;generalize_dependent;generalize_dependent;induction;intros;simpl;inversion;reflexivity;simpl;destruct;inversion;subst;simpl;f_equal;apply;reflexivity
iterates'_In,GHC/Enum.v,14,split;rewrite;move;exists;split;done;reflexivity;move;rewrite;apply;exists;split;reflexivity;done
Foldable_length_nil,Data/Foldable.v,1,reflexivity
lines_def,Data/OldList.v,10,unfold;destruct;reflexivity;simpl;destruct;destruct;reflexivity;simpl;f_equal;apply
eq_replace_l,GHC/Base.v,5,intros;apply;auto;apply;assumption
hs_coq_foldl'_list,Data/Foldable.v,1,apply
instance_MonadLaws_Data_Either_Either,Data/Either.v,31,split;intros;unfold;unfold;simpl;reflexivity;intros;unfold;destruct;simpl;reflexivity;intros;unfold;destruct;simpl;reflexivity;intros;unfold;reflexivity;intros;unfold;reflexivity;intros;unfold;unfold;destruct;simpl;auto;destruct;simpl;auto
eftInt_aux_pf,../base/GHC/Enum.v,6,intros;apply;intro;apply;apply;assumption
parametric_eq_sym,GHC/Base.v,3,intros;destruct;apply
foldr_initial,GHC/Base.v,5,induction;reflexivity;simpl;f_equal;apply
instance_SemigroupLaws_option,GHC/Base.v,6,split;intros;simpl;reflexivity;rewrite;reflexivity
Build_EqLaws_reflect,GHC/Base.v,30,intros;constructor;move;case;move;rewrite;done;move;case;case;rewrite;move;rewrite;done;move;rewrite;done;move;case;case;case;done;rewrite;move;rewrite;done;move;rewrite;done;exact
N_popcount_diff,Data/Bits/Popcount.v,15,intros;destruct;simpl;reflexivity;simpl;rewrite;rewrite;reflexivity;simpl;rewrite;rewrite;reflexivity;simpl;rewrite;reflexivity
In_zip_swap,GHC/List.v,17,intros;induction;simpl;destruct;simpl;contradiction;destruct;simpl;contradiction;destruct;inversion;subst;left;reflexivity;right;apply;assumption
Eq_Symmetric,GHC/Base.v,2,intros;apply
List_foldl_foldr,GHC/List.v,8,intros;revert;induction;simpl;reflexivity;intros;rewrite;reflexivity
instance_SemigroupLaws_unit,GHC/Base.v,3,split;intros;reflexivity
dropWhile_cons_prop,../base/Data/OldList.v,13,intros;generalize_dependent;induction;intros;simpl;inversion;simpl;destruct;apply;assumption;inversion;subst;assumption
iterates'_length,GHC/Enum.v,2,elim;rewrite
hs_coq_reverse,GHC/List.v,12,intros;unfold;induction;reflexivity;simpl;rewrite;clear;induction;reflexivity;simpl;rewrite;reflexivity
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,37,split;intros;destruct;simpl;reflexivity;reflexivity;intros;destruct;simpl;reflexivity;reflexivity;reflexivity;reflexivity;reflexivity;reflexivity;reflexivity;reflexivity;intros;simpl;reflexivity;intros;destruct;simpl;reflexivity;reflexivity;intros;destruct;simpl;reflexivity;reflexivity;reflexivity;reflexivity;intros;destruct;simpl;reflexivity;reflexivity
fst_pair,Data/Tuple.v,1,reflexivity
hs_coq_foldl_list',Data/Foldable.v,2,unfold;apply
instance_FunctorLaws_identity,Data/Functor/Identity.v,7,split;intros;simpl;reflexivity;intros;simpl;reflexivity
iter_plus_nat,GHC/Enum.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
Foldable_foldr_cons,Data/Foldable.v,3,intros;simpl;reflexivity
lines_cons,Data/OldList.v,13,intros;unfold;destruct;simpl;discriminate;simpl;destruct;simpl;f_equal;destruct;reflexivity;simpl;reflexivity
Foldable_foldl'_app,Data/Foldable.v,7,intros;unfold;rewrite;rewrite;rewrite;simpl;reflexivity
flat_map_cons_id,GHC/Base.v,5,induction;reflexivity;simpl;f_equal;apply
Eq_eq_Int,GHC/Base.v,9,unfold;destruct;apply;subst;constructor;reflexivity;apply;constructor;assumption
mapAccumL_cons,Data/Traversable.v,0,
Eq_Equivalence,GHC/Base.v,5,intros;constructor;apply;apply;apply
break_length,../base/Data/OldList.v,24,intros;generalize_dependent;induction;intros;simpl;inversion;subst;simpl;apply;simpl;destruct;inversion;subst;simpl;apply;simpl;destruct;inversion;subst;simpl;specialize;simpl;apply;assumption
Neq_sym,GHC/Base.v,5,move;rewrite;apply;move;apply
mapAccumL_nil,Data/Traversable.v,4,intros;unfold;simpl;reflexivity
Eq_m,GHC/Base.v,7,intros;apply;apply;apply;apply;assumption;assumption
EqExact_Proxy,Data/Proxy.v,6,constructor;move;apply;move;move;apply
Neq_atrans,GHC/Base.v,10,move;apply;case;right;apply;move;rewrite;rewrite;left;rewrite
reverse_unit,GHC/List.v,7,intros;induction;simpl;reflexivity;simpl;rewrite;reflexivity
hs_coq_partition,Data/OldList.v,12,intros;unfold;induction;reflexivity;simpl;destruct;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity
Eq_Reflexive,GHC/Base.v,2,intros;apply
reverse_append,GHC/List.v,4,intros;simpl;rewrite;reflexivity
N_popcount_1_pow2,Data/Bits/Popcount.v,10,intros;destruct;simpl;discriminate;simpl;apply;destruct;exists;rewrite;reflexivity
iterates_length,GHC/Enum.v,1,rewrite
Pop_popcount_diff,Data/Bits/Popcount.v,0,
elem_eq,Data/Foldable.v,8,intros;induction;simpl;reflexivity;rewrite;rewrite;rewrite;reflexivity
length_zip,GHC/List.v,17,intros;generalize_dependent;induction;intros;simpl;destruct;simpl;auto;destruct;simpl;discriminate;simpl;simpl;f_equal;apply;inversion;reflexivity
In_zip_fst,GHC/List.v,27,intros;revert;induction;intros;simpl;contradiction;destruct;simpl;contradiction;simpl;destruct;simpl;discriminate;simpl;simpl;destruct;injection;subst;exists;left;reflexivity;apply;congruence;destruct;exists;right;assumption
instance_ApplicativeLaws_option,GHC/Base.v,21,split;intros;destruct;reflexivity;intros;destruct;destruct;destruct;reflexivity;intros;reflexivity;intros;destruct;reflexivity;intros;destruct;destruct;reflexivity;intros;destruct;reflexivity
N_popcount_pow2,Data/Bits/Popcount.v,15,intros;unfold;rewrite;destruct;reflexivity;simpl;induction;simpl;reflexivity;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity
snd_unzip_map,GHC/List.v,9,intros;induction;simpl;reflexivity;simpl;destruct;simpl;f_equal;apply
words_cons,Data/OldList.v,12,intros;unfold;simpl;destruct;simpl;reflexivity;simpl;rewrite;destruct;simpl;reflexivity;reflexivity
dropWhile_cons_length,../base/Data/OldList.v,14,intros;generalize_dependent;induction;intros;simpl;inversion;simpl;destruct;apply;simpl;omega;inversion;simpl;omega
words_nil,Data/OldList.v,2,simpl;reflexivity
forM_map,Data/Traversable.v,9,intros;unfold;unfold;induction;simpl;reflexivity;simpl;rewrite;reflexivity
flat_map_app,GHC/Base.v,6,induction;simpl;reflexivity;rewrite;rewrite;reflexivity
parametric_eq_trans,GHC/Base.v,3,intros;apply;assumption
safeSubN_sub,../base/GHC/Num.v,5,intros;unfold;rewrite;rewrite;reflexivity
EqExact_pair,GHC/Base.v,35,constructor;intros;simpl;destruct;destruct;apply;apply;subst;constructor;reflexivity;apply;subst;constructor;intros;inversion;subst;move;apply;reflexivity;apply;subst;constructor;intros;inversion;subst;move;apply;reflexivity;constructor;intros;inversion;subst;move;apply;reflexivity
hs_coq_map,GHC/Base.v,1,reflexivity
map_id,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_list,GHC/Base.v,5,constructor;intros;unfold;rewrite;apply
instance_MonadLaws_option,GHC/Base.v,30,split;intros;unfold;simpl;reflexivity;intros;unfold;destruct;simpl;reflexivity;intros;unfold;destruct;simpl;reflexivity;intros;unfold;destruct;simpl;reflexivity;intros;unfold;reflexivity;intros;unfold;destruct;simpl;destruct;simpl;reflexivity
iterates'_ext,GHC/Enum.v,5,move;elim;rewrite;f_equal;apply
Neq_neq,GHC/Base.v,10,move;apply;move;move;rewrite;move;move;rewrite;move;case
unzip_equal_length,GHC/List.v,16,intros;generalize_dependent;generalize_dependent;induction;intros;simpl;inversion;reflexivity;simpl;destruct;inversion;subst;simpl;f_equal;apply;reflexivity
elem_nil,Data/Foldable.v,4,intros;unfold;simpl;reflexivity
instance_ApplicativeLaws_identity,Data/Functor/Identity.v,19,constructor;intros;simpl;reflexivity;intros;simpl;reflexivity;intros;simpl;reflexivity;intros;simpl;reflexivity;intros;simpl;reflexivity;intros;simpl;reflexivity
hs_coq_length_list',Data/Foldable.v,2,unfold;apply
instance_SemigroupLaws_comparison,GHC/Base.v,5,split;intros;destruct;simpl;reflexivity
EqExact_comparison,GHC/Base.v,6,constructor;intros;destruct;simpl;constructor;congruence
simpl_list_nil_eq,GHC/Base.v,4,unfold;unfold;simpl;reflexivity
Foldable_foldl'_nil,Data/Foldable.v,5,intros;unfold;destruct;simpl;reflexivity
Foldable_elem_proper,Data/Foldable.v,7,intros;unfold;intros;unfold;apply;apply;apply
simpl_option_some_eq,GHC/Base.v,4,unfold;unfold;simpl;reflexivity
hs_coq_foldr_list',Data/Foldable.v,2,unfold;apply
instance_MonoidLaws_comparison,GHC/Base.v,20,split;intros;unfold;destruct;apply;intros;unfold;destruct;apply;intros;unfold;apply;intros;unfold;induction;apply;simpl;destruct;simpl;apply
instance_ApplicativeLaws_list,GHC/Base.v,45,split;move;rewrite;rewrite;elim;rewrite;move;rewrite;rewrite;rewrite;elim;rewrite;f_equal;elim;rewrite;f_equal;elim;rewrite;rewrite;rewrite;move;rewrite;rewrite;move;rewrite;rewrite;elim;rewrite;f_equal;elim;rewrite;rewrite;move;rewrite;elim;rewrite;f_equal;elim;rewrite;rewrite;move;rewrite;rewrite;elim;rewrite
flat_map_concat_map,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
map_snd_zip,GHC/List.v,14,intros;generalize_dependent;induction;intros;destruct;simpl;auto;destruct;simpl;inversion;f_equal;apply;inversion;reflexivity
iter_plus_N,GHC/Enum.v,6,induction;reflexivity;simpl;rewrite;rewrite;reflexivity
EqLaws_Data_Either_Either,Data/Either.v,13,constructor;intros;simpl;apply;intros;simpl;apply;intros;simpl;apply;intros;simpl;apply
instance_MonoidLaws_unit,GHC/Base.v,17,split;intros;unfold;simpl;reflexivity;intros;unfold;simpl;reflexivity;intros;unfold;simpl;reflexivity;intros;unfold;simpl;reflexivity
Eq_Transitive,GHC/Base.v,3,intros;apply;assumption
EqLaws_Int,GHC/Base.v,52,constructor;move;apply;apply;move;apply;apply;move;move;case;case;case;move;constructor;move;exfalso;move;rewrite;move;rewrite;move;exfalso;move;rewrite;move;rewrite;move;exfalso;move;rewrite;move;rewrite;move;apply;move;apply;move;move;rewrite;move;move;rewrite;move;move;apply;move;move;rewrite;move;move;rewrite;move
Neq_irrefl,GHC/Base.v,3,move;rewrite;apply
take_drop,GHC/List.v,13,intros;generalize_dependent;induction;intros;simpl;destruct;reflexivity;destruct;simpl;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl_nil,Data/Foldable.v,0,
Foldable_foldr_nil,Data/Foldable.v,4,intros;unfold;simpl;reflexivity
hs_coq_lenAcc,GHC/List.v,5,induction;simpl;reflexivity;rewrite;lia
fmfm,GHC/Base.v,12,induction;simpl;reflexivity;simpl;rewrite;clear;induction;simpl;reflexivity;simpl;rewrite;reflexivity
hs_coq_foldr_base,GHC/Base.v,2,unfold;reflexivity
instance_FunctorLaws_list,GHC/Base.v,9,split;intros;unfold;rewrite;apply;intros;unfold;rewrite;apply
hs_coq_tuple_fst,Data/Tuple.v,2,destruct;reflexivity
instance_FunctorLaws_Data_Either_Either,Data/Either.v,11,split;intros;destruct;simpl;reflexivity;reflexivity;intros;destruct;simpl;reflexivity;reflexivity
eftInt_In,GHC/Enum.v,6,rewrite;case;split;move;move;apply
EqExact_list,GHC/Base.v,8,constructor;intros;apply;elim;reflexivity;move;elim;rewrite
Foldable_any_cons,Data/Foldable.v,9,intros;unfold;unfold;unfold;unfold;unfold;unfold;simpl;reflexivity
Foldable_foldr_app,Data/Foldable.v,6,intros;unfold;rewrite;rewrite;rewrite;reflexivity
foldr_nil,GHC/Base.v,1,reflexivity
map_map,GHC/Base.v,7,unfold;rewrite;induction;reflexivity;simpl;rewrite;reflexivity
instance_MonadLaws_identity,Data/Functor/Identity.v,15,constructor;intros;cbn;destruct;reflexivity;destruct;reflexivity;destruct;reflexivity;destruct;reflexivity;reflexivity;destruct;destruct;reflexivity
Foldable_any_nil,Data/Foldable.v,14,intros;unfold;unfold;unfold;unfold;unfold;unfold;simpl;unfold;unfold;unfold;unfold;simpl;reflexivity
simpl_option_none_eq,GHC/Base.v,4,unfold;unfold;simpl;reflexivity
instance_MonadLaws_list,GHC/Base.v,39,split;intros;unfold;simpl;rewrite;reflexivity;intros;unfold;simpl;rewrite;reflexivity;intros;unfold;simpl;rewrite;rewrite;rewrite;rewrite;rewrite;reflexivity;intros;unfold;simpl;rewrite;rewrite;rewrite;rewrite;reflexivity;intros;unfold;reflexivity;intros;unfold;simpl;rewrite;rewrite;rewrite;rewrite;reflexivity
reverse_nil,GHC/List.v,2,simpl;reflexivity
zip_unzip_map,GHC/List.v,9,intros;induction;simpl;reflexivity;simpl;destruct;simpl;f_equal;apply
EqLaws_pair,GHC/Base.v,25,constructor;intros;simpl;split;apply;intros;simpl;intros;split;apply;assumption;intros;simpl;intros;split;apply;eassumption;intros;simpl;rewrite;apply;rewrite;f_equal;apply;apply
EqExact_unit,GHC/Base.v,6,constructor;intros;apply;move;move;apply
EqExact_Word,GHC/Base.v,2,constructor;apply
length_app,GHC/List.v,7,intros;rewrite;rewrite;rewrite;rewrite;rewrite;reflexivity
Foldable_foldl_app,Data/Foldable.v,12,intros;unfold;rewrite;rewrite;rewrite;simpl;induction;simpl;reflexivity;simpl;rewrite;reflexivity
hs_coq_list_length,GHC/List.v,6,intros;unfold;rewrite;simpl;rewrite;reflexivity
