name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,7,rewrite;case;case;simpl;constructor;rewrite;rewrite
iterates_In,GHC/Enum.v,15,split;intros;destruct;exists;split;auto;apply;auto;apply;destruct;exists;split;auto;apply;apply
Foldable_length_cons,Data/Foldable.v,3,simpl;rewrite;reflexivity
flat_map_nil,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
flat_map_unpack_cons_f,GHC/List.v,7,intros;induction;simpl;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,4,intros;unfold;rewrite;reflexivity
instance_MonoidLaws_list,GHC/Base.v,26,split;intros;rewrite;rewrite;rewrite;reflexivity;intros;rewrite;rewrite;rewrite;reflexivity;intros;rewrite;rewrite;rewrite;reflexivity;intros;rewrite;induction;simpl;rewrite;reflexivity;simpl;rewrite;rewrite;reflexivity
enumFromTo_Int_iterates',GHC/Enum.v,17,rewrite;case;rewrite;f_equal;rewrite;omega;rewrite;f_equal;case;subst;rewrite;simpl;rewrite;simpl;auto;apply;omega
eftInt_aux_unroll,GHC/Enum.v,15,revert;induction;intros;subst;simpl;rewrite;reflexivity;intros;simpl;rewrite;simpl;rewrite;reflexivity;apply;omega
eq_replace_r,GHC/Base.v,7,intros;rewrite;apply;apply;apply;apply;apply
N_popcount_Nsucc_double,Data/Bits/Popcount.v,8,intros;unfold;destruct;simpl;reflexivity;simpl;rewrite;reflexivity
EqExact_Data_Either_Either,Data/Either.v,14,constructor;intros;destruct;simpl;constructor;reflexivity;apply;apply;apply;apply;apply;apply;apply;apply
Pos_popcount_pow2,Data/Bits/Popcount.v,8,intros;simpl;induction;simpl;reflexivity;simpl;rewrite;reflexivity
