name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,3,destruct;constructor;congruence
iterates_In,GHC/Enum.v,43,induction;simpl;intros;split;intros;inversion;subst;exists;split;auto;inversion;destruct;inversion;subst;inversion;subst;auto;split;intros;destruct;exists;split;auto;apply;destruct;exists;split;auto;omega;rewrite;auto;destruct;destruct;left;auto;right;apply;exists;split;auto;omega;inversion;auto
Foldable_length_cons,Data/Foldable.v,3,simpl;rewrite;reflexivity
flat_map_nil,GHC/Base.v,3,induction;simpl;auto
flat_map_unpack_cons_f,GHC/List.v,6,intros;induction;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,3,intros;simpl;reflexivity
instance_MonoidLaws_list,GHC/Base.v,5,constructor;intros;apply;apply;apply
enumFromTo_Int_iterates',GHC/Enum.v,0,
eftInt_aux_unroll,GHC/Enum.v,0,
eq_replace_r,GHC/Base.v,13,intros;case_eq;case_eq;intros;reflexivity;assert;rewrite;discriminate;assert;rewrite;assert;rewrite;discriminate
N_popcount_Nsucc_double,Data/Bits/Popcount.v,15,intros;destruct;simpl;reflexivity;induction;simpl;rewrite;simpl;omega;simpl;rewrite;simpl;omega;simpl;omega
EqExact_Data_Either_Either,Data/Either.v,9,intros;destruct;simpl;split;intro;discriminate;contradiction;apply;apply
Pos_popcount_pow2,Data/Bits/Popcount.v,7,induction;simpl;reflexivity;rewrite;simpl;rewrite;reflexivity
Foldable_any_app,Data/Foldable.v,11,intros;induction;rewrite;rewrite;rewrite;reflexivity;rewrite;rewrite;rewrite;rewrite;reflexivity
Eq_eq_Word,GHC/Base.v,1,apply
unzip_zip,GHC/List.v,13,intros;induction;simpl;inversion;reflexivity;simpl;destruct;inversion;subst;simpl;f_equal;apply;exact
iterates'_In,GHC/Enum.v,28,induction;split;intros;inversion;destruct;omega;simpl;destruct;exists;split;omega;reflexivity;destruct;exists;split;omega;reflexivity;destruct;destruct;simpl;auto;simpl;right;apply;exists;split;omega;reflexivity
Foldable_length_nil,Data/Foldable.v,1,reflexivity
lines_def,Data/OldList.v,18,induction;simpl;reflexivity;case_eq;intros;destruct;simpl;rewrite;reflexivity;simpl;rewrite;destruct;simpl;f_equal;apply;simpl;f_equal;apply
eq_replace_l,GHC/Base.v,3,intros;rewrite;reflexivity
hs_coq_foldl'_list,Data/Foldable.v,5,induction;simpl;reflexivity;rewrite;reflexivity
instance_MonadLaws_Data_Either_Either,Data/Either.v,12,refine;simpl;unfold;reflexivity;destruct;simpl;unfold;reflexivity;destruct;simpl;unfold;reflexivity
eftInt_aux_pf,../base/GHC/Enum.v,2,intros;omega
parametric_eq_sym,GHC/Base.v,3,intros;rewrite;exact
foldr_initial,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_option,GHC/Base.v,6,intros;destruct;simpl;repeat;rewrite;auto
