name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,5,destruct;simpl;constructor;auto;discriminate
iterates_In,GHC/Enum.v,0,
Foldable_length_cons,Data/Foldable.v,2,simpl;reflexivity
flat_map_nil,GHC/Base.v,4,induction;reflexivity;simpl;apply
flat_map_unpack_cons_f,GHC/List.v,6,intros;induction;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,4,intros;unfold;simpl;reflexivity
instance_MonoidLaws_list,GHC/Base.v,9,constructor;intros;apply;intros;apply;intros;apply;intros;apply
enumFromTo_Int_iterates',GHC/Enum.v,0,
eftInt_aux_unroll,GHC/Enum.v,6,unfold;destruct;reflexivity;exfalso;apply;assumption
eq_replace_r,GHC/Base.v,3,intros;rewrite;reflexivity
N_popcount_Nsucc_double,Data/Bits/Popcount.v,4,intros;unfold;rewrite;reflexivity
EqExact_Data_Either_Either,Data/Either.v,27,constructor;intros;destruct;split;intros;apply;subst;reflexivity;inversion;apply;reflexivity;split;intros;inversion;discriminate;split;intros;inversion;discriminate;split;intros;apply;subst;reflexivity;inversion;apply;reflexivity
Pos_popcount_pow2,Data/Bits/Popcount.v,5,intros;unfold;rewrite;rewrite;reflexivity
Foldable_any_app,Data/Foldable.v,4,intros;unfold;rewrite;apply
Eq_eq_Word,GHC/Base.v,11,unfold;destruct;apply;subst;constructor;reflexivity;constructor;intros;apply;rewrite;discriminate
unzip_zip,GHC/List.v,22,intros;generalize_dependent;generalize_dependent;induction;intros;simpl;inversion;destruct;reflexivity;simpl;inversion;destruct;inversion;inversion;inversion;simpl;f_equal;inversion;reflexivity;apply;inversion;reflexivity
iterates'_In,GHC/Enum.v,25,split;induction;simpl;intros;intros;exists;split;omega;assumption;destruct;exists;split;omega;simpl;assumption;intros;revert;induction;intros;simpl;left;assumption;right;apply;assumption
Foldable_length_nil,Data/Foldable.v,1,reflexivity
lines_def,Data/OldList.v,12,unfold;destruct;reflexivity;simpl;unfold;destruct;simpl;destruct;simpl;reflexivity;simpl;reflexivity
eq_replace_l,GHC/Base.v,3,intros;rewrite;reflexivity
hs_coq_foldl'_list,Data/Foldable.v,5,unfold;induction;reflexivity;simpl;apply
instance_MonadLaws_Data_Either_Either,Data/Either.v,14,constructor;intros;unfold;unfold;reflexivity;intros;unfold;unfold;destruct;reflexivity;intros;unfold;destruct;reflexivity
eftInt_aux_pf,../base/GHC/Enum.v,2,intros;omega
parametric_eq_sym,GHC/Base.v,5,intros;unfold;unfold;destruct;apply
foldr_initial,GHC/Base.v,5,induction;reflexivity;simpl;f_equal;apply
instance_SemigroupLaws_option,GHC/Base.v,11,constructor;intros;simpl;reflexivity;rewrite;reflexivity;intros;simpl;reflexivity;rewrite;reflexivity
Build_EqLaws_reflect,GHC/Base.v,14,move;constructor;move;case;rewrite;rewrite;move;case;rewrite;rewrite;move;case;rewrite;rewrite
N_popcount_diff,Data/Bits/Popcount.v,12,intros;rewrite;intros;rewrite;rewrite;rewrite;rewrite;rewrite;destruct;destruct;simpl;omega
In_zip_swap,GHC/List.v,14,intros;revert;induction;intros;simpl;contradiction;destruct;inversion;subst;left;reflexivity;right;apply;assumption
Eq_Symmetric,GHC/Base.v,5,intros;unfold;unfold;destruct;apply
List_foldl_foldr,GHC/List.v,8,intros;revert;induction;simpl;reflexivity;intros;rewrite;reflexivity
instance_SemigroupLaws_unit,GHC/Base.v,4,constructor;intros;destruct;reflexivity
dropWhile_cons_prop,../base/Data/OldList.v,13,intros;generalize_dependent;induction;intros;simpl;inversion;simpl;destruct;apply;assumption;inversion;subst;assumption
iterates'_length,GHC/Enum.v,5,induction;reflexivity;simpl;rewrite;reflexivity
hs_coq_reverse,GHC/List.v,8,intros;induction;reflexivity;simpl;rewrite;simpl;rewrite;reflexivity
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,18,constructor;intros;unfold;destruct;reflexivity;intros;unfold;destruct;destruct;destruct;reflexivity;intros;unfold;reflexivity;intros;unfold;destruct;reflexivity
fst_pair,Data/Tuple.v,1,reflexivity
hs_coq_foldl_list',Data/Foldable.v,5,unfold;induction;reflexivity;simpl;apply
instance_FunctorLaws_identity,Data/Functor/Identity.v,5,constructor;intros;reflexivity;intros;reflexivity
iter_plus_nat,GHC/Enum.v,8,induction;simpl;reflexivity;simpl;rewrite;simpl;rewrite;reflexivity
Foldable_foldr_cons,Data/Foldable.v,3,intros;simpl;reflexivity
lines_cons,Data/OldList.v,9,intros;unfold;simpl;destruct;destruct;simpl;reflexivity;simpl;reflexivity
Foldable_foldl'_app,Data/Foldable.v,7,intros;revert;induction;simpl;intros;reflexivity;apply
flat_map_cons_id,GHC/Base.v,5,induction;reflexivity;simpl;f_equal;apply
Eq_eq_Int,GHC/Base.v,11,unfold;destruct;apply;subst;constructor;reflexivity;constructor;intros;apply;rewrite;discriminate
mapAccumL_cons,Data/Traversable.v,5,intros;simpl;destruct;destruct;reflexivity
Eq_Equivalence,GHC/Base.v,8,intros;constructor;intros;apply;intros;apply;intros;apply
break_length,../base/Data/OldList.v,9,intros;unfold;destruct;inversion;subst;apply;destruct;rewrite;apply
Neq_sym,GHC/Base.v,4,unfold;intros;apply;assumption
mapAccumL_nil,Data/Traversable.v,3,intros;simpl;reflexivity
Eq_m,GHC/Base.v,4,intros;unfold;rewrite;assumption
EqExact_Proxy,Data/Proxy.v,6,constructor;intros;destruct;split;intros;constructor
Neq_atrans,GHC/Base.v,8,move;case;move;rewrite;move;rewrite;done;rewrite
reverse_unit,GHC/List.v,7,intros;induction;simpl;reflexivity;simpl;rewrite;reflexivity
hs_coq_partition,Data/OldList.v,11,induction;simpl;reflexivity;simpl;destruct;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity
Eq_Reflexive,GHC/Base.v,3,intros;unfold;apply
reverse_append,GHC/List.v,4,intros;simpl;rewrite;reflexivity
N_popcount_1_pow2,Data/Bits/Popcount.v,35,intros;destruct;rewrite;simpl;discriminate;assert;apply;exists;split;apply;omega;rewrite;simpl;omega;intros;apply;specialize;destruct;contradiction;rewrite;simpl;omega;destruct;exists;apply;intros;destruct;subst;rewrite;apply;reflexivity;rewrite;auto;apply;reflexivity
iterates_length,GHC/Enum.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
Pop_popcount_diff,Data/Bits/Popcount.v,0,
elem_eq,Data/Foldable.v,8,intros;unfold;induction;reflexivity;simpl;rewrite;f_equal;apply
length_zip,GHC/List.v,15,intros;revert;induction;intros;destruct;simpl;auto;destruct;simpl;discriminate;f_equal;apply;simpl;inversion;reflexivity
In_zip_fst,GHC/List.v,27,intros;revert;induction;intros;simpl;contradiction;destruct;simpl;discriminate;simpl;simpl;destruct;simpl;discriminate;simpl;inversion;destruct;inversion;exists;left;reflexivity;apply;auto;destruct;exists;right;assumption
instance_ApplicativeLaws_option,GHC/Base.v,14,constructor;intros;reflexivity;intros;destruct;reflexivity;intros;destruct;destruct;destruct;reflexivity;intros;destruct;reflexivity
N_popcount_pow2,Data/Bits/Popcount.v,11,intros;unfold;rewrite;intros;rewrite;destruct;subst;rewrite;reflexivity;rewrite;reflexivity
snd_unzip_map,GHC/List.v,7,intros;induction;simpl;reflexivity;simpl;rewrite;reflexivity
words_cons,Data/OldList.v,11,intros;unfold;destruct;simpl;reflexivity;simpl;rewrite;destruct;simpl;rewrite;reflexivity
dropWhile_cons_length,../base/Data/OldList.v,15,intros;generalize_dependent;induction;intros;simpl;inversion;simpl;destruct;apply;simpl;apply;assumption;inversion;simpl;apply
words_nil,Data/OldList.v,1,reflexivity
forM_map,Data/Traversable.v,8,intros;unfold;induction;simpl;reflexivity;simpl;rewrite;reflexivity
flat_map_app,GHC/Base.v,7,induction;simpl;reflexivity;simpl;rewrite;rewrite;reflexivity
parametric_eq_trans,GHC/Base.v,5,intros;unfold;destruct;apply;assumption
safeSubN_sub,../base/GHC/Num.v,5,intros;unfold;rewrite;apply;assumption
EqExact_pair,GHC/Base.v,11,split;intros;inversion;split;apply;assumption;intros;apply;apply;subst;reflexivity
hs_coq_map,GHC/Base.v,1,reflexivity
map_id,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_list,GHC/Base.v,4,constructor;intros;unfold;apply
instance_MonadLaws_option,GHC/Base.v,12,constructor;intros;simpl;reflexivity;intros;destruct;simpl;reflexivity;intros;destruct;simpl;reflexivity
iterates'_ext,GHC/Enum.v,4,move;elim;rewrite;apply
Neq_neq,GHC/Base.v,11,unfold;destruct;apply;intros;apply;apply;assumption;apply;intros;apply;congruence
unzip_equal_length,GHC/List.v,15,intros;generalize_dependent;generalize_dependent;induction;intros;simpl;inversion;reflexivity;simpl;inversion;subst;specialize;simpl;f_equal;assumption
elem_nil,Data/Foldable.v,3,intros;simpl;reflexivity
instance_ApplicativeLaws_identity,Data/Functor/Identity.v,9,split;intros;reflexivity;intros;reflexivity;intros;reflexivity;intros;reflexivity
hs_coq_length_list',Data/Foldable.v,6,unfold;induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_comparison,GHC/Base.v,20,split;intros;unfold;destruct;simpl;reflexivity;destruct;simpl;reflexivity;destruct;simpl;reflexivity;intros;unfold;destruct;simpl;reflexivity;destruct;simpl;reflexivity
EqExact_comparison,GHC/Base.v,7,unfold;intros;split;intros;apply;intros;apply
simpl_list_nil_eq,GHC/Base.v,1,reflexivity
Foldable_foldl'_nil,Data/Foldable.v,3,intros;simpl;reflexivity
Foldable_elem_proper,Data/Foldable.v,9,intros;unfold;unfold;rewrite;apply;intros;rewrite;reflexivity;reflexivity
simpl_option_some_eq,GHC/Base.v,3,unfold;simpl;reflexivity
hs_coq_foldr_list',Data/Foldable.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_MonoidLaws_comparison,GHC/Base.v,15,split;intros;unfold;unfold;destruct;reflexivity;intros;unfold;unfold;destruct;reflexivity;intros;unfold;destruct;reflexivity
