name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,5,destruct;simpl;constructor;reflexivity;discriminate
iterates_In,GHC/Enum.v,38,split;intros;induction;simpl;destruct;subst;exists;simpl;auto;simpl;destruct;subst;exists;simpl;rewrite;reflexivity;apply;destruct;exists;simpl;rewrite;auto;destruct;revert;induction;simpl;intros;subst;apply;subst;left;reflexivity;simpl;destruct;subst;right;apply;auto
Foldable_length_cons,Data/Foldable.v,2,simpl;reflexivity
flat_map_nil,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
flat_map_unpack_cons_f,GHC/List.v,8,intros;induction;simpl;reflexivity;simpl;destruct;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,5,intros;unfold;rewrite;simpl;reflexivity
instance_MonoidLaws_list,GHC/Base.v,14,split;intros;induction;simpl;apply;simpl;rewrite;reflexivity;induction;simpl;apply;simpl;rewrite;reflexivity
enumFromTo_Int_iterates',GHC/Enum.v,20,rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;apply;rewrite;rewrite;rewrite;reflexivity;apply;apply;apply;apply;apply;apply;apply;apply;apply
eftInt_aux_unroll,GHC/Enum.v,14,induction;simpl;rewrite;subst;rewrite;rewrite;reflexivity;simpl;rewrite;apply;rewrite;rewrite;rewrite;reflexivity
eq_replace_r,GHC/Base.v,6,move;apply;rewrite;apply;rewrite;reflexivity
N_popcount_Nsucc_double,Data/Bits/Popcount.v,10,intros;unfold;rewrite;simpl;rewrite;rewrite;rewrite;simpl;rewrite;reflexivity
EqExact_Data_Either_Either,Data/Either.v,6,constructor;intros;apply;discriminate;discriminate;apply
Pos_popcount_pow2,Data/Bits/Popcount.v,9,intros;unfold;rewrite;simpl;rewrite;rewrite;rewrite;simpl;reflexivity
Foldable_any_app,Data/Foldable.v,6,intros;unfold;rewrite;rewrite;rewrite;reflexivity
Eq_eq_Word,GHC/Base.v,6,rewrite;case;constructor;rewrite;constructor;rewrite
unzip_zip,GHC/List.v,12,intros;induction;simpl;subst;reflexivity;destruct;simpl;destruct;subst;rewrite;reflexivity;reflexivity
iterates'_In,GHC/Enum.v,21,split;intros;induction;exists;split;done;rewrite;reflexivity;destruct;exists;split;apply;apply;rewrite;rewrite;reflexivity;destruct;apply;apply;apply;apply
Foldable_length_nil,Data/Foldable.v,2,simpl;reflexivity
lines_def,Data/OldList.v,13,intros;destruct;rewrite;apply;simpl;destruct;simpl;destruct;simpl;reflexivity;simpl;rewrite;reflexivity
eq_replace_l,GHC/Base.v,9,move;apply;rewrite;apply;rewrite;apply;apply;apply;apply
hs_coq_foldl'_list,Data/Foldable.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
instance_MonadLaws_Data_Either_Either,Data/Either.v,32,split;intros;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto
eftInt_aux_pf,../base/GHC/Enum.v,7,intros;apply;apply;apply;apply;apply;apply
parametric_eq_sym,GHC/Base.v,4,intros;unfold;apply;apply
foldr_initial,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_option,GHC/Base.v,11,constructor;intros;destruct;simpl;auto;apply;auto;apply;auto;apply;auto
Build_EqLaws_reflect,GHC/Base.v,7,move;split;move;apply;move;rewrite;rewrite
N_popcount_diff,Data/Bits/Popcount.v,14,intros;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;reflexivity
In_zip_swap,GHC/List.v,13,intros;induction;simpl;contradiction;simpl;destruct;subst;simpl;left;reflexivity;right;apply;assumption
Eq_Symmetric,GHC/Base.v,2,intros;apply
List_foldl_foldr,GHC/List.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_unit,GHC/Base.v,5,split;intros;destruct;simpl;reflexivity
dropWhile_cons_prop,../base/Data/OldList.v,9,intros;rewrite;destruct;simpl;discriminate;simpl;inversion;subst;apply
iterates'_length,GHC/Enum.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
hs_coq_reverse,GHC/List.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,8,split;intros;destruct;simpl;auto;destruct;simpl;auto
fst_pair,Data/Tuple.v,2,unfold;reflexivity
hs_coq_foldl_list',Data/Foldable.v,8,induction;simpl;rewrite;reflexivity;simpl;rewrite;rewrite;reflexivity
instance_FunctorLaws_identity,Data/Functor/Identity.v,8,split;intros;simpl;auto;rewrite;reflexivity;rewrite;reflexivity
iter_plus_nat,GHC/Enum.v,8,induction;simpl;rewrite;reflexivity;simpl;rewrite;rewrite;reflexivity
Foldable_foldr_cons,Data/Foldable.v,4,intros;unfold;rewrite;reflexivity
lines_cons,Data/OldList.v,11,intros;unfold;rewrite;destruct;simpl;destruct;simpl;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl'_app,Data/Foldable.v,8,intros;induction;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity
flat_map_cons_id,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
Eq_eq_Int,GHC/Base.v,8,rewrite;case;constructor;exact;constructor;move;rewrite;discriminate
mapAccumL_cons,Data/Traversable.v,9,intros;unfold;rewrite;rewrite;simpl;destruct;destruct;simpl;reflexivity
Eq_Equivalence,GHC/Base.v,13,split;intros;unfold;repeat;split;intros;apply;intros;apply;apply;intros;apply;assumption
break_length,../base/Data/OldList.v,13,intros;unfold;destruct;rewrite;destruct;rewrite;simpl;apply;apply;apply;rewrite;apply;apply
Neq_sym,GHC/Base.v,3,intros;apply;exact
mapAccumL_nil,Data/Traversable.v,3,intros;simpl;reflexivity
Eq_m,GHC/Base.v,6,intros;intros;unfold;unfold;rewrite;reflexivity
EqExact_Proxy,Data/Proxy.v,4,constructor;intros;destruct;reflexivity
Neq_atrans,GHC/Base.v,9,move;apply;case;left;apply;rewrite;right;apply;rewrite
