name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,1,exact
iterates_In,GHC/Enum.v,51,split;intros;induction;simpl;destruct;exists;split;auto;simpl;reflexivity;simpl;destruct;exists;split;apply;simpl;reflexivity;apply;destruct;destruct;exists;split;apply;simpl;rewrite;reflexivity;intros;induction;simpl;destruct;inversion;subst;simpl;left;rewrite;reflexivity;simpl;destruct;simpl;left;rewrite;reflexivity;simpl;right;rewrite;apply;apply;exists;split;apply;reflexivity
Foldable_length_cons,Data/Foldable.v,7,unfold;simpl;induction;reflexivity;simpl;rewrite;reflexivity
flat_map_nil,GHC/Base.v,5,induction;simpl;reflexivity;rewrite;reflexivity
flat_map_unpack_cons_f,GHC/List.v,6,intros;induction;simpl;reflexivity;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,3,intros;simpl;reflexivity
instance_MonoidLaws_list,GHC/Base.v,11,constructor;intros;simpl;rewrite;rewrite;reflexivity;intros;simpl;rewrite;rewrite;reflexivity
enumFromTo_Int_iterates',GHC/Enum.v,23,induction;simpl;destruct;reflexivity;apply;rewrite;apply;subst;omega;simpl;omega;destruct;f_equal;apply;apply;omega;assumption;apply;rewrite;apply;omega;simpl;omega
eftInt_aux_unroll,GHC/Enum.v,3,unfold;simpl;reflexivity
eq_replace_r,GHC/Base.v,0,
N_popcount_Nsucc_double,Data/Bits/Popcount.v,4,intros;unfold;simpl;reflexivity
EqExact_Data_Either_Either,Data/Either.v,10,intros;destruct;simpl;discriminate;f_equal;apply;assumption;f_equal;apply;assumption
Pos_popcount_pow2,Data/Bits/Popcount.v,3,intros;rewrite;apply
Foldable_any_app,Data/Foldable.v,8,intros;unfold;induction;simpl;reflexivity;rewrite;rewrite;reflexivity
Eq_eq_Word,GHC/Base.v,3,intros;simpl;apply
unzip_zip,GHC/List.v,19,intros;induction;intros;simpl;destruct;discriminate;destruct;discriminate;reflexivity;simpl;destruct;simpl;inversion;subst;clear;simpl;f_equal;apply;assumption
iterates'_In,GHC/Enum.v,20,unfold;rewrite;split;intros;exists;split;rewrite;destruct;assumption;symmetry_in;assumption;intros;exists;split;rewrite;split;omega;omega;now;rewrite
Foldable_length_nil,Data/Foldable.v,3,unfold;simpl;reflexivity
lines_def,Data/OldList.v,3,destruct;simpl;reflexivity
eq_replace_l,GHC/Base.v,23,intros;destruct;destruct;reflexivity;assert;rewrite;assert;rewrite;assert;specialize;rewrite;discriminate;assert;rewrite;assert;rewrite;assert;rewrite;assert;specialize;rewrite;discriminate;reflexivity
hs_coq_foldl'_list,Data/Foldable.v,5,induction;simpl;reflexivity;rewrite;reflexivity
instance_MonadLaws_Data_Either_Either,Data/Either.v,12,constructor;intros;simpl;reflexivity;intros;destruct;simpl;reflexivity;intros;destruct;simpl;reflexivity
eftInt_aux_pf,../base/GHC/Enum.v,5,intros;apply;apply;split;assumption
parametric_eq_sym,GHC/Base.v,4,intros;destruct;destruct;apply
foldr_initial,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_option,GHC/Base.v,6,constructor;intros;simpl;reflexivity;rewrite;reflexivity
Build_EqLaws_reflect,GHC/Base.v,3,intros;apply;assumption
N_popcount_diff,Data/Bits/Popcount.v,2,intros;apply
In_zip_swap,GHC/List.v,19,intros;revert;induction;intros;simpl;destruct;destruct;simpl;destruct;destruct;inversion;subst;simpl;left;reflexivity;simpl;right;apply;assumption
Eq_Symmetric,GHC/Base.v,3,intros;rewrite;exact
List_foldl_foldr,GHC/List.v,5,induction;simpl;reflexivity;rewrite;reflexivity
instance_SemigroupLaws_unit,GHC/Base.v,3,constructor;intros;reflexivity
dropWhile_cons_prop,../base/Data/OldList.v,11,induction;simpl;intros;discriminate;destruct;apply;assumption;inversion;subst;rewrite;reflexivity
iterates'_length,GHC/Enum.v,5,induction;simpl;reflexivity;rewrite;reflexivity
hs_coq_reverse,GHC/List.v,11,unfold;assert;intros;induction;simpl;auto;rewrite;rewrite;rewrite;reflexivity;apply
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,17,constructor;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;destruct;simpl;reflexivity;destruct;simpl;reflexivity;destruct;simpl;reflexivity
fst_pair,Data/Tuple.v,1,reflexivity
hs_coq_foldl_list',Data/Foldable.v,7,intros;generalize_dependent;induction;intros;simpl;reflexivity;apply
instance_FunctorLaws_identity,Data/Functor/Identity.v,9,constructor;intros;destruct;simpl;reflexivity;intros;destruct;simpl;reflexivity
iter_plus_nat,GHC/Enum.v,5,induction;simpl;reflexivity;rewrite;reflexivity
Foldable_foldr_cons,Data/Foldable.v,3,intros;simpl;reflexivity
lines_cons,Data/OldList.v,3,intros;simpl;reflexivity
Foldable_foldl'_app,Data/Foldable.v,7,intros;revert;induction;intros;simpl;reflexivity;apply
flat_map_cons_id,GHC/Base.v,5,induction;simpl;reflexivity;rewrite;reflexivity
Eq_eq_Int,GHC/Base.v,2,simpl;apply
mapAccumL_cons,Data/Traversable.v,3,intros;simpl;reflexivity
Eq_Equivalence,GHC/Base.v,4,constructor;apply;apply;apply
break_length,../base/Data/OldList.v,21,intros;induction;simpl;inversion;subst;simpl;apply;simpl;destruct;inversion;subst;simpl;apply;destruct;inversion;subst;clear;simpl;apply;apply;apply
Neq_sym,GHC/Base.v,9,intros;destruct;destruct;apply;intro;apply;apply;symmetry;apply
mapAccumL_nil,Data/Traversable.v,3,intros;simpl;reflexivity
Eq_m,GHC/Base.v,4,intros;assert;assert;reflexivity
EqExact_Proxy,Data/Proxy.v,6,constructor;intros;simpl;split;intros;reflexivity
Neq_atrans,GHC/Base.v,13,intros;destruct;destruct;simpl;rewrite;simpl;discriminate;simpl;right;assumption;simpl;left;assumption
reverse_unit,GHC/List.v,5,induction;simpl;reflexivity;rewrite;reflexivity
hs_coq_partition,Data/OldList.v,9,induction;simpl;reflexivity;simpl;destruct;rewrite;reflexivity;rewrite;reflexivity
Eq_Reflexive,GHC/Base.v,2,intros;apply
reverse_append,GHC/List.v,4,intros;simpl;rewrite;reflexivity
N_popcount_1_pow2,Data/Bits/Popcount.v,20,intros;destruct;simpl;discriminate;simpl;induction;simpl;intros;exists;unfold;apply;intros;apply;exists;unfold;rewrite;rewrite;apply;intros;discriminate
iterates_length,GHC/Enum.v,5,induction;simpl;reflexivity;rewrite;reflexivity
Pop_popcount_diff,Data/Bits/Popcount.v,4,intros;cbn;rewrite;reflexivity
elem_eq,Data/Foldable.v,0,
length_zip,GHC/List.v,9,induction;intros;simpl;discriminate;reflexivity;inversion;f_equal;apply;assumption
In_zip_fst,GHC/List.v,25,intros;induction;simpl;inversion;destruct;simpl;inversion;destruct;simpl;inversion;simpl;injection;clear;inversion;clear;subst;exists;simpl;left;reflexivity;destruct;exists;simpl;right;apply
instance_ApplicativeLaws_option,GHC/Base.v,16,constructor;intros;simpl;destruct;reflexivity;intros;simpl;destruct;reflexivity;intros;simpl;reflexivity;intros;simpl;destruct;reflexivity
N_popcount_pow2,Data/Bits/Popcount.v,8,intros;unfold;rewrite;simpl;rewrite;apply;simpl;reflexivity
snd_unzip_map,GHC/List.v,6,intros;induction;simpl;reflexivity;rewrite;reflexivity
words_cons,Data/OldList.v,3,intros;simpl;reflexivity
dropWhile_cons_length,../base/Data/OldList.v,11,intros;induction;simpl;discriminate;destruct;apply;simpl;omega;injection;simpl;omega
words_nil,Data/OldList.v,2,simpl;reflexivity
forM_map,Data/Traversable.v,7,intros;unfold;induction;simpl;reflexivity;rewrite;reflexivity
flat_map_app,GHC/Base.v,7,induction;intros;simpl;reflexivity;rewrite;rewrite;reflexivity
parametric_eq_trans,GHC/Base.v,6,intros;destruct;constructor;intros;apply;assumption
safeSubN_sub,../base/GHC/Num.v,5,intros;unfold;apply;rewrite;reflexivity
EqExact_pair,GHC/Base.v,15,intros;simpl;rewrite;split;intros;apply;apply;apply;subst;reflexivity;intros;subst;apply;split;apply
hs_coq_map,GHC/Base.v,1,reflexivity
map_id,GHC/Base.v,5,induction;simpl;reflexivity;rewrite;reflexivity
instance_SemigroupLaws_list,GHC/Base.v,5,constructor;intros;unfold;simpl;apply
instance_MonadLaws_option,GHC/Base.v,11,intros;simpl;reflexivity;intros;destruct;simpl;reflexivity;intros;destruct;simpl;reflexivity
iterates'_ext,GHC/Enum.v,6,move;elim;f_equal;rewrite;apply;apply
Neq_neq,GHC/Base.v,9,unfold;destruct;simpl;constructor;intros;apply;apply;constructor;apply
unzip_equal_length,GHC/List.v,13,intros;induction;simpl;inversion;reflexivity;simpl;destruct;inversion;subst;simpl;f_equal;apply;assumption
elem_nil,Data/Foldable.v,3,intros;simpl;reflexivity
instance_ApplicativeLaws_identity,Data/Functor/Identity.v,18,constructor;intros;destruct;simpl;reflexivity;intros;simpl;reflexivity;intros;destruct;simpl;reflexivity;intros;destruct;destruct;destruct;simpl;reflexivity
hs_coq_length_list',Data/Foldable.v,5,induction;simpl;reflexivity;rewrite;reflexivity
instance_SemigroupLaws_comparison,GHC/Base.v,4,intros;destruct;simpl;reflexivity
EqExact_comparison,GHC/Base.v,8,unfold;intros;destruct;simpl;split;intros;discriminate;reflexivity
simpl_list_nil_eq,GHC/Base.v,2,simpl;reflexivity
Foldable_foldl'_nil,Data/Foldable.v,3,intros;simpl;reflexivity
Foldable_elem_proper,Data/Foldable.v,6,intros;apply;subst;apply;subst;reflexivity
simpl_option_some_eq,GHC/Base.v,2,cbn;reflexivity
hs_coq_foldr_list',Data/Foldable.v,5,induction;simpl;reflexivity;now;rewrite
instance_MonoidLaws_comparison,GHC/Base.v,7,constructor;intros;destruct;reflexivity;intros;destruct;reflexivity
instance_ApplicativeLaws_list,GHC/Base.v,0,
flat_map_concat_map,GHC/Base.v,5,induction;simpl;reflexivity;rewrite;reflexivity
map_snd_zip,GHC/List.v,17,intros;revert;induction;intros;simpl;destruct;simpl;reflexivity;discriminate;simpl;destruct;simpl;discriminate;inversion;f_equal;apply;assumption
iter_plus_N,GHC/Enum.v,7,induction;simpl;reflexivity;simpl;rewrite;rewrite;reflexivity
EqLaws_Data_Either_Either,Data/Either.v,21,intros;destruct;simpl;destruct;apply;f_equal;apply;inversion;apply;assumption;apply;inversion;apply;inversion;destruct;apply;f_equal;apply;inversion;apply;assumption
instance_MonoidLaws_unit,GHC/Base.v,3,constructor;intros;reflexivity
Eq_Transitive,GHC/Base.v,3,intros;apply;assumption
EqLaws_Int,GHC/Base.v,13,constructor;intros;simpl;apply;intros;simpl;apply;intros;simpl;apply;apply;subst;apply
Neq_irrefl,GHC/Base.v,4,intros;simpl;rewrite;discriminate
take_drop,GHC/List.v,9,intros;induction;simpl;reflexivity;destruct;simpl;reflexivity;rewrite;reflexivity
Foldable_foldl_nil,Data/Foldable.v,3,intros;simpl;reflexivity
Foldable_foldr_nil,Data/Foldable.v,3,unfold;simpl;apply
hs_coq_lenAcc,GHC/List.v,5,induction;simpl;reflexivity;rewrite;omega
fmfm,GHC/Base.v,12,induction;simpl;reflexivity;rewrite;assert;induction;simpl;reflexivity;rewrite;reflexivity;rewrite;reflexivity
hs_coq_foldr_base,GHC/Base.v,1,reflexivity
instance_FunctorLaws_list,GHC/Base.v,9,split;intros;simpl;rewrite;reflexivity;intros;simpl;rewrite;reflexivity
hs_coq_tuple_fst,Data/Tuple.v,2,destruct;reflexivity
instance_FunctorLaws_Data_Either_Either,Data/Either.v,10,split;apply;intros;destruct;reflexivity;intros;apply;intros;destruct;reflexivity
eftInt_In,GHC/Enum.v,14,unfold;rewrite;split;intros;apply;assumption;intros;destruct;simpl;apply;exists;split;reflexivity;assumption
EqExact_list,GHC/Base.v,0,
Foldable_any_cons,Data/Foldable.v,3,unfold;simpl;reflexivity
Foldable_foldr_app,Data/Foldable.v,3,intros;simpl;apply
foldr_nil,GHC/Base.v,2,simpl;reflexivity
map_map,GHC/Base.v,5,induction;simpl;reflexivity;rewrite;reflexivity
instance_MonadLaws_identity,Data/Functor/Identity.v,12,constructor;intros;simpl;reflexivity;intros;destruct;simpl;reflexivity;intros;destruct;simpl;reflexivity
Foldable_any_nil,Data/Foldable.v,3,intros;simpl;reflexivity
simpl_option_none_eq,GHC/Base.v,2,cbn;reflexivity
instance_MonadLaws_list,GHC/Base.v,0,
reverse_nil,GHC/List.v,2,simpl;reflexivity
zip_unzip_map,GHC/List.v,7,induction;simpl;reflexivity;destruct;simpl;rewrite;reflexivity
EqLaws_pair,GHC/Base.v,13,split;move;cbn;apply;split;move;rewrite;move;injection;split;move;cbn;rewrite
EqExact_unit,GHC/Base.v,7,constructor;intros;destruct;simpl;split;intros;reflexivity
EqExact_Word,GHC/Base.v,3,intros;simpl;apply
length_app,GHC/List.v,5,induction;simpl;omega;rewrite;omega
Foldable_foldl_app,Data/Foldable.v,3,intros;simpl;apply
hs_coq_list_length,GHC/List.v,3,induction;simpl;omega
iterates_map,GHC/Enum.v,0,
N_popcount_Ndouble,Data/Bits/Popcount.v,4,intros;unfold;simpl;reflexivity
EqExact_bool,GHC/Base.v,6,constructor;intros;destruct;simpl;split;congruence
iterates'_map,GHC/Enum.v,15,induction;simpl;reflexivity;simpl;rewrite;simpl;rewrite;rewrite;rewrite;apply;apply;intros;induction;simpl;auto
Neq_inv,GHC/Base.v,1,apply
map_cong,GHC/Base.v,0,
EqLaws_list,GHC/Base.v,0,
hs_coq_foldr_list,Data/Foldable.v,5,induction;simpl;reflexivity;rewrite;reflexivity
EqLaws_comparison,GHC/Base.v,13,constructor;constructor;intros;extensionality;reflexivity;intros;extensionality;apply;intros;extensionality;transitivity;apply;apply
iterates_iterates',GHC/Enum.v,5,induction;simpl;reflexivity;rewrite;reflexivity
simpl_list_cons_eq,GHC/Base.v,2,simpl;reflexivity
flat_map_cons_f,GHC/Base.v,5,induction;simpl;reflexivity;rewrite;reflexivity
EqLaws_Word,GHC/Base.v,3,constructor;intros;apply
In_zip_map,GHC/List.v,10,intros;induction;simpl;intros;inversion;destruct;inversion;reflexivity;apply;assumption
EqLaws_bool,GHC/Base.v,5,split;apply;intros;rewrite;apply
hs_coq_foldl_list,Data/Foldable.v,8,cbn;apply;intro;induction;cbn;reflexivity;rewrite;reflexivity
reverse_involutive,GHC/List.v,7,induction;simpl;reflexivity;rewrite;rewrite;simpl;reflexivity
map_append,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
EqLaws_option,GHC/Base.v,17,constructor;intros;simpl;apply;split;intro;f_equal;assumption;intro;inversion;assumption;apply;discriminate;apply;discriminate;apply;reflexivity
EqLaws_unit,GHC/Base.v,0,
concat_map,GHC/Base.v,0,
length_cons,GHC/List.v,3,simpl;rewrite;reflexivity
foldr_id,GHC/Base.v,5,induction;simpl;reflexivity;simpl;apply
instance_FunctorLaws_option,GHC/Base.v,9,constructor;intros;destruct;simpl;reflexivity;intros;destruct;simpl;reflexivity
flat_map_map,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
Foldable_elem_app,Data/Foldable.v,0,
EqExact_Down,Data/Ord.v,4,constructor;intros;simpl;apply
iter_plus_Z,GHC/Enum.v,5,induction;simpl;reflexivity;rewrite;ring
iterates_ext,GHC/Enum.v,0,
length_nil,GHC/List.v,2,simpl;reflexivity
enumFromTo_Int_In,GHC/Enum.v,12,unfold;destruct;rewrite;split;intros;omega;split;intros;inversion;intros;apply;omega
eftInt_iterates',GHC/Enum.v,7,unfold;destruct;reflexivity;simpl;rewrite;reflexivity;omega
In_zip,GHC/List.v,20,intros;revert;induction;intros;simpl;inversion;destruct;inversion;simpl;destruct;inversion;subst;split;apply;apply;apply;destruct;split;apply;apply
instance_MonoidLaws_option,GHC/Base.v,7,split;intros;simpl;reflexivity;intros;simpl;reflexivity
eftInt_aux_In,GHC/Enum.v,1,apply
snd_unzip,GHC/List.v,10,intros;induction;simpl;reflexivity;destruct;simpl;rewrite;simpl;rewrite;reflexivity
N_double_succ,Data/Bits/Popcount.v,4,intros;destruct;simpl;reflexivity
