name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,1,exact
iterates_In,GHC/Enum.v,18,rewrite;split;move;rewrite;destruct;subst;exists;split;apply;reflexivity;move;subst;apply_<-;exists;split;apply;apply;reflexivity
Foldable_length_cons,Data/Foldable.v,3,rewrite;rewrite;reflexivity
flat_map_nil,GHC/Base.v,5,induction;simpl;reflexivity;rewrite;reflexivity
flat_map_unpack_cons_f,GHC/List.v,6,intros;induction;simpl;reflexivity;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,3,intros;simpl;apply
instance_MonoidLaws_list,GHC/Base.v,18,constructor;intros;simpl;rewrite;apply;intros;simpl;rewrite;apply;intros;simpl;apply;intros;simpl;apply;elim;rewrite;reflexivity
enumFromTo_Int_iterates',GHC/Enum.v,1,rewrite
eftInt_aux_unroll,GHC/Enum.v,16,apply;intros;unfold;simpl;destruct;reflexivity;simpl;f_equal;apply;simpl;assert;destruct;simpl;lia;lia;exact
eq_replace_r,GHC/Base.v,4,intros;apply;apply;exact
N_popcount_Nsucc_double,Data/Bits/Popcount.v,3,intros;simpl;reflexivity
EqExact_Data_Either_Either,Data/Either.v,28,constructor;intros;destruct;simpl;destruct;apply;rewrite;reflexivity;apply;intro;inversion;apply;assumption;apply;intro;inversion;apply;intro;inversion;destruct;apply;rewrite;reflexivity;apply;intro;inversion;apply;assumption
Pos_popcount_pow2,Data/Bits/Popcount.v,8,intros;apply;rewrite;rewrite;rewrite;rewrite;simpl;reflexivity
Foldable_any_app,Data/Foldable.v,11,intros;unfold;simpl;rewrite;induction;simpl;rewrite;reflexivity;rewrite;rewrite;reflexivity
Eq_eq_Word,GHC/Base.v,1,apply
unzip_zip,GHC/List.v,15,intros;induction;intros;simpl;inversion;reflexivity;simpl;inversion;subst;clear;destruct;simpl;f_equal;apply;assumption
iterates'_In,GHC/Enum.v,39,intros;induction;simpl;split;intros;inversion;destruct;inversion;split;intros;exists;split;omega;reflexivity;specialize;destruct;apply;destruct;exists;split;omega;rewrite;assumption;intros;destruct;simpl;simpl;subst;left;reflexivity;rewrite;right;specialize;destruct;apply;exists;split;omega;assumption
Foldable_length_nil,Data/Foldable.v,3,unfold;simpl;reflexivity
lines_def,Data/OldList.v,3,intros;simpl;reflexivity
eq_replace_l,GHC/Base.v,2,intros;apply
hs_coq_foldl'_list,Data/Foldable.v,2,rewrite;apply
instance_MonadLaws_Data_Either_Either,Data/Either.v,23,split;intros;simpl;reflexivity;intros;destruct;simpl;reflexivity;intros;destruct;simpl;reflexivity;intros;simpl;reflexivity;intros;simpl;reflexivity;intros;destruct;destruct;simpl;reflexivity
eftInt_aux_pf,../base/GHC/Enum.v,2,intros;omega
parametric_eq_sym,GHC/Base.v,3,intros;destruct;exact
foldr_initial,GHC/Base.v,5,induction;simpl;reflexivity;rewrite;reflexivity
instance_SemigroupLaws_option,GHC/Base.v,5,intros;destruct;simpl;apply;apply
Build_EqLaws_reflect,GHC/Base.v,0,
N_popcount_diff,Data/Bits/Popcount.v,4,intros;simpl;reflexivity;apply
In_zip_swap,GHC/List.v,16,induction;intros;simpl;inversion;destruct;simpl;inversion;simpl;inversion;inversion;subst;simpl;apply;apply;apply;assumption
Eq_Symmetric,GHC/Base.v,2,intros;exact
List_foldl_foldr,GHC/List.v,8,intros;revert;induction;intros;simpl;reflexivity;rewrite;reflexivity
instance_SemigroupLaws_unit,GHC/Base.v,4,constructor;intros;simpl;reflexivity
dropWhile_cons_prop,../base/Data/OldList.v,11,intros;induction;simpl;discriminate;destruct;apply;assumption;inversion;subst;rewrite;reflexivity
iterates'_length,GHC/Enum.v,2,elim;rewrite
hs_coq_reverse,GHC/List.v,11,unfold;assert;intros;induction;intros;simpl;reflexivity;rewrite;apply;rewrite;apply
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,24,split;intros;destruct;simpl;reflexivity;intros;destruct;destruct;destruct;simpl;reflexivity;intros;simpl;reflexivity;intros;destruct;simpl;reflexivity;intros;simpl;reflexivity;intros;simpl;reflexivity
fst_pair,Data/Tuple.v,2,simpl;reflexivity
hs_coq_foldl_list',Data/Foldable.v,8,intros;unfold;revert;induction;simpl;intros;reflexivity;apply
instance_FunctorLaws_identity,Data/Functor/Identity.v,7,constructor;intros;simpl;reflexivity;intros;simpl;reflexivity
iter_plus_nat,GHC/Enum.v,5,induction;simpl;reflexivity;rewrite;reflexivity
Foldable_foldr_cons,Data/Foldable.v,4,intros;unfold;simpl;reflexivity
