name,file,tactics_count,tactics
Eq_eq_bool,GHC/Base.v,11,destruct;destruct;simpl;constructor;reflexivity;constructor;discriminate;constructor;discriminate;constructor;reflexivity
iterates_In,GHC/Enum.v,15,rewrite;rewrite;split;move;exists;split;apply;assumption;assumption;move;exists;split;apply;assumption;assumption
Foldable_length_cons,Data/Foldable.v,2,rewrite;apply
flat_map_nil,GHC/Base.v,1,elim
flat_map_unpack_cons_f,GHC/List.v,5,induction;simpl;reflexivity;rewrite;reflexivity
Foldable_foldl'_cons,Data/Foldable.v,4,intros;unfold;simpl;auto
instance_MonoidLaws_list,GHC/Base.v,18,split;intros;simpl;rewrite;apply;intros;simpl;rewrite;apply;intros;simpl;apply;intros;apply;induction;simpl;auto;rewrite
enumFromTo_Int_iterates',GHC/Enum.v,1,apply
eftInt_aux_unroll,GHC/Enum.v,2,rewrite;reflexivity
eq_replace_r,GHC/Base.v,2,intros;apply
N_popcount_Nsucc_double,Data/Bits/Popcount.v,6,intros;destruct;simpl;reflexivity;rewrite;reflexivity
EqExact_Data_Either_Either,Data/Either.v,28,intros;destruct;destruct;simpl;destruct;apply;f_equal;assumption;apply;intros;inversion;apply;assumption;apply;intros;inversion;apply;intros;inversion;destruct;apply;f_equal;assumption;apply;intros;inversion;apply;assumption
Pos_popcount_pow2,Data/Bits/Popcount.v,25,induction;simpl;reflexivity;assert;clear;induction;simpl;auto;reflexivity;apply;apply;rewrite;reflexivity;assert;clear;induction;simpl;auto;reflexivity;apply;apply;rewrite;simpl;rewrite;apply
Foldable_any_app,Data/Foldable.v,10,intros;induction;simpl;rewrite;reflexivity;rewrite;rewrite;destruct;simpl;reflexivity
Eq_eq_Word,GHC/Base.v,10,unfold;simpl;case;constructor;apply;exact;move;apply;rewrite;discriminate
unzip_zip,GHC/List.v,17,intros;induction;intros;simpl;inversion;reflexivity;unfold;simpl;destruct;simpl;inversion;subst;clear;simpl;f_equal;apply;assumption
iterates'_In,GHC/Enum.v,16,rewrite;split;intros;apply;destruct;apply;exists;split;assumption;destruct;apply;exists;split;apply;assumption;assumption
Foldable_length_nil,Data/Foldable.v,3,unfold;simpl;reflexivity
lines_def,Data/OldList.v,2,simpl;reflexivity
eq_replace_l,GHC/Base.v,5,intros;rewrite;rewrite;apply;assumption
hs_coq_foldl'_list,Data/Foldable.v,4,induction;simpl;reflexivity;apply
instance_MonadLaws_Data_Either_Either,Data/Either.v,20,split;repeat;unfold;simpl;intros;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;reflexivity;intros;reflexivity;intros;destruct;destruct;reflexivity
eftInt_aux_pf,../base/GHC/Enum.v,2,intros;omega
parametric_eq_sym,GHC/Base.v,2,intros;exact
foldr_initial,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_option,GHC/Base.v,11,split;unfold;intros;destruct;destruct;destruct;simpl;hs_simpl;apply;reflexivity;apply
Build_EqLaws_reflect,GHC/Base.v,29,intros;constructor;intros;specialize;destruct;reflexivity;congruence;intros;destruct;subst;destruct;reflexivity;congruence;destruct;congruence;reflexivity;intros;destruct;simpl;subst;destruct;simpl;subst;destruct;reflexivity;congruence;discriminate;discriminate;apply
N_popcount_diff,Data/Bits/Popcount.v,4,intros;simpl;reflexivity;apply
In_zip_swap,GHC/List.v,18,intros;generalize_dependent;induction;intros;simpl;inversion;destruct;inversion;simpl;inversion;subst;simpl;left;reflexivity;simpl;right;apply;assumption
Eq_Symmetric,GHC/Base.v,2,intros;apply
List_foldl_foldr,GHC/List.v,6,intros;induction;simpl;reflexivity;rewrite;reflexivity
instance_SemigroupLaws_unit,GHC/Base.v,2,intros;reflexivity
