name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,False,feedback,The reference e was not found in the current environment.
reachable_seen,systems/SeqNumCorrect.v,False,feedback,No matching clauses for match.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,"Found no subterm matching ""?M1569 ++ []"" in the current goal."
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,The reference h was not found in the current environment.
locks_correct_locked_at_head,systems/LiveLockServ.v,True,,
trace_outputs_input,systems/Counter.v,True,,
revertNetwork_In,systems/SeqNumCorrect.v,False,add_err,Syntax error: [unfold_occ] expected after 'unfold' (in [tactic:simple_tactic]).
reachable_intro,systems/LockServ.v,True,,
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : Name -> Data c : Client_index st' : Data Hheld : held st' = true Hat_head : at_head_of_queue sigma c Hlocks_correct : forall n : Client_index,                  held (sigma (Client n)) = true ->                  exists t : list Client_index, queue (sigma Server) = n :: t n : Client_index Hheld_n : held             (if name_eq_dec (Client n) (Client c)              then st'              else sigma (Client n)) = true The term ""Client c"" has type ""Name"" while it is expected to have type ""name""."
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,The reference Heqb was not found in the current environment.
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,No such hypothesis: H1
inductive_invariant_true_in_reachable,core/Net.v,True,,
locks_correct_input_handlers,systems/LiveLockServ.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,"No such bound variable p (possible names are: net0, net', failed, p0, xs0, ys0, out0, d0 and l0)."
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,Cannot find any non-recursive equality over b.
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,No product even after head-reduction.
at_head_of_queue_intro,systems/LockServ.v,True,,
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,feedback,"In environment base_fst, base_snd : BaseParams labeled_multi_fst : LabeledMultiParams base_fst labeled_multi_snd : LabeledMultiParams base_snd base_map : BaseParamsPartialMap base_fst base_snd name_map : MultiParamsNameTotalMap unlabeled_multi_params              unlabeled_multi_params msg_map : MultiParamsMsgPartialMap unlabeled_multi_params             unlabeled_multi_params label_map : LabeledMultiParamsLabelTotalMap labeled_multi_fst               labeled_multi_snd name_map_bijective : MultiParamsNameTotalMapBijective name_map multi_map_congr : MultiParamsPartialMapCongruency base_map name_map msg_map multi_map_lb_congr : LabeledMultiParamsPartialMapCongruency base_map name_map                        msg_map label_map label_eq_dec : forall x y : label, {x = y} + {x <> y} tot_map_label_injective : forall l l' : label,                           tot_map_label l = tot_map_label l' -> l = l' label_tot_mapped : forall l : label, exists l' : label, l = tot_map_label l' net : ordered_network failed' : list lb_name lb : label H_neq : tot_map_label lb <> label_silent out : list output to : lb_name ms : list lb_msg d : data l : list (lb_name * lb_msg) from : lb_name H_neq' : lb <> label_silent m : lb_msg H3 : onwPackets net from to = m :: ms H4 : ~ In to failed' H6 : lb_net_handlers to from m (onwState net to) = (lb, out, d, l) The term ""m"" has type ""lb_msg"" while it is expected to have type ""msg""."
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,False,feedback,"In environment base_params : BaseParams multi_params : MultiParams base_params failure_params : FailureParams multi_params msg_ghost_params : MsgGhostMultiParams multi_params nwPackets : list packet nwState : name -> data Unable to unify ""map (fun x : ?M1627 => x) ?M1628 = ?M1628"" with  ""map     (fun x : packet =>      {|      pSrc := pSrc                {|                pSrc := pSrc x;                pDst := pDst x;                pBody := (ghost_msg_default, pBody x) |};      pDst := pDst                {|                pSrc := pSrc x;                pDst := pDst x;                pBody := (ghost_msg_default, pBody x) |};      pBody := snd                 (pBody                    {|                    pSrc := pSrc x;                    pDst := pDst x;                    pBody := (ghost_msg_default, pBody x) |}) |}) nwPackets =   nwPackets""."
snoc_at_head_of_queue_preserved,systems/LockServ.v,False,feedback,"Found no subterm matching ""queue st'"" in the current goal."
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,False,feedback,"In environment B : BaseParams M : MultiParams B d : Decomposition B M A : Type R : A -> A -> Prop x : A l1 : list A IH : forall l2 : list A,      distinct_pairs_and R l1 ->      distinct_pairs_and R l2 ->      (forall x y : A, In x l1 -> In y l2 -> R x y) ->      distinct_pairs_and R (l1 ++ l2) l2 : list A Hx : forall y : A, In y l1 -> R x y Hl1 : distinct_pairs_and R l1 H0 : distinct_pairs_and R l2 H1 : forall x0 y : A, x = x0 \/ In x0 l1 -> In y l2 -> R x0 y y : A Hy : In y l1 Unable to unify  ""(fix In (a : ?M1625) (l : list ?M1625) {struct l} : Prop :=      match l with      | [] => False      | b :: m => b = a \/ In a m      end) ?M1628 (?M1626 ++ ?M1627)"" with  ""(fix In (a : A) (l : list A) {struct l} : Prop :=      match l with      | [] => False      | b :: m => b = a \/ In a m      end) y l1""."
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,False,feedback,The reference net was not found in the current environment.
Lock_delivered_MsgLock,systems/LiveLockServ.v,False,feedback,The reference p0 was not found in the current environment.
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,False,feedback,The reference update_neq was not found in the current environment.
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,False,feedback,congruence failed.
nwnw_unlock_lock,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat p, q : packet Hq : pBody q = Lock H1 : pBody p = Unlock -> Lock = Unlock -> False H2 : pBody p = Locked -> Lock = Unlock -> False H3 : pBody p = Unlock -> Lock = Locked -> False H4 : pBody p = Locked -> Lock = Locked -> False Hunlock : pBody p = Unlock Unable to unify ""False"" with ""Lock = Lock""."
