name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,"In environment orig_base_params : BaseParams orig_multi_params : MultiParams orig_base_params a, a' : network out : list (name * (input + list output)) H : step_dup a a' out H0 : reachable step_dup step_async_init a H1 : sequence_seen a a0 : ?M1605 Unable to unify  ""exists out : list ?M1606, refl_trans_1n_trace ?M1607 ?M1608 a0 out"" with ""let (name, msg, _, _, nodes, _, _, _, _, _) := multi_params in name""."
refl_trans_1n_trace_trans,core/Net.v,False,feedback,"Found no subterm matching ""?M1569 ++ []"" in the current goal."
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""last_holder' h tr"" in the current goal."
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,No such hypothesis: Hvalid
trace_outputs_input,systems/Counter.v,False,feedback,"Found no subterm matching ""filterMap ?M1600 (?M1601 ++ ?M1602)"" in the current goal."
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,"Found no subterm matching ""assoc_default ?M1628                              (assoc_set ?M1628 ?M1632 ?M1629 ?M1631)                               ?M1630 ?M1633"" in HNotIn."
reachable_intro,systems/LockServ.v,False,feedback,The reference refl_trans_1nTStep was not found in the current environment.
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,No primitive equality found.
nwnw_locked_lock,systems/LiveLockServ.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,No primitive equality found.
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,"In environment A : Type trace : Type step : step_relation P : A -> Prop x : A Hinit : P x Hind : inductive step P x', x'' : A cs, cs' : list trace H : step x x' cs Hreach : refl_trans_1n_trace step x' x'' cs' IHHreach : P x' -> P x'' Unable to unify ""inductive step P"" with ""P x''""."
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,The reference h was not found in the current environment.
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,The reference m was not found in the current environment.
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,"not a rewritable relation: (In (n', m') l) in rule H_map"
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,The reference NoDup_filterMap was not found in the current environment.
at_head_of_queue_intro,systems/LockServ.v,True,,
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,feedback,The reference p was not found in the current environment.
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,False,feedback,The LHS of map_id     (map (fun x : _ => x) _) does not match any subterm of the goal
snoc_at_head_of_queue_preserved,systems/LockServ.v,False,feedback,"Found no subterm matching ""queue st'"" in Hqueue_sigma."
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,False,feedback,Applied theorem does not have enough premises.
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,False,feedback,Expects a disjunctive pattern with 2 branches.
Lock_delivered_MsgLock,systems/LiveLockServ.v,False,feedback,The reference H1 was not found in the current environment.
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,False,feedback,H1 is already used.
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,False,feedback,Unable to find an instance for the variable p.
nwnw_unlock_lock,systems/LiveLockServ.v,False,feedback,Expects a disjunctive pattern with 2 branches.
disk_correct_reboot,systems/LogCorrect.v,False,feedback,The reference c was not found in the current environment.
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,False,feedback,Not an inductive product.
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,False,feedback,Wrong bullet -: Current bullet - is not finished.
dup_drop_step_star_step_1,core/DupDropReordering.v,True,,
pt_map_map_pair_eq,core/PartialMapSimulations.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
trace_mutual_exclusion'_extend_input,systems/LockServ.v,False,feedback,Not an inductive product.
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,False,feedback,The RHS of pt_init_handlers_fun_eq     (fun n : name => pt_map_data (init_handlers (tot_map_name_inv n))) does not match any subterm of the goal
mgv_ghost_simulation_1,core/GhostSimulations.v,False,feedback,"The LHS of map_id_tr     (map        (fun e : name * (input + list output) =>         let (n, s) := e in         match s with         | inl io => (n, inl io)         | inr lo => (n, inr (map id lo))         end) _) matches but type classes inference fails"
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat Unable to unify  ""composed_invariant step_async_init /\   inductive step_async composed_invariant"" with  ""(fun net : network => mutual_exclusion (nwState net)) step_async_init /\   inductive step_async (fun net : network => mutual_exclusion (nwState net))""."
locks_correct_update_false,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : name -> data st' : Data x : Client_index Hlocks : forall n : Client_index,          held (sigma (Client n)) = true ->          exists t : list Client_index, queue (sigma Server) = n :: t Hheld : held st' = false n : Client_index Hheld_n : held (update name_eq_dec sigma (Client x) st' (Client n)) = true The term ""Hheld_n"" has type  ""held (update name_eq_dec sigma (Client x) st' (Client n)) = true"" while it is expected to have type ""held (sigma (Client n)) = true""."
last_holder'_input_extend,systems/LiveLockServ.v,False,feedback,"Unable to find an instance for the variables c, i, n."
LockServ_nwnw_input_handlers_new_new,systems/LiveLockServ.v,False,feedback,The reference ms was not found in the current environment.
PrimaryNetHandler_no_msgs,systems/Counter.v,False,feedback,Cannot find a relation to rewrite.
log_input_handlers_spec,systems/LogCorrect.v,False,feedback,No matching clauses for match.
