name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,No matching clauses for match.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,No such assumption.
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,No such goal.
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,The reference H_queue was not found in the current environment.
trace_outputs_input,systems/Counter.v,True,,
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,"In environment orig_base_params : BaseParams orig_multi_params : MultiParams orig_base_params net : network p : seq_num_packet H : In p (nwPackets net) H0 : ~      In (tmNum (pBody p))        (assoc_default name_eq_dec (tdSeen (nwState net (pDst p))) (pSrc p) []) Unable to unify  ""(In ?M1600 (filter ?M1599 ?M1601) ->    In ?M1600 ?M1601 /\ ?M1599 ?M1600 = true) /\   (In ?M1600 ?M1601 /\ ?M1599 ?M1600 = true ->    In ?M1600 (filter ?M1599 ?M1601))"" with  ""(fix In (a : orig_packet) (l : list orig_packet) {struct l} : Prop :=      match l with      | [] => False      | b :: m => b = a \/ In a m      end) (revertPacket p)     (map revertPacket        (filter           (fun p : seq_num_packet =>            if             member (tmNum (pBody p))               (assoc_default name_eq_dec (tdSeen (nwState net (pDst p)))                  (pSrc p) [])            then false            else true) (dedup pkt_eq_dec (nwPackets net))))""."
reachable_intro,systems/LockServ.v,False,feedback,The reference rt_refl was not found in the current environment.
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,No such assumption.
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,No such goal.
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,"In environment num_Clients : nat st : network tr : list (name * (input + list output)) H : step_async_star step_async_init st tr st0 : network tr0 : list (name * (input + list output)) n : Client_index The term ""Client n"" has type ""Name"" while it is expected to have type ""name""."
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,Wrong bullet -: No more subgoals.
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,No such goal.
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,_failed_ is used in conclusion.
