name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,h is already used.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,Unable to find an instance for the variable x'.
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,The reference nm was not found in the current environment.
locks_correct_locked_at_head,systems/LiveLockServ.v,True,,
trace_outputs_input,systems/Counter.v,False,feedback,"In environment h : name i : input Unable to unify ""0"" with  ""length     match match h with           | primary | _ => None           end with     | Some y => [y]     | None => []     end""."
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,Not an inductive product.
reachable_intro,systems/LockServ.v,False,feedback,Unable to find an instance for the variable x.
locks_correct_update_true,systems/LiveLockServ.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,No such assumption.
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,"In environment num_Clients : nat st : network tr : list (name * (input + list output)) H : step_async_star step_async_init st tr st0 : network tr0 : list (name * (input + list output)) n : Client_index The term ""Client n"" has type ""Name"" while it is expected to have type ""name""."
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,No such bound variable os (no bound variables at all in the expression).
locks_correct_input_handlers,systems/LiveLockServ.v,True,,
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,The reference H3 was not found in the current environment.
in_tot_map_name,core/TotalMapSimulations.v,False,add_err,Syntax error: [tactic:ltac_use_default] expected after [tactic:tactic] (in [vernac:tactic_command]).
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,"In environment base_fst, base_snd : BaseParams multi_fst : MultiParams base_fst multi_snd : MultiParams base_snd base_map : BaseParamsPartialMap base_fst base_snd name_map : MultiParamsNameTotalMap multi_fst multi_snd msg_map : MultiParamsMsgPartialMap multi_fst multi_snd name_map_bijective : MultiParamsNameTotalMapBijective name_map multi_map_congr : MultiParamsPartialMapCongruency base_map name_map msg_map fail_fst : FailureParams multi_fst fail_snd : FailureParams multi_snd fail_map_congr : FailureParamsPartialMapCongruency fail_fst fail_snd base_map m : msg n : name m1 : msg l : list (name * msg) m' : msg Hm : pt_map_msg m = Some m' IH : (forall nm : name * msg, In nm l -> snd nm = m) ->      NoDup l -> NoDup (filterMap pt_map_name_msg l) H_snd : forall nm : name * msg, (n, m1) = nm \/ In nm l -> snd nm = m H_nd : NoDup ((n, m1) :: l) H_notin_l : ~ In (n, m1) l H_nodup_l : NoDup l Unable to unify ""NoDup (?M1643 :: ?M1644)"" with  ""NoDup     match pt_map_name_msg (n, m1) with     | Some y => y :: filterMap pt_map_name_msg l     | None => filterMap pt_map_name_msg l     end""."
at_head_of_queue_intro,systems/LockServ.v,True,,
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,feedback,The reference p was not found in the current environment.
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,True,,
snoc_at_head_of_queue_preserved,systems/LockServ.v,False,feedback,"Found no subterm matching ""queue st'"" in the current goal."
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,False,feedback,No such assumption.
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,False,add_err,Syntax Error: Lexer: Undefined token
Lock_delivered_MsgLock,systems/LiveLockServ.v,False,feedback,xs is already used.
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,False,feedback,Unexpected name (at most 2 introduction patterns were expected in the branch).
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat c : name s : infseq (event network label (name * (input + list output))) Hexec : lb_step_execution lb_step_async s Hfair : weak_fairness lb_step_async label_silent s Hin : In {| pSrc := c; pDst := Server; pBody := Unlock |}         (nwPackets (evt_a (hd s))) The term ""MsgUnlock"" has type ""Label"" while it is expected to have type  ""?l <> label_silent""."
nwnw_unlock_lock,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat p, q : packet Hpq : pBody q = Unlock H1 : pBody p = Unlock -> Unlock = Unlock -> False H2 : pBody p = Locked -> Unlock = Unlock -> False H3 : pBody p = Unlock -> Unlock = Locked -> False H4 : pBody p = Locked -> Unlock = Locked -> False Hp : pBody p = Unlock The term ""Hpq"" has type ""pBody q = Unlock"" while it is expected to have type  ""Unlock = Unlock""."
disk_correct_reboot,systems/LogCorrect.v,False,feedback,No matching clauses for match.
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,False,feedback,"In environment B : BaseParams M : MultiParams B d : Decomposition B M A : Type R : A -> A -> Prop x : A xs : list A p : A ys : list A Hxy : forall y : A, In y (xs ++ p :: ys) -> R x y Hrest : distinct_pairs_and R (xs ++ p :: ys) IH : distinct_pairs_and R (xs ++ p :: ys) -> distinct_pairs_and R (xs ++ ys) The term ""eq_refl"" has type ""?x = ?x"" while it is expected to have type  ""distinct_pairs_and R (xs ++ p :: ys)""."
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,False,feedback,(in proof LockServ_nwnw_net_handlers_old_new): Attempt to save an incomplete proof
dup_drop_step_star_step_1,core/DupDropReordering.v,False,feedback,(in proof dup_drop_step_star_step_1): Attempt to save an incomplete proof
pt_map_map_pair_eq,core/PartialMapSimulations.v,False,feedback,Cannot apply lemma (pt_nodup_perm_map_map_pair_perm _ _ _ _ _ _ Hmsg)
trace_mutual_exclusion'_extend_input,systems/LockServ.v,False,feedback,The reference a was not found in the current environment.
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,False,feedback,The RHS of pt_init_handlers_fun_eq     (fun n : name => pt_map_data (init_handlers (tot_map_name_inv n))) does not match any subterm of the goal
mgv_ghost_simulation_1,core/GhostSimulations.v,False,feedback,net is used in hypothesis fs1.
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,False,feedback,The reference true_in_reachable_weaken was not found in the current environment.
locks_correct_update_false,systems/LiveLockServ.v,True,,
last_holder'_input_extend,systems/LiveLockServ.v,False,add_err,Syntax error: ']' expected after [tactic_then_gen] (in [tactic:tactic_expr]).
LockServ_nwnw_input_handlers_new_new,systems/LiveLockServ.v,False,feedback,The reference H2 was not found in the current environment.
PrimaryNetHandler_no_msgs,systems/Counter.v,True,,
