name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,The reference reachable_ind was not found in the current environment.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,No such assumption.
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,congruence failed.
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""pBody p"" in H1."
trace_outputs_input,systems/Counter.v,False,feedback,"In environment h : Name i : Input Unable to unify ""0"" with  ""length     match match h with           | primary | _ => None           end with     | Some y => [y]     | None => []     end""."
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,Not an inductive product.
reachable_intro,systems/LockServ.v,False,feedback,The reference reachable_init was not found in the current environment.
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,Unable to find an instance for the variable n.
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,(in proof nwnw_locked_lock): Attempt to save an incomplete proof
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,No such hypothesis: H0
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,Expects a disjunctive pattern with 1 branch or a conjunctive pattern made of 2 patterns.
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,The reference h0 was not found in the current environment.
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,(in proof step_failure_pt_mapped_simulation_1): Attempt to save an incomplete proof
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,Unexpected introduction pattern (at most 1 was expected in the branch).
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,"Unable to find an instance for the variables B, f, b."
at_head_of_queue_intro,systems/LockServ.v,False,feedback,Unable to find an instance for the variable x.
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,False,feedback,Expects a disjunctive pattern with 3 branches.
