name,file,result,error_type,error
trace_outputs_backup,systems/Counter.v,True,,
reachable_seen,systems/SeqNumCorrect.v,False,feedback,The reference reachable_ind was not found in the current environment.
refl_trans_1n_trace_trans,core/Net.v,False,feedback,The reference rt1n_trace_trans was not found in the current environment.
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat n, c : Client_index Hneq : n <> c H : Some n = Some n Unable to unify ""Some n"" with  ""if fin_eq_dec num_Clients c n then None else Some n""."
locks_correct_locked_at_head,systems/LiveLockServ.v,False,feedback,"Found no subterm matching ""pDst p"" in Hcorrect."
trace_outputs_input,systems/Counter.v,False,feedback,"In environment h : name i : input Unable to unify ""0"" with ""trace_outputs [(h, inl i)]""."
revertNetwork_In,systems/SeqNumCorrect.v,False,feedback,No such assumption.
reachable_intro,systems/LockServ.v,True,,
locks_correct_update_true,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat sigma : Name -> Data c : Client_index st' : Data Hheld : held st' = true Hat : at_head_of_queue sigma c Hlc : forall n : Client_index,       held (sigma (Client n)) = true ->       exists t : list Client_index, queue (sigma Server) = n :: t c0 : Client_index Hheld0 : held (update name_eq_dec sigma (Client c) st' (Client c0)) = true The term ""c0"" has type ""Client_index"" while it is expected to have type  ""name""."
nwnw_locked_lock,systems/LiveLockServ.v,False,feedback,"In environment num_Clients : nat p, q : packet Hinv : LockServ_network_network_invariant p q Hlocked : pBody p = Locked Unable to unify ""LockServ_network_network_invariant p q"" with  ""pBody q = Lock""."
LockServ_mutual_exclusion_trace,systems/LockServ.v,False,feedback,The reference trace_mutual_exclusion_init was not found in the current environment.
inductive_invariant_true_in_reachable,core/Net.v,False,feedback,Expects a disjunctive pattern with 2 branches.
locks_correct_input_handlers,systems/LiveLockServ.v,False,feedback,No product even after head-reduction.
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,False,feedback,Expects a disjunctive pattern with 6 branches.
in_tot_map_name,core/TotalMapSimulations.v,False,feedback,No primitive equality found.
nodup_pt_map,core/PartialMapSimulations.v,False,feedback,Not an inductive product.
