name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,13,intros;unfold;destruct;simpl;repeat;break_match;simpl;congruence;simpl;repeat;break_match;simpl;congruence
reachable_seen,systems/SeqNumCorrect.v,32,apply;unfold;unfold;simpl;intuition;invcs;find_inversion;unfold;simpl;repeat;break_match;find_inversion;simpl;intuition;find_apply_hyp_hyp;omega;find_apply_hyp_hyp;omega;unfold;simpl;repeat;break_match;find_inversion;simpl;intuition;find_apply_hyp_hyp;omega;find_apply_hyp_hyp;omega;simpl;find_apply_hyp_hyp;omega
refl_trans_1n_trace_trans,core/Net.v,9,intros;induction;simpl;assumption;simpl;apply;assumption;apply;assumption
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,106,induction;intros;simpl;repeat;break_match;subst;intuition;congruence;eauto;simpl;repeat;break_match;subst;intuition;congruence;eauto;simpl;repeat;break_match;subst;intuition;congruence;eauto;simpl;repeat;break_match;subst;intuition;congruence;eauto;exfalso;apply;congruence;simpl;repeat;break_match;subst;intuition;congruence;eauto;simpl;repeat;break_match;subst;intuition;congruence;eauto;simpl;repeat;break_match;subst;intuition;congruence;eauto;simpl;repeat;break_match;subst;intuition;congruence;eauto;simpl;repeat;break_match;subst;intuition;congruence;eauto;simpl;repeat;break_match;subst;intuition;congruence;eauto;exfalso;apply;congruence;simpl;repeat;break_match;subst;intuition;congruence;eauto;simpl;repeat;break_match;subst;intuition;congruence;eauto;simpl;repeat;break_match;subst;intuition;congruence;eauto;simpl;repeat;break_match;subst;intuition;congruence;eauto
locks_correct_locked_at_head,systems/LiveLockServ.v,10,intros;unfold;specialize;destruct;unfold;destruct;destruct;unfold;exists;congruence
trace_outputs_input,systems/Counter.v,7,intros;unfold;simpl;repeat;break_match;simpl;congruence
revertNetwork_In,systems/SeqNumCorrect.v,21,intros;unfold;simpl;apply;exists;split;unfold;destruct;simpl;reflexivity;apply;split;apply;assumption;simpl;destruct;exfalso;apply;apply;assumption;reflexivity
reachable_intro,systems/LockServ.v,4,intros;unfold;exists;exact
locks_correct_update_true,systems/LiveLockServ.v,12,intros;unfold;intros;destruct;subst;rewrite;simpl;auto;rewrite;simpl;apply;assumption
nwnw_locked_lock,systems/LiveLockServ.v,20,intros;unfold;destruct;destruct;destruct;destruct;simpl;tauto;exfalso;apply;eauto;exfalso;apply;eauto;exfalso;apply;eauto;exfalso;apply;eauto
LockServ_mutual_exclusion_trace,systems/LockServ.v,50,intros;apply;apply;simpl;split;unfold;simpl;auto;split;intros;simpl;discriminate;intros;simpl;exfalso;unfold;simpl;congruence;intros;invcs;simpl;intuition;repeat;find_rewrite;repeat;find_inversion;split;apply;tauto;split;intros;apply;tauto;intros;apply;tauto;repeat;find_rewrite;repeat;find_inversion;split;apply;tauto;split;intros;apply;tauto;intros;apply;tauto
inductive_invariant_true_in_reachable,core/Net.v,8,intros;apply;exact;intros;apply;auto;exact;exact
locks_correct_input_handlers,systems/LiveLockServ.v,11,set_up_input_handlers;apply;assumption;assumption;apply;assumption;assumption;apply;assumption;assumption;assumption
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,99,move;inversion;subst;simpl;case;left;apply;rewrite;case;rewrite;injection;rewrite;rewrite;apply;have;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;right;split;rewrite;case;case;rewrite;case;rewrite;have;rewrite;set;set;have;rewrite;apply;rewrite;case;rewrite;rewrite;split;case;case;have;rewrite;case;left;apply;apply;have;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;right;split;rewrite;have;rewrite;rewrite;set;set;have;rewrite;apply;rewrite;case;rewrite;rewrite;split;have;rewrite;left;apply;rewrite;rewrite;left;apply;rewrite;rewrite;left;apply;left;apply;apply;rewrite;rewrite;set;set;have;rewrite;apply;rewrite;case;rewrite;rewrite
in_tot_map_name,core/TotalMapSimulations.v,14,move;have;rewrite;move;have;rewrite;destruct;simpl;inversion;rewrite;rewrite;have;rewrite;rewrite
nodup_pt_map,core/PartialMapSimulations.v,35,move;have;induction;apply;rewrite;case;apply;intro;have;apply;move;have;have;have;rewrite;case;have;have;rewrite;rewrite;case;simpl;inversion;subst;apply;rewrite;apply;move;apply;right;apply;move;apply;right;exact
at_head_of_queue_intro,systems/LockServ.v,4,intros;unfold;exists;exact
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,75,move;have;rewrite;move;rewrite;invcs;destruct;have;rewrite;repeat;break_let;tuple_inversion;have;destruct;simpl;break_match;find_injection;rewrite;apply;rewrite;find_rewrite;rewrite;rewrite;exact;rewrite;destruct;simpl;break_match;find_injection;clean;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;rewrite;repeat;break_let;break_and;repeat;tuple_inversion;rewrite;rewrite;rewrite;case;have;rewrite;repeat;break_let;tuple_inversion;apply;exact;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;break_and;unfold;repeat;break_let;repeat;tuple_inversion;rewrite;rewrite;rewrite;rewrite;rewrite;exfalso;apply;congruence
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,6,destruct;unfold;simpl;f_equal;rewrite;map_id
snoc_at_head_of_queue_preserved,systems/LockServ.v,9,intros;unfold;destruct;exists;rewrite;rewrite;rewrite;simpl;reflexivity
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,21,induction;simpl;intros;assumption;destruct;split;intros;apply;destruct;apply;assumption;apply;assumption;apply;assumption;assumption;intros;apply;right;assumption;assumption
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,0,
