name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,5,unfold;simpl;destruct;simpl;reflexivity
reachable_seen,systems/SeqNumCorrect.v,53,apply;unfold;split;simpl;intros;unfold;simpl;intuition;invcs;simpl;find_inversion;unfold;break_match;find_inversion;simpl;intuition;find_apply_hyp_hyp;break_or_hyp;break_and;subst;eauto;rewrite;break_if;simpl;eauto;omega;simpl;intuition;find_apply_hyp_hyp;break_or_hyp;break_and;subst;eauto;rewrite;break_if;simpl;eauto;apply;omega;unfold;break_match;find_inversion;simpl;intuition;find_apply_hyp_hyp;break_or_hyp;break_and;subst;eauto;apply;omega;simpl;intuition
refl_trans_1n_trace_trans,core/Net.v,13,intros;induction;intros;simpl;rewrite;exact;intros;simpl;apply;exact;apply;rewrite;exact
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,41,induction;intros;simpl;repeat;break_match;subst;auto;destruct;simpl;congruence;destruct;congruence;destruct;destruct;apply;auto;destruct;destruct;apply;auto;destruct;simpl;apply;auto;destruct;subst;congruence;apply;auto;destruct;apply;auto;destruct;apply;auto;destruct;apply;auto;simpl;apply;auto
locks_correct_locked_at_head,systems/LiveLockServ.v,12,intros;unfold;specialize;destruct;unfold;destruct;rewrite;inversion;subst;destruct;apply;exact
trace_outputs_input,systems/Counter.v,5,intros;unfold;simpl;destruct;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,0,
reachable_intro,systems/LockServ.v,3,intros;exists;exact
locks_correct_update_true,systems/LiveLockServ.v,20,intros;unfold;intros;unfold;destruct;injection;subst;destruct;exists;unfold;destruct;discriminate;exact;apply;destruct;exists;unfold;destruct;discriminate;exact
nwnw_locked_lock,systems/LiveLockServ.v,9,intros;unfold;destruct;destruct;reflexivity;exfalso;apply;exfalso;apply
LockServ_mutual_exclusion_trace,systems/LockServ.v,39,apply;simpl;intuition;unfold;simpl;intuition;invcs;simpl;intuition;repeat;find_apply_lem_hyp;destruct;simpl;intuition;eauto;find_apply_lem_hyp;eauto;unfold;find_apply_hyp_hyp;break_exists;unfold;break_exists;find_inversion;eauto;find_apply_lem_hyp;eauto;unfold;find_apply_hyp_hyp;break_exists;unfold;break_exists;find_inversion;eauto;destruct;simpl;eauto;find_apply_lem_hyp;unfold;eauto
inductive_invariant_true_in_reachable,core/Net.v,7,intros;destruct;apply;auto;intros;apply;eauto
locks_correct_input_handlers,systems/LiveLockServ.v,0,
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,54,inversion;subst;simpl;case;left;apply;rewrite;apply;rewrite;eauto;rewrite;rewrite;rewrite;eauto;rewrite;right;split;split;done;rewrite;rewrite;case;rewrite;case;left;apply;apply;rewrite;eauto;rewrite;rewrite;rewrite;rewrite;right;split;split;done;rewrite;rewrite;left;apply;rewrite;rewrite;left;apply;rewrite;rewrite;left;apply;left;apply;apply;rewrite;rewrite
in_tot_map_name,core/TotalMapSimulations.v,12,intros;apply;destruct;simpl;inversion;subst;apply;subst;rewrite;rewrite;simpl;assumption
nodup_pt_map,core/PartialMapSimulations.v,37,intros;induction;simpl;apply;simpl;assert;apply;left;reflexivity;case_eq;intros;simpl;apply;intro;apply;destruct;apply;auto;rewrite;inversion;subst;apply;apply;simpl;apply;congruence;apply;intros;apply;right;auto;simpl;apply;intros;apply;right;auto
at_head_of_queue_intro,systems/LockServ.v,3,intros;exists;auto
