name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,7,intros;unfold;simpl;repeat;break_match;simpl;congruence
reachable_seen,systems/SeqNumCorrect.v,50,apply;unfold;unfold;simpl;intuition;invcs;find_inversion;unfold;simpl;repeat;break_match;simpl;intuition;find_apply_lem_hyp;destruct;subst;rewrite;auto;simpl;repeat;break_match;simpl;intuition;subst;simpl;apply;eauto;omega;apply;eauto;omega;rewrite;auto;simpl;find_apply_hyp_hyp;omega;find_apply_hyp_hyp;omega;unfold;simpl;repeat;break_match;simpl;intuition;find_apply_hyp_hyp;omega;find_apply_hyp_hyp;omega;find_apply_hyp_hyp;omega
refl_trans_1n_trace_trans,core/Net.v,8,intros;induction;simpl;assumption;apply;assumption;apply;assumption
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,17,induction;intros;simpl;congruence;repeat;break_match;subst;intuition;eauto;destruct;subst;eauto;congruence;destruct;subst;eauto;congruence
locks_correct_locked_at_head,systems/LiveLockServ.v,10,intros;unfold;specialize;destruct;unfold;destruct;inversion;subst;apply;eauto
trace_outputs_input,systems/Counter.v,7,intros;unfold;simpl;repeat;break_match;simpl;congruence
revertNetwork_In,systems/SeqNumCorrect.v,13,intros;unfold;simpl;apply;apply;split;apply;assumption;rewrite;auto;intro;apply;assumption
reachable_intro,systems/LockServ.v,4,intros;unfold;exists;assumption
locks_correct_update_true,systems/LiveLockServ.v,10,unfold;intros;destruct;inversion;subst;rewrite;exists;assumption;rewrite;eauto
nwnw_locked_lock,systems/LiveLockServ.v,7,intros;unfold;destruct;specialize;destruct;contradiction;reflexivity
LockServ_mutual_exclusion_trace,systems/LockServ.v,100,intros;apply;split;split;intros;simpl;auto;discriminate;intros;invcs;simpl;find_apply_lem_hyp;intuition;repeat;break_exists;intuition;subst;simpl;intuition;repeat;find_rewrite;repeat;find_inversion;simpl;rewrite;split;split;intros;simpl;intuition;apply;eauto;apply;eauto;apply;eauto;apply;eauto;rewrite;split;split;intros;simpl;intuition;apply;eauto;apply;eauto;apply;eauto;simpl;find_apply_lem_hyp;intuition;repeat;break_exists;intuition;subst;simpl;intuition;repeat;find_rewrite;repeat;find_inversion;simpl;rewrite;split;split;intros;simpl;intuition;apply;eauto;apply;eauto;apply;eauto;rewrite;split;split;intros;simpl;intuition;apply;eauto;apply;eauto;apply;eauto;rewrite;split;split;intros;simpl;intuition;apply;eauto;apply;eauto;apply;eauto
inductive_invariant_true_in_reachable,core/Net.v,3,intros;apply;auto
locks_correct_input_handlers,systems/LiveLockServ.v,5,set_up_input_handlers;apply;eauto;apply;eauto
