name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,7,intros;unfold;simpl;repeat;break_match;simpl;congruence
reachable_seen,systems/SeqNumCorrect.v,69,apply;intros;apply;unfold;simpl;intuition;unfold;intros;unfold;break_exists;induction;intuition;eauto;invcs;find_inversion;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;find_rewrite;do_in_app;repeat;break_match;find_inversion;rewrite;intuition;apply;apply;auto;rewrite;intuition;intuition;intuition;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;break_match;find_inversion;simpl;find_apply_lem_hyp;find_apply_hyp_hyp;omega;in_crush;eauto
refl_trans_1n_trace_trans,core/Net.v,8,intros;induction;rewrite;apply;apply;assumption;apply;assumption
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,32,intros;rewrite;induction;simpl;reflexivity;simpl;destruct;simpl;destruct;simpl;congruence;destruct;subst;rewrite;auto;rewrite;reflexivity;rewrite;auto;rewrite;reflexivity;destruct;simpl;congruence;rewrite;auto;rewrite;reflexivity;rewrite;auto;rewrite;reflexivity
locks_correct_locked_at_head,systems/LiveLockServ.v,10,intros;unfold;destruct;subst;unfold;destruct;subst;apply;rewrite;reflexivity
trace_outputs_input,systems/Counter.v,7,intros;unfold;simpl;rewrite;rewrite;rewrite;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,27,intros;unfold;simpl;apply;unfold;apply;split;apply;apply;unfold;unfold;rewrite;destruct;subst;rewrite;rewrite;apply;auto;apply;auto;intro;apply;destruct;apply;apply;right;apply
reachable_intro,systems/LockServ.v,6,unfold;intros;exists;apply;apply;apply
locks_correct_update_true,systems/LiveLockServ.v,16,unfold;intros;destruct;subst;exists;rewrite;rewrite;simpl;discriminate;rewrite;auto;specialize;destruct;exists;rewrite;reflexivity
nwnw_locked_lock,systems/LiveLockServ.v,0,
LockServ_mutual_exclusion_trace,systems/LockServ.v,142,induction;split;constructor;split;intros;discriminate;intros;discriminate;intros;assert;apply;apply;apply;split;constructor;split;intros;discriminate;intros;discriminate;intros;destruct;inv;simpl;destruct;simpl;constructor;auto;destruct;apply;auto;destruct;split;constructor;auto;split;intros;rewrite;auto;intros;apply;auto;apply;auto;destruct;split;constructor;auto;split;intros;rewrite;auto;intros;apply;auto;destruct;apply;auto;destruct;split;constructor;auto;split;intros;rewrite;auto;intros;apply;auto;apply;auto;destruct;split;constructor;auto;split;intros;rewrite;auto;intros;apply;auto;inv;simpl;destruct;simpl;constructor;auto;destruct;apply;auto;destruct;split;constructor;auto;split;intros;rewrite;auto;intros;apply;auto;apply;auto;destruct;split;constructor;auto;split;intros;rewrite;auto;intros;apply;auto;destruct;apply;auto;destruct;split;constructor;auto;split;intros;rewrite;auto;intros;apply;auto;apply;auto;destruct;split;constructor;auto;split;intros;rewrite;auto;intros;apply;auto
inductive_invariant_true_in_reachable,core/Net.v,10,intros;unfold;intros;induction;apply;apply;auto;apply;apply;auto
locks_correct_input_handlers,systems/LiveLockServ.v,28,intros;unfold;intros;destruct;subst;rewrite;exists;simpl;rewrite;destruct;apply;destruct;rewrite;reflexivity;exfalso;apply;rewrite;destruct;apply;destruct;rewrite;discriminate;reflexivity;rewrite;apply;destruct;exists;reflexivity
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,72,intros;induction;destruct;destruct;apply;rewrite;rewrite;rewrite;injection;intros;subst;rewrite;rewrite;rewrite;rewrite;reflexivity;rewrite;auto;rewrite;reflexivity;rewrite;rewrite;inversion;right;split;auto;rewrite;auto;right;split;auto;rewrite;auto;destruct;left;apply;rewrite;rewrite;rewrite;reflexivity;rewrite;rewrite;inversion;right;split;auto;rewrite;auto;right;split;auto;rewrite;auto;right;split;auto;rewrite;auto;left;apply;destruct;left;apply;apply;rewrite;rewrite;reflexivity;right;split;auto;rewrite;auto
in_tot_map_name,core/TotalMapSimulations.v,15,intros;apply;destruct;destruct;simpl;rewrite;assert;apply;apply;exists;split;auto;subst;apply;apply
nodup_pt_map,core/PartialMapSimulations.v,11,intros;apply;intros;apply;rewrite;destruct;apply;rewrite;discriminate;apply;apply
at_head_of_queue_intro,systems/LockServ.v,4,unfold;intros;exists;exact
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,73,move;have;rewrite;move;rewrite;invcs;destruct;destruct;simpl;break_match;have;rewrite;repeat;break_let;tuple_inversion;have;destruct;simpl;break_match;find_injection;rewrite;apply;rewrite;find_rewrite;rewrite;rewrite;exact;rewrite;destruct;simpl;break_match;find_injection;clean;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;rewrite;repeat;break_let;break_and;repeat;tuple_inversion;rewrite;rewrite;case;have;rewrite;repeat;break_let;tuple_inversion;apply;exact;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;break_and;unfold;repeat;break_let;repeat;tuple_inversion;rewrite;rewrite;rewrite;rewrite
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,7,destruct;unfold;simpl;f_equal;rewrite;rewrite;reflexivity
snoc_at_head_of_queue_preserved,systems/LockServ.v,7,intros;unfold;destruct;rewrite;rewrite;exists;reflexivity
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,24,intros;induction;simpl;apply;simpl;destruct;assert;apply;apply;apply;intros;apply;right;assumption;assumption;simpl;split;intros;destruct;apply;assumption;apply;assumption;apply
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,27,intros;destruct;rewrite;rewrite;inversion;subst;exists;split;apply;rewrite;rewrite;rewrite;reflexivity;rewrite;rewrite;rewrite;rewrite;reflexivity;rewrite;rewrite;rewrite;rewrite;destruct;rewrite;reflexivity;rewrite;reflexivity
Lock_delivered_MsgLock,systems/LiveLockServ.v,61,intros;unfold;intros;inversion;subst;destruct;destruct;simpl;apply;destruct;apply;destruct;subst;rewrite;apply;destruct;apply;destruct;apply;destruct;apply;contradiction;apply;contradiction;apply;contradiction;apply;contradiction;subst;simpl;apply;destruct;apply;contradiction;apply;contradiction;destruct;destruct;simpl;apply;destruct;apply;destruct;subst;rewrite;apply;destruct;apply;contradiction;apply;contradiction;subst;simpl;apply;destruct;apply;contradiction;apply;contradiction;simpl;contradiction
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,12,unfold;unfold;intros;destruct;subst;exists;split;reflexivity;split;assumption;rewrite;assumption
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,8,intros;apply;auto;apply;apply;apply;apply;apply
nwnw_unlock_lock,systems/LiveLockServ.v,10,unfold;intros;destruct;specialize;destruct;discriminate;apply;reflexivity;apply;reflexivity
disk_correct_reboot,systems/LogCorrect.v,39,intros;unfold;destruct;destruct;unfold;destruct;destruct;destruct;discriminate;assert;rewrite;reflexivity;assert;rewrite;reflexivity;assert;rewrite;reflexivity;unfold;rewrite;rewrite;rewrite;destruct;exists;split;split;split;rewrite;reflexivity;rewrite;reflexivity;rewrite;reflexivity;rewrite;reflexivity;rewrite;reflexivity;unfold;apply
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,19,intros;subst;unfold;split;intros;apply;destruct;apply;right;assumption;subst;destruct;apply;left;reflexivity;apply;right;assumption;apply
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,5,set_up_net_handlers;destruct;apply;apply;apply
dup_drop_step_star_step_1,core/DupDropReordering.v,4,intros;apply;apply;apply
pt_map_map_pair_eq,core/PartialMapSimulations.v,0,
trace_mutual_exclusion'_extend_input,systems/LockServ.v,30,intros;induction;simpl;constructor;destruct;simpl;destruct;simpl;auto;destruct;subst;apply;auto;apply;auto;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,22,move;have;have;rewrite;rewrite;move;induction;rewrite;rewrite;rewrite;exact;concludes;rewrite;apply;case;have;apply;rewrite;apply;exact;move;rewrite
mgv_ghost_simulation_1,core/GhostSimulations.v,29,move;apply;rewrite;rewrite;rewrite;rewrite;rewrite;move;set;set;have;rewrite;apply;case;rewrite;set;set;set;set;have;rewrite;apply;case;rewrite;have;rewrite;apply;case;rewrite
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,26,apply;apply;unfold;split;apply;intros;unfold;split;apply;intros;unfold;intros;apply;destruct;destruct;apply;destruct;discriminate;apply;destruct;apply;auto;apply;destruct;apply;auto
locks_correct_update_false,systems/LiveLockServ.v,15,intros;unfold;intros;specialize;destruct;exists;unfold;destruct;subst;rewrite;simpl;rewrite;assumption;rewrite;assumption
last_holder'_input_extend,systems/LiveLockServ.v,7,intros;rewrite;auto;apply;apply;subst;apply
LockServ_nwnw_input_handlers_new_new,systems/LiveLockServ.v,23,intros;unfold;induction;simpl;split;intros;contradiction;simpl;destruct;assert;apply;apply;auto;destruct;destruct;left;apply;auto;right;apply;auto;apply;auto
PrimaryNetHandler_no_msgs,systems/Counter.v,8,destruct;simpl;intros;rewrite;reflexivity;intros;rewrite;reflexivity
log_input_handlers_spec,systems/LogCorrect.v,38,intros;unfold;unfold;break_if;break_let;find_inversion;simpl;exists;intuition;find_inversion;simpl;break_exists;intuition;exists;intuition;rewrite;rewrite;simpl;rewrite;reflexivity;break_match;find_inversion;reflexivity;congruence;cheerios_crush;rewrite;rewrite;reflexivity;rewrite;rewrite;simpl;rewrite;reflexivity;rewrite;rewrite;simpl;rewrite;reflexivity
log_step_failure_star_simulation,systems/LogCorrect.v,58,intros;induction;subst;simpl;constructor;invcs;unfold;simpl;repeat;rewrite;apply;reflexivity;assumption;simpl;unfold;break_let;break_let;break_if;find_inversion;rewrite;assumption;unfold;simpl;repeat;rewrite;apply;assumption;unfold;break_let;break_if;find_inversion;assumption;unfold;simpl;find_rewrite;rewrite;apply;reflexivity;rewrite;reflexivity;unfold;simpl;find_rewrite;rewrite;apply;reflexivity;reflexivity;constructor;apply;assumption;reflexivity;unfold;simpl;apply;rewrite;rewrite;reflexivity;assumption
step_ordered_failure_serialized_simulation_star,systems/SerializedMsgParamsCorrect.v,8,move;have;rewrite;rewrite;have;rewrite;apply;exact
tot_map_net_label_event_inf_often_occurred_conv,core/TotalMapExecutionSimulations.v,9,move;apply;apply;apply;case;rewrite;move;rewrite;apply
inputs_m_inr,systems/PrimaryBackup.v,31,intros;unfold;simpl;rewrite;simpl;destruct;destruct;simpl;auto;rewrite;rewrite;simpl;destruct;simpl;auto;apply;destruct;rewrite;reflexivity;rewrite;reflexivity;rewrite;rewrite;simpl;destruct;simpl;auto;rewrite;reflexivity;rewrite;reflexivity
Nth_app,systems/LiveLockServ.v,19,intros;induction;rewrite;apply;simpl;apply;assumption;simpl;apply;assumption;simpl;apply;assumption;simpl;apply;assumption;simpl;apply;assumption
pt_ext_init_handlers_fun_eq,core/PartialExtendedMapSimulations.v,3,extensionality;unfold;apply
nwnw_lock,systems/LiveLockServ.v,15,intros;unfold;split;split;split;intros;subst;destruct;discriminate;destruct;discriminate;destruct;discriminate;destruct;discriminate
locks_correct_net_handlers,systems/LiveLockServ.v,22,set_up_net_handlers;destruct;apply;auto;apply;auto;unfold;destruct;subst;apply;rewrite;reflexivity;apply;auto;unfold;destruct;subst;apply;destruct;subst;rewrite;discriminate
step_ordered_dynamic_failure_tot_one_mapped_simulation_star_1,core/SingleSimulations.v,26,move;have;move;induction;rewrite;exists;rewrite;exact;concludes;rewrite;case;case;rewrite;move;have;have;case;rewrite;exists;have;exists;apply;have;rewrite;apply;exact
decomposition_invariant,core/StatePacketPacketDecomposition.v,49,split;unfold;split;unfold;apply;intros;unfold;simpl;destruct;contradiction;contradiction;unfold;intros;destruct;assert;inversion;subst;apply;auto;apply;auto;apply;auto;intros;assert;inversion;subst;apply;auto;apply;auto;apply;auto;assert;inversion;subst;apply;auto;apply;auto;apply;auto;apply;auto;split;apply;split;apply;apply
map_id_tr,core/GhostSimulations.v,9,induction;reflexivity;simpl;destruct;simpl;destruct;simpl;rewrite;reflexivity
step_ordered_failure_tot_one_mapped_simulation_1,core/SingleSimulations.v,50,intros;induction;subst;destruct;inversion;subst;right;exists;apply;apply;auto;inversion;subst;right;exists;apply;apply;auto;subst;destruct;inversion;subst;right;exists;apply;apply;auto;inversion;subst;right;exists;apply;apply;auto;subst;destruct;inversion;subst;right;exists;apply;apply;auto;inversion;subst;right;exists;apply;apply;auto
