name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,6,intros;unfold;simpl;break_match;simpl;congruence
reachable_seen,systems/SeqNumCorrect.v,64,apply;unfold;unfold;simpl;intuition;invcs;simpl;intuition;invcs;find_inversion;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;find_rewrite;do_in_app;repeat;break_match;find_inversion;rewrite;intuition;apply;apply;auto;rewrite;intuition;intuition;intuition;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;break_match;find_inversion;simpl;find_apply_lem_hyp;find_apply_hyp_hyp;omega;in_crush;eauto
refl_trans_1n_trace_trans,core/Net.v,9,intros;induction;simpl;auto;simpl;apply;apply;apply;apply
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,35,induction;intros;simpl;repeat;break_match;subst;auto;destruct;simpl;congruence;destruct;congruence;destruct;destruct;destruct;simpl;destruct;simpl;congruence;destruct;subst;congruence;apply;auto;apply;auto;destruct;simpl;destruct;simpl;congruence;apply;auto;apply;auto
locks_correct_locked_at_head,systems/LiveLockServ.v,12,intros;unfold;specialize;destruct;unfold;destruct;destruct;rewrite;inversion;subst;exists;exact
trace_outputs_input,systems/Counter.v,4,intros;unfold;simpl;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,13,intros;apply;exists;split;reflexivity;apply;split;apply;auto;destruct;simpl;intuition;congruence
reachable_intro,systems/LockServ.v,6,intros;apply;induction;apply;apply;auto
locks_correct_update_true,systems/LiveLockServ.v,20,unfold;intros;destruct;inversion;subst;rewrite;apply;rewrite;apply;destruct;assert;unfold;specialize;destruct;exfalso;apply;apply;auto;congruence;congruence
nwnw_locked_lock,systems/LiveLockServ.v,8,intros;unfold;destruct;destruct;destruct;reflexivity;contradiction;contradiction
LockServ_mutual_exclusion_trace,systems/LockServ.v,110,apply;simpl;intros;split;split;simpl;auto;unfold;auto;intros;inversion;intros;inversion;destruct;simpl;destruct;simpl;destruct;simpl;destruct;simpl;invc;split;split;simpl;auto;apply;auto;congruence;intros;apply;eauto;congruence;intros;rewrite;eauto;congruence;invc;split;split;simpl;auto;apply;auto;intros;apply;auto;intros;destruct;subst;apply;auto;apply;auto;invc;split;split;simpl;auto;apply;auto;intros;apply;auto;intros;rewrite;auto;destruct;simpl;invc;split;split;simpl;auto;apply;auto;apply;auto;intros;apply;intros;apply;subst;auto;invc;split;split;simpl;auto;apply;auto;intros;apply;auto;intros;apply;auto;invc;split;split;simpl;auto;apply;auto;intros;apply;auto;intros;apply;auto
inductive_invariant_true_in_reachable,core/Net.v,7,intros;destruct;apply;auto;intros;apply;eauto
locks_correct_input_handlers,systems/LiveLockServ.v,9,set_up_input_handlers;rewrite;auto;apply;auto;rewrite;auto;rewrite;auto
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,29,move;inversion;subst;simpl;left;apply;rewrite;apply;rewrite;apply;case;rewrite;rewrite;case;exfalso;apply;rewrite;reflexivity;rewrite;case;have;left;apply;apply;rewrite;right;split;split;rewrite
in_tot_map_name,core/TotalMapSimulations.v,21,move;elim;inversion;simpl;case;inversion;apply;left;have;simpl;rewrite;left;apply;rewrite;rewrite;apply;right;apply;move;apply;right
nodup_pt_map,core/PartialMapSimulations.v,0,
at_head_of_queue_intro,systems/LockServ.v,3,intros;exists;auto
