name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,7,intros;unfold;simpl;repeat;break_match;simpl;congruence
reachable_seen,systems/SeqNumCorrect.v,65,apply;unfold;unfold;simpl;intuition;invcs;find_inversion;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;apply;eauto;simpl;repeat;find_rewrite;do_in_app;repeat;break_match;find_inversion;rewrite;intuition;apply;apply;auto;rewrite;intuition;intuition;intuition;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;apply;eauto;simpl;repeat;break_match;find_inversion;simpl;find_apply_lem_hyp;find_apply_hyp_hyp;omega;in_crush;eauto
refl_trans_1n_trace_trans,core/Net.v,8,intros;induction;assumption;apply;auto;rewrite;apply;auto
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,9,induction;intros;simpl;congruence;repeat;break_match;subst;congruence;eauto
locks_correct_locked_at_head,systems/LiveLockServ.v,10,intros;unfold;specialize;destruct;unfold;destruct;inversion;subst;apply;eauto
trace_outputs_input,systems/Counter.v,7,intros;unfold;simpl;repeat;break_match;simpl;congruence
revertNetwork_In,systems/SeqNumCorrect.v,11,intros;unfold;simpl;apply;apply;split;apply;assumption;simpl;rewrite;reflexivity
reachable_intro,systems/LockServ.v,4,intros;unfold;exists;auto
locks_correct_update_true,systems/LiveLockServ.v,9,unfold;intros;destruct;find_inversion;rewrite;exists;auto;rewrite;eauto
nwnw_locked_lock,systems/LiveLockServ.v,7,intros;unfold;destruct;specialize;destruct;contradiction;auto
