name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,7,intros;unfold;simpl;repeat;break_match;simpl;congruence
reachable_seen,systems/SeqNumCorrect.v,61,apply;unfold;unfold;simpl;intuition;invcs;find_inversion;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;find_rewrite;do_in_app;repeat;break_match;find_inversion;rewrite;intuition;apply;apply;auto;rewrite;intuition;intuition;intuition;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;break_match;find_inversion;simpl;find_apply_lem_hyp;find_apply_hyp_hyp;omega;in_crush;eauto
refl_trans_1n_trace_trans,core/Net.v,12,intros;induction;simpl;apply;destruct;constructor;inversion;apply;apply;assumption;apply;assumption
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,14,intros;rewrite;assumption;destruct;rewrite;apply;destruct;subst;exfalso;apply;reflexivity;reflexivity;rewrite;discriminate
locks_correct_locked_at_head,systems/LiveLockServ.v,11,intros;unfold;destruct;subst;unfold;destruct;subst;unfold;exists;rewrite;reflexivity
trace_outputs_input,systems/Counter.v,6,intros;unfold;simpl;rewrite;rewrite;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,18,intros;unfold;simpl;apply;unfold;apply;split;apply;apply;unfold;unfold;rewrite;destruct;subst;simpl;apply;apply;apply
reachable_intro,systems/LockServ.v,14,intros;unfold;exists;split;assumption;apply;apply;intros;apply;destruct;subst;apply;apply;apply
locks_correct_update_true,systems/LiveLockServ.v,14,unfold;intros;destruct;subst;exists;rewrite;rewrite;reflexivity;rewrite;auto;destruct;exists;rewrite;reflexivity
nwnw_locked_lock,systems/LiveLockServ.v,14,intros;unfold;destruct;assert;assumption;assert;destruct;apply;assumption;apply;contradiction;apply;contradiction;assumption
LockServ_mutual_exclusion_trace,systems/LockServ.v,31,intros;assert;apply;apply;intros;apply;auto;split;assumption;split;intros;rewrite;apply;apply;rewrite;destruct;apply;rewrite;assumption;exfalso;apply;rewrite;rewrite;rewrite;discriminate;intros;assert;rewrite;apply;rewrite;assumption
inductive_invariant_true_in_reachable,core/Net.v,10,intros;unfold;intros;induction;apply;apply;auto;apply;apply;auto
locks_correct_input_handlers,systems/LiveLockServ.v,37,intros;unfold;intros;destruct;subst;rewrite;exists;simpl;rewrite;destruct;simpl;congruence;destruct;apply;destruct;rewrite;reflexivity;exfalso;apply;rewrite;simpl;auto;destruct;exfalso;apply;rewrite;simpl;auto;apply;destruct;rewrite;reflexivity;rewrite;apply;destruct;exists;reflexivity
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,17,intros;induction;left;apply;apply;apply;rewrite;apply;apply;right;split;rewrite;reflexivity;split;reflexivity;apply;apply
in_tot_map_name,core/TotalMapSimulations.v,17,intros;apply;destruct;destruct;simpl;rewrite;assert;apply;left;reflexivity;rewrite;apply;apply;right;apply;left;reflexivity
nodup_pt_map,core/PartialMapSimulations.v,22,intros;apply;apply;intros;rewrite;destruct;rewrite;destruct;destruct;congruence;apply;apply;subst;congruence;apply;apply;subst;congruence;apply;apply;subst;congruence
at_head_of_queue_intro,systems/LockServ.v,4,unfold;intros;exists;exact
