name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,4,intros;unfold;simpl;reflexivity
reachable_seen,systems/SeqNumCorrect.v,33,apply;unfold;unfold;simpl;intuition;invcs;find_inversion;intros;apply;assumption;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;assumption;simpl;repeat;break_match;find_inversion;simpl;intuition;eauto;in_crush;eauto
refl_trans_1n_trace_trans,core/Net.v,9,intros;induction;simpl;assumption;rewrite;apply;assumption;apply;assumption
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,60,induction;simpl;intros;destruct;inversion;subst;simpl;destruct;congruence;reflexivity;inversion;destruct;destruct;destruct;destruct;simpl;apply;assumption;assumption;simpl;destruct;simpl;destruct;simpl;apply;assumption;assumption;simpl;apply;assumption;assumption;destruct;simpl;destruct;simpl;apply;assumption;assumption;simpl;simpl;apply;assumption;assumption;destruct;simpl;simpl;apply;assumption;assumption;destruct;simpl;simpl;apply;assumption;assumption;simpl;simpl;apply;assumption;assumption
locks_correct_locked_at_head,systems/LiveLockServ.v,9,intros;specialize;destruct;destruct;rewrite;inversion;subst;exists;assumption
trace_outputs_input,systems/Counter.v,4,intros;unfold;simpl;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,32,intros;unfold;simpl;apply;exists;split;apply;split;simpl;destruct;apply;contradiction;reflexivity;induction;simpl;contradiction;destruct;subst;simpl;destruct;apply;apply;left;reflexivity;simpl;destruct;apply;assumption;right;apply;assumption;reflexivity
reachable_intro,systems/LockServ.v,5,apply;constructor;intros;apply;assumption
locks_correct_update_true,systems/LiveLockServ.v,0,
nwnw_locked_lock,systems/LiveLockServ.v,11,intros;destruct;reflexivity;exfalso;apply;assumption;assumption;exfalso;apply;assumption;assumption
LockServ_mutual_exclusion_trace,systems/LockServ.v,39,intros;apply;simpl;split;auto;split;intros;inversion;intros;monad_unfold;repeat;break_let;repeat;find_inversion;simpl;destruct;destruct;now;inversion;destruct;destruct;split;eauto;split;eauto;eauto;split;destruct;eauto;eauto;split;intros;destruct;eauto;eauto;intros;destruct;eauto;eauto
inductive_invariant_true_in_reachable,core/Net.v,6,intros;apply;exact;intros;apply;auto
locks_correct_input_handlers,systems/LiveLockServ.v,3,set_up_input_handlers;apply;eauto
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,28,move;inversion;subst;clear;left;rewrite;unfold;simpl;rewrite;apply;intro;apply;apply;destruct;subst;apply;auto;move;destruct;left;apply;exact;right;split;exact;split;reflexivity;exact
in_tot_map_name,core/TotalMapSimulations.v,0,
nodup_pt_map,core/PartialMapSimulations.v,41,intros;destruct;revert;induction;simpl;intros;constructor;inversion;subst;simpl;constructor;intro;apply;destruct;simpl;inversion;clear;apply;assert;apply;rewrite;exact;assert;apply;exact;assert;apply;simpl;left;reflexivity;subst;reflexivity;apply;intros;apply;simpl;right;assumption;assumption;simpl;constructor
at_head_of_queue_intro,systems/LockServ.v,3,intros;exists;exact
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,75,move;have;rewrite;move;rewrite;invcs;destruct;destruct;simpl;break_match;have;rewrite;repeat;break_let;tuple_inversion;have;destruct;simpl;break_match;find_injection;rewrite;apply;rewrite;find_rewrite;rewrite;rewrite;exact;rewrite;destruct;simpl;break_match;find_injection;clean;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;rewrite;repeat;break_let;break_and;repeat;tuple_inversion;rewrite;rewrite;case;have;rewrite;repeat;break_let;tuple_inversion;apply;exact;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;break_and;unfold;repeat;break_let;repeat;tuple_inversion;rewrite;rewrite;rewrite;rewrite;split;exact
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,6,destruct;unfold;simpl;f_equal;rewrite;map_id
snoc_at_head_of_queue_preserved,systems/LockServ.v,7,intros;rewrite;rewrite;rewrite;simpl;exists;reflexivity
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,25,intros;induction;simpl;exact;simpl;destruct;simpl;split;intros;apply;destruct;apply;assumption;apply;left;reflexivity;assumption;apply;assumption;assumption;intros;apply;right;assumption;assumption
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,0,
Lock_delivered_MsgLock,systems/LiveLockServ.v,19,unfold;intros;invcs;simpl;rewrite;tauto;apply;rewrite;apply;now;simpl;subst;handler_unfold;repeat;break_match;repeat;tuple_inversion;simpl;auto
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,13,unfold;intros;specialize;destruct;exists;split;assumption;split;apply;exists;assumption;rewrite;assumption
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,6,intros;apply;auto;discriminate;apply;apply
nwnw_unlock_lock,systems/LiveLockServ.v,12,unfold;intros;destruct;reflexivity;exfalso;apply;exact;exact;exfalso;apply;exact;exact
disk_correct_reboot,systems/LogCorrect.v,48,intros;unfold;unfold;break_let;break_let;break_match;break_let;break_match;simpl;find_inversion;destruct;exists;repeat;split;assumption;simpl;find_inversion;destruct;destruct;exists;repeat;split;simpl;rewrite;rewrite;simpl;rewrite;reflexivity;lia;simpl;rewrite;reflexivity;simpl;rewrite;rewrite;reflexivity;simpl;rewrite;reflexivity;simpl;rewrite;rewrite;simpl;rewrite;reflexivity;lia;rewrite;reflexivity
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,18,intros;subst;induction;simpl;destruct;assumption;destruct;specialize;split;intros;apply;destruct;apply;assumption;apply;apply;assumption;assumption
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,4,intros;unfold;set_up_net_handlers;eauto
dup_drop_step_star_step_1,core/DupDropReordering.v,5,intros;apply;econstructor;eauto;constructor
pt_map_map_pair_eq,core/PartialMapSimulations.v,2,move;apply
trace_mutual_exclusion'_extend_input,systems/LockServ.v,35,induction;intros;simpl;auto;destruct;destruct;destruct;simpl;apply;assumption;destruct;simpl;destruct;simpl;apply;assumption;apply;assumption;apply;assumption;destruct;simpl;apply;assumption;destruct;simpl;destruct;simpl;discriminate;destruct;simpl;discriminate;apply;assumption;discriminate
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,19,move;have;have;rewrite;rewrite;move;induction;rewrite;rewrite;rewrite;exact;rewrite;apply;rewrite;apply;apply;case;exact;rewrite
mgv_ghost_simulation_1,core/GhostSimulations.v,29,move;apply;rewrite;rewrite;rewrite;rewrite;rewrite;move;set;set;have;rewrite;apply;case;rewrite;set;set;have;rewrite;apply;case;rewrite;set;set;have;rewrite;apply;case;rewrite
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,5,apply;intros;apply;assumption;apply
locks_correct_update_false,systems/LiveLockServ.v,18,intros;unfold;intros;unfold;simpl;destruct;inversion;subst;rewrite;discriminate;apply;exists;unfold;simpl;destruct;discriminate;simpl;assumption
last_holder'_input_extend,systems/LiveLockServ.v,0,
LockServ_nwnw_input_handlers_new_new,systems/LiveLockServ.v,19,intros;apply;destruct;destruct;destruct;rewrite;simpl;constructor;destruct;destruct;rewrite;simpl;constructor;rewrite;simpl;constructor;rewrite;simpl;constructor
PrimaryNetHandler_no_msgs,systems/Counter.v,6,intros;destruct;simpl;inversion;subst;reflexivity
log_input_handlers_spec,systems/LogCorrect.v,48,intros;unfold;unfold;break_if;break_let;find_inversion;simpl;destruct;exists;repeat;split;assumption;break_if;find_inversion;simpl;destruct;exists;repeat;split;rewrite;rewrite;cheerios_crush;chew;chew;assumption;rewrite;rewrite;simpl;rewrite;reflexivity;rewrite;simpl;reflexivity;find_inversion;simpl;destruct;exists;repeat;split;rewrite;rewrite;cheerios_crush;reflexivity;reflexivity;reflexivity;simpl;reflexivity;reflexivity
log_step_failure_star_simulation,systems/LogCorrect.v,15,intros;induction;subst;simpl;constructor;intros;subst;simpl;apply;apply;apply;apply;apply;apply;apply
step_ordered_failure_serialized_simulation_star,systems/SerializedMsgParamsCorrect.v,17,move;apply;destruct;rewrite;have;elim;simpl;reflexivity;rewrite;have;elim;simpl;reflexivity;rewrite;move;rewrite;exact
tot_map_net_label_event_inf_often_occurred_conv,core/TotalMapExecutionSimulations.v,11,move;apply;move;rewrite;case;destruct;simpl;discriminate;inversion;subst;exact
inputs_m_inr,systems/PrimaryBackup.v,4,intros;unfold;simpl;reflexivity
Nth_app,systems/LiveLockServ.v,6,intros;induction;simpl;constructor;constructor;assumption
pt_ext_init_handlers_fun_eq,core/PartialExtendedMapSimulations.v,5,apply;intros;rewrite;rewrite;reflexivity
nwnw_lock,systems/LiveLockServ.v,6,intros;unfold;repeat;split;intros;discriminate
locks_correct_net_handlers,systems/LiveLockServ.v,5,intros;set_up_net_handlers;eauto;eauto;eauto
step_ordered_dynamic_failure_tot_one_mapped_simulation_star_1,core/SingleSimulations.v,23,move;have;move;induction;rewrite;exists;rewrite;exact;rewrite;case;case;rewrite;move;have;have;case;rewrite;exists;exists;apply;rewrite;apply;exact
decomposition_invariant,core/StatePacketPacketDecomposition.v,156,unfold;split;intros;inversion;subst;clear;simpl;unfold;simpl;split;apply;split;intros;inversion;exact;intros;destruct;inversion;subst;clear;simpl;rename;apply;auto;split;assumption;split;intros;apply;destruct;apply;auto;apply;auto;apply;assumption;apply;apply;auto;assumption;intros;rewrite;destruct;simpl;inv;apply;apply;eauto;apply;assumption;assumption;simpl;rename;apply;auto;split;assumption;split;intros;simpl;rewrite;destruct;rewrite;destruct;simpl;inv;apply;auto;apply;simpl;left;reflexivity;rewrite;auto;destruct;destruct;assert;rewrite;apply;destruct;assumption;simpl;destruct;congruence;assumption;apply;eauto;apply;simpl;left;reflexivity;apply;auto;apply;apply;auto;apply;simpl;left;reflexivity;assert;revert;induction;simpl;intros;auto;simpl;destruct;destruct;subst;apply;assumption;split;intros;specialize;apply;simpl;destruct;left;right;auto;apply;assumption;assumption;intros;rewrite;destruct;simpl;inv;rewrite;simpl;destruct;rewrite;auto;destruct;apply;eauto;apply;simpl;left;reflexivity;apply;assumption;destruct;assert;rewrite;apply;destruct;assumption;simpl;destruct;congruence;assumption;apply;auto;inversion
map_id_tr,core/GhostSimulations.v,12,induction;simpl;reflexivity;destruct;simpl;f_equal;reflexivity;apply;rewrite;f_equal;reflexivity;apply
step_ordered_failure_tot_one_mapped_simulation_1,core/SingleSimulations.v,22,intros;inversion;subst;clear;rename;rename;rename;destruct;subst;destruct;specialize;destruct;right;eexists;apply;assumption;left;reflexivity;left;reflexivity;left;reflexivity
step_ordered_pt_mapped_simulation_1,core/PartialMapSimulations.v,0,
step_ordered_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,103,move;invcs;move;rewrite;rewrite;destruct;left;rewrite;apply;rewrite;exact;apply;rewrite;rewrite;repeat;break_let;inversion;subst;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;right;split;split;inversion;subst;rewrite;rewrite;move;destruct;left;rewrite;apply;apply;rewrite;rewrite;repeat;break_let;inversion;subst;rewrite;rewrite;rewrite;rewrite;rewrite;right;split;rewrite;split;inversion;subst;rewrite;rewrite;inversion;subst;move;destruct;left;apply;apply;rewrite;rewrite;rewrite;right;split;split;inversion;rewrite;simpl;rewrite;move;destruct;left;apply;apply;rewrite;rewrite;rewrite;right;split;split;inversion;rewrite;simpl;rewrite;move;left;apply;apply;rewrite;simpl;rewrite;move;left;rewrite;apply;apply;rewrite;rewrite;rewrite
lb_step_ordered_dynamic_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,67,move;have;rewrite;move;invcs;rewrite;case;have;rewrite;repeat;break_let;tuple_inversion;apply;rewrite;exact;rewrite;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;rewrite;repeat;break_let;break_and;repeat;tuple_inversion;rewrite;set;set;have;rewrite;apply;rewrite;break_if;break_if;rewrite;rewrite;rewrite;rewrite;case;have;rewrite;repeat;break_let;tuple_inversion;apply;exact;rewrite;have;rewrite;repeat;break_let;repeat;tuple_inversion;have;rewrite;repeat;break_let;break_and;repeat;tuple_inversion;rewrite;rewrite;rewrite
inputs_with_key_plus_key,systems/VarD.v,11,induction;intros;simpl;destruct;reflexivity;exfalso;congruence;destruct;simpl;rewrite;reflexivity
remove_neq_o,lib/FMapVeryWeak.v,7,intros;unfold;apply;intros;apply;apply;assumption
ack_in_flight_to_primary_backup,systems/Counter.v,7,intros;unfold;simpl;repeat;break_match;congruence;auto
step_1_star_trace_state_correct,systems/VarD.v,0,
LockServ_nwnw_net_handlers_old_new,systems/LiveLockServ.v,47,intros;destruct;simpl;apply;destruct;rewrite;simpl;contradiction;apply;destruct;destruct;destruct;destruct;rewrite;simpl;destruct;inversion;subst;assert;apply;assumption;unfold;intuition;discriminate;rewrite;simpl;contradiction;destruct;destruct;rewrite;simpl;contradiction;rewrite;simpl;destruct;inversion;subst;assert;apply;assumption;unfold;intuition;discriminate;destruct;rewrite;simpl;contradiction
not_in_map_not_in_failed,core/TotalMapSimulations.v,5,move;apply;rewrite;apply;exact
pt_ext_map_update_eq,core/PartialExtendedMapSimulations.v,22,intros;apply;intro;unfold;simpl;destruct;assert;rewrite;apply;destruct;simpl;reflexivity;congruence;assert;intro;apply;rewrite;apply;destruct;simpl;congruence;reflexivity
step_ordered_dynamic_star_lb_step_reachable,core/LabeledNet.v,24,rewrite;intros;invcs;set;apply;rewrite;apply;exact;apply;rewrite;repeat;break_let;tuple_inversion;set;apply;rewrite;apply;exact;apply;rewrite;repeat;break_let;tuple_inversion;rewrite
pt_map_odnet_tot_map_label_event_strong_fairness,core/PartialMapExecutionSimulations.v,13,move;rewrite;have;rewrite;apply;apply;move;rewrite;rewrite;unfold;apply;move;rewrite
step_1_star_singleton_trace,systems/PrimaryBackup.v,14,intros;induction;simpl;discriminate;destruct;destruct;simpl;discriminate;apply;exact;apply;reflexivity;subst;exact
lb_step_ordered_failure_tot_mapped_simulation_1,core/TotalMapExecutionSimulations.v,11,move;inversion;subst;clear;rewrite;constructor;constructor;apply;assumption;apply;assumption
step_failure_serialize_simulation_star,systems/SerializedMsgParamsCorrect.v,21,move;apply;rewrite;rewrite;rewrite;rewrite;move;set;have;rewrite;apply;case;rewrite;set;suff;rewrite;elim;case;case;rewrite;rewrite
reachable_intro,systems/LiveLockServ.v,3,intros;exists;assumption
refl_trans_n1_1n_trace,core/Net.v,5,intros;induction;constructor;apply;eauto
adjacent_to_irreflexive,core/NameOverlay.v,5,unfold;intros;inversion;apply;reflexivity
lb_step_execution_lb_step_ordered_dynamic_failure_tot_map_odnet_infseq,core/TotalMapExecutionSimulations.v,20,cofix;move;rewrite;inversion;subst;rewrite;apply;apply;have;destruct;have;destruct;simpl;find_rewrite;rewrite;set;have;pose;rewrite;exact
In_n_Nodes,systems/LockServ.v,7,intros;simpl;right;apply;apply;left;reflexivity
last_holder'_locked_some_eq,systems/LockServ.v,18,induction;intros;simpl;inversion;reflexivity;destruct;destruct;simpl;apply;assumption;destruct;simpl;apply;assumption;destruct;simpl;apply;assumption
locks_correct_unlock_true_to_false,systems/LockServ.v,12,intros;unfold;intros;exists;split;assumption;split;exists;rewrite;assumption;rewrite;assumption
tot_map_in_snd,core/TotalMapSimulations.v,8,intros;unfold;rewrite;apply;destruct;simpl;inversion;reflexivity
locks_correct_true_at_head_of_queue,systems/LiveLockServ.v,6,intros;unfold;specialize;destruct;exists;exact
dup_drop_step_star_step_n1,core/DupDropReordering.v,5,intros;apply;exact;constructor;exact
locks_correct_invariant,systems/LiveLockServ.v,6,assert;find_apply_lem_hyp;unfold;intros;apply;assumption
locks_correct_unlock_at_head,systems/LiveLockServ.v,10,intros;unfold;specialize;destruct;destruct;rewrite;inversion;subst;exists;assumption
network_eq,systems/SeqNumCorrect.v,6,intros;destruct;destruct;simpl;rewrite;reflexivity
locks_correct_locked_invariant,systems/LiveLockServ.v,11,intros;assert;find_apply_lem_hyp;unfold;specialize;unfold;destruct;apply;auto;destruct;apply
post_net_analyze_sent_packet,core/StatePacketPacketDecomposition.v,14,intros;rewrite;apply;destruct;apply;destruct;subst;simpl;left;split;assumption;reflexivity;right;assumption
ZOOOPST_cons_intro,systems/PrimaryBackup.v,8,unfold;intros;simpl;destruct;subst;apply;apply;assumption
Nth_tl,systems/LiveLockServ.v,7,intros;destruct;simpl;inversion;inversion;subst;assumption
NOABT_singleton_inl,systems/PrimaryBackup.v,7,unfold;intros;simpl;destruct;subst;discriminate;inversion
locks_correct_locked_at_head,systems/LockServ.v,8,intros;unfold;apply;destruct;rewrite;injection;exists;assumption
pt_map_odnet_tot_map_labeled_event_state_continuously_enabled,core/PartialMapExecutionSimulations.v,19,move;have;auto;move;apply;apply;exact;apply;exact;apply;exact;exact;rewrite;move;apply;apply;case;simpl;exact
ZOOOPST_singleton_singleton,systems/PrimaryBackup.v,13,unfold;simpl;intros;inversion;subst;clear;intros;inversion;subst;clear;right;exists;reflexivity
last_holder'_no_out_extend,systems/LiveLockServ.v,24,induction;simpl;intros;assumption;destruct;destruct;simpl;apply;assumption;destruct;simpl;destruct;simpl;destruct;apply;assumption;apply;assumption;apply;assumption;destruct;simpl;apply;assumption
pt_nodup_perm_map_map_pair_perm,core/PartialMapSimulations.v,0,
lb_step_ordered_dynamic_failure_pt_mapped_simulation_1_silent,core/PartialMapExecutionSimulations.v,0,
in_failed_exclude,core/TotalMapSimulations.v,22,move;elim;move;rewrite;case;simpl;apply;destruct;split;exact;right;destruct;split;move;apply;exact;left;apply;destruct;split;exact;right
disk_correct_invariant,systems/LogCorrect.v,0,
collate_pt_map_update2_eq,core/PartialMapSimulations.v,3,move;rewrite;rewrite
step_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,24,move;move;induction;rewrite;exists;split;exact;simpl;reflexivity;rewrite;rename;apply;case;move;exists;split;apply;rewrite;move;rewrite;move;exists;split;rewrite
correspond_preserved_primary_apply_entry,systems/PrimaryBackup.v,21,intros;subst;unfold;symmetry_in;destruct;simpl;destruct;rewrite;rewrite;simpl;destruct;simpl;inversion;subst;clear;split;rewrite;rewrite;simpl;apply;apply
reghost_deghost_partial_inverses,core/GhostSimulations.v,4,intros;destruct;simpl;reflexivity
LockServ_nwnw_input_handlers_old_new,systems/LiveLockServ.v,24,intros;apply;destruct;simpl;contradiction;subst;destruct;simpl;destruct;simpl;inversion;subst;apply;apply;reflexivity;destruct;destruct;simpl;contradiction;inversion;subst;apply;apply;reflexivity
step_async_pt_ext_mapped_simulation_star_1,core/PartialExtendedMapSimulations.v,12,move;induction;eexists;constructor;destruct;destruct;exists;econstructor;eauto;exists;rewrite;exact
filterMap_pt_map_trace_ev_outputs_eq,core/PartialMapSimulations.v,8,intros;induction;simpl;reflexivity;rewrite;destruct;simpl;reflexivity
locked_in_flight_all_clients_false,systems/LockServ.v,13,intros;destruct;destruct;auto;assert;apply;eauto;destruct;rewrite;inversion;subst;rewrite;discriminate
locks_correct_invariant,systems/LockServ.v,6,intros;assert;find_apply_lem_hyp;unfold;apply;auto
tot_map_odnet_hd_step_ordered_dynamic_failure_star_always,core/TotalMapExecutionSimulations.v,7,case;apply;exact;rewrite;apply;have;destruct
