name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,5,unfold;simpl;destruct;destruct;reflexivity
reachable_seen,systems/SeqNumCorrect.v,63,apply;unfold;unfold;simpl;intuition;invcs;find_inversion;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;find_rewrite;do_in_app;repeat;break_match;find_inversion;rewrite;intuition;apply;apply;auto;rewrite;intuition;intuition;intuition;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;break_match;find_inversion;simpl;find_apply_lem_hyp;find_apply_hyp_hyp;omega;simpl;intuition;in_crush;eauto
refl_trans_1n_trace_trans,core/Net.v,10,intros;induction;simpl;auto;simpl;rewrite;apply;exact;apply;exact
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,51,intros;induction;simpl;destruct;inversion;simpl;destruct;subst;exfalso;apply;auto;auto;destruct;destruct;destruct;destruct;destruct;simpl;apply;auto;simpl;destruct;destruct;apply;auto;apply;auto;apply;auto;destruct;simpl;apply;auto;destruct;simpl;apply;auto;destruct;simpl;apply;auto;destruct;simpl;apply;auto;apply;auto;destruct;simpl;apply;auto
locks_correct_locked_at_head,systems/LiveLockServ.v,12,intros;unfold;specialize;destruct;unfold;destruct;inversion;subst;apply;destruct;exists;assumption
trace_outputs_input,systems/Counter.v,4,intros;unfold;simpl;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,17,intros;unfold;simpl;apply;exists;split;auto;apply;split;apply;auto;destruct;exfalso;apply;rewrite;auto;auto
reachable_intro,systems/LockServ.v,3,intros;exists;exact
locks_correct_update_true,systems/LiveLockServ.v,15,intros;unfold;intros;destruct;subst;destruct;exists;rewrite;reflexivity;rewrite;auto;specialize;destruct;destruct;congruence
nwnw_locked_lock,systems/LiveLockServ.v,10,intros;destruct;destruct;auto;exfalso;apply;auto;exfalso;apply;auto
LockServ_mutual_exclusion_trace,systems/LockServ.v,28,intros;apply;apply;auto;split;split;simpl;auto;unfold;constructor;intros;inversion;intros;inversion;intros;inversion;subst;simpl;repeat;apply;apply;apply;destruct;destruct;destruct;simpl;intuition;eauto
inductive_invariant_true_in_reachable,core/Net.v,12,intros;unfold;intros;assert;intros;induction;intros;assumption;apply;apply;auto;apply
