name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,4,intros;unfold;simpl;reflexivity
reachable_seen,systems/SeqNumCorrect.v,61,apply;unfold;unfold;simpl;intuition;invcs;find_inversion;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;find_rewrite;do_in_app;repeat;break_match;find_inversion;rewrite;intuition;apply;apply;auto;rewrite;intuition;intuition;intuition;unfold;simpl;do_in_app;intuition;do_in_map;subst;simpl;repeat;break_match;find_inversion;simpl;intuition;apply;eauto;simpl;repeat;break_match;find_inversion;simpl;find_apply_lem_hyp;find_apply_hyp_hyp;omega;in_crush;eauto
refl_trans_1n_trace_trans,core/Net.v,6,intros;induction;assumption;apply;apply;apply
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,28,intros;induction;simpl;simpl;destruct;congruence;simpl;destruct;destruct;destruct;simpl;destruct;subst;simpl;apply;assumption;simpl;apply;assumption;simpl;apply;assumption;simpl;apply;assumption;simpl;apply;assumption
locks_correct_locked_at_head,systems/LiveLockServ.v,9,intros;unfold;specialize;destruct;unfold;destruct;subst;apply;assumption
trace_outputs_input,systems/Counter.v,4,intros;unfold;simpl;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,15,intros;unfold;simpl;apply;apply;split;apply;assumption;simpl;destruct;exfalso;apply;apply;assumption;reflexivity
reachable_intro,systems/LockServ.v,3,intros;exists;assumption
locks_correct_update_true,systems/LiveLockServ.v,14,intros;unfold;intros;destruct;subst;exists;apply;apply;destruct;exists;simpl;unfold;destruct;congruence
nwnw_locked_lock,systems/LiveLockServ.v,7,intros;unfold;destruct;specialize;destruct;contradiction;reflexivity
LockServ_mutual_exclusion_trace,systems/LockServ.v,0,
inductive_invariant_true_in_reachable,core/Net.v,7,intros;unfold;intros;induction;assumption;apply;assumption
locks_correct_input_handlers,systems/LiveLockServ.v,28,intros;unfold;intros;apply;destruct;subst;destruct;rewrite;apply;destruct;exists;assumption;destruct;rewrite;apply;destruct;exists;assumption;rewrite;apply;destruct;exists;assumption;rewrite;apply;destruct;exists;assumption
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,65,move;invcs;simpl;find_apply_lem_hyp;break_exists;break_and;left;apply;rewrite;rewrite;simpl;rewrite;reflexivity;rewrite;simpl;rewrite;reflexivity;rewrite;rewrite;eauto;reflexivity;simpl;find_apply_lem_hyp;break_exists;break_and;left;apply;rewrite;reflexivity;rewrite;reflexivity;rewrite;rewrite;reflexivity;simpl;left;apply;rewrite;rewrite;simpl;rewrite;reflexivity;reflexivity;simpl;left;apply;rewrite;rewrite;simpl;rewrite;reflexivity;reflexivity;simpl;left;apply;simpl;right;split;reflexivity;split;assumption;simpl;rewrite;reflexivity;assumption
in_tot_map_name,core/TotalMapSimulations.v,11,intros;apply;destruct;simpl;inversion;subst;apply;subst;apply;subst;assumption
