name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,18,simpl;rewrite;unfold;rewrite;simpl;rewrite;unfold;simpl;destruct;destruct;simpl;auto;destruct;simpl;auto;destruct;simpl;auto
reachable_seen,systems/SeqNumCorrect.v,12,apply;unfold;intros;simpl;auto;intros;unfold;destruct;induction;apply;apply;apply
refl_trans_1n_trace_trans,core/Net.v,7,intros;induction;apply;apply;assumption;apply;assumption
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,18,intros;induction;simpl;rewrite;reflexivity;simpl;destruct;simpl;destruct;simpl;apply;assumption;destruct;subst;apply;assumption;apply;assumption
locks_correct_locked_at_head,systems/LiveLockServ.v,9,intros;unfold;destruct;subst;destruct;subst;apply;rewrite;reflexivity
trace_outputs_input,systems/Counter.v,15,intros;simpl;unfold;simpl;rewrite;rewrite;unfold;simpl;destruct;destruct;discriminate;destruct;simpl;discriminate;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,13,intros;unfold;simpl;apply;apply;split;apply;apply;unfold;unfold;rewrite;apply;apply
reachable_intro,systems/LockServ.v,5,intros;unfold;exists;apply;apply
locks_correct_update_true,systems/LiveLockServ.v,8,intros;unfold;unfold;specialize;destruct;exists;rewrite;reflexivity
nwnw_locked_lock,systems/LiveLockServ.v,14,intros;destruct;apply;rewrite;contradiction;assert;apply;rewrite;reflexivity;apply;contradiction;apply;rewrite;contradiction
LockServ_mutual_exclusion_trace,systems/LockServ.v,25,intros;split;apply;apply;intros;apply;apply;auto;split;intros;apply;subst;apply;apply;apply;apply;apply;auto;intros;assert;apply;auto;apply;apply;auto
inductive_invariant_true_in_reachable,core/Net.v,13,intros;unfold;intros;unfold;destruct;induction;rewrite;exact;destruct;apply;apply;apply;assumption
locks_correct_input_handlers,systems/LiveLockServ.v,28,unfold;intros;destruct;subst;apply;destruct;rewrite;simpl;destruct;subst;exists;rewrite;apply;apply;rewrite;simpl;destruct;subst;exists;apply;apply;subst;exists;apply;apply;rewrite;apply;apply
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,53,intros;induction;left;rewrite;rewrite;rewrite;rewrite;rewrite;auto;rewrite;auto;rewrite;auto;left;rewrite;rewrite;rewrite;rewrite;rewrite;auto;rewrite;auto;rewrite;auto;left;rewrite;rewrite;rewrite;rewrite;rewrite;auto;rewrite;auto;rewrite;auto;right;split;auto;rewrite;auto;rewrite;auto;rewrite;auto;right;split;auto;rewrite;auto;rewrite;auto;rewrite;auto
in_tot_map_name,core/TotalMapSimulations.v,10,intros;unfold;apply;destruct;rewrite;apply;destruct;simpl;rewrite;apply
nodup_pt_map,core/PartialMapSimulations.v,8,intros;apply;intros;apply;destruct;apply;apply;apply
at_head_of_queue_intro,systems/LockServ.v,3,intros;exists;exact
