name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,4,intros;unfold;simpl;reflexivity
reachable_seen,systems/SeqNumCorrect.v,13,unfold;intros;destruct;destruct;induction;simpl;unfold;simpl;tauto;simpl;unfold;simpl;tauto
refl_trans_1n_trace_trans,core/Net.v,9,intros;induction;simpl;assumption;simpl;apply;assumption;apply;assumption
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,40,intros;induction;simpl;congruence;rewrite;simpl;destruct;destruct;simpl;destruct;rewrite;simpl;destruct;simpl;congruence;simpl;congruence;rewrite;simpl;destruct;simpl;congruence;simpl;congruence;simpl;destruct;rewrite;simpl;destruct;simpl;congruence;simpl;congruence;rewrite;simpl;destruct;simpl;congruence;simpl;congruence
locks_correct_locked_at_head,systems/LiveLockServ.v,12,intros;unfold;unfold;destruct;destruct;simpl;subst;assumption;destruct;simpl;subst;assumption
trace_outputs_input,systems/Counter.v,4,intros;unfold;simpl;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,6,intros;unfold;simpl;unfold;simpl;apply
reachable_intro,systems/LockServ.v,4,intros;unfold;eexists;eauto
locks_correct_update_true,systems/LiveLockServ.v,19,intros;unfold;intros;destruct;subst;find_inversion;simpl;destruct;simpl;congruence;simpl;congruence;simpl;specialize;destruct;left;assumption;right;assumption
nwnw_locked_lock,systems/LiveLockServ.v,409,intros;unfold;destruct;simpl;simpl;destruct;destruct;simpl;tauto;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;tauto;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;tauto
LockServ_mutual_exclusion_trace,systems/LockServ.v,0,
inductive_invariant_true_in_reachable,core/Net.v,8,intros;unfold;unfold;intros;induction;apply;specialize;tauto
locks_correct_input_handlers,systems/LiveLockServ.v,18,intros;unfold;intros;destruct;subst;rewrite;simpl;destruct;destruct;injection;intros;subst;simpl;omega;rewrite;simpl;apply;assumption
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,5,move;have;inversion;left;right
in_tot_map_name,core/TotalMapSimulations.v,23,intros;induction;simpl;contradiction;simpl;simpl;destruct;inversion;subst;left;f_equal;apply;apply;apply;simpl;auto;right;apply;intros;apply;simpl;auto;assumption
nodup_pt_map,core/PartialMapSimulations.v,34,intros;induction;simpl;apply;simpl;destruct;simpl;destruct;simpl;apply;intro;apply;destruct;destruct;simpl;destruct;simpl;inversion;subst;apply;apply;simpl;congruence;congruence;apply;intros;apply;right;assumption;apply;intros;apply;right;assumption
at_head_of_queue_intro,systems/LockServ.v,5,intros;unfold;rewrite;simpl;auto
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,0,
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,7,intros;unfold;apply;intros;destruct;destruct;destruct
snoc_at_head_of_queue_preserved,systems/LockServ.v,19,intros;unfold;destruct;left;rewrite;simpl;destruct;simpl;congruence;simpl;congruence;right;rewrite;simpl;destruct;simpl;congruence;simpl;congruence
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,17,intros;unfold;intros;apply;destruct;apply;destruct;apply;assumption;apply;assumption;apply;destruct;apply;assumption;apply;assumption
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,16,move;have;destruct;destruct;destruct;have;have;simpl;simpl;subst;exists;split;apply;apply;apply;apply
Lock_delivered_MsgLock,systems/LiveLockServ.v,4,intros;unfold;simpl;reflexivity
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,9,intros;unfold;intros;specialize;destruct;split;apply;apply;apply
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,31,intros;apply;intro;intro;apply;intro;intro;subst;simpl;destruct;simpl;destruct;simpl;destruct;simpl;destruct;simpl;contradiction;destruct;inversion;reflexivity;contradiction;destruct;inversion;reflexivity;contradiction;simpl;contradiction;apply;apply;assumption
nwnw_unlock_lock,systems/LiveLockServ.v,110,intros;unfold;destruct;destruct;simpl;simpl;destruct;destruct;simpl;tauto;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;tauto;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;tauto;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;tauto;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;tauto;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;tauto;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;tauto;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;tauto;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;tauto;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;tauto;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;destruct;tauto
disk_correct_reboot,systems/LogCorrect.v,15,intros;unfold;destruct;simpl;destruct;inversion;subst;simpl;assumption;simpl;destruct;inversion;subst;simpl;assumption
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,16,intros;subst;induction;simpl;inversion;subst;assumption;simpl;inversion;subst;apply;assumption;assumption;apply;assumption;assumption
