name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,2,simpl;reflexivity
reachable_seen,systems/SeqNumCorrect.v,27,unfold;apply;unfold;unfold;reflexivity;intros;destruct;simpl;unfold;destruct;simpl;apply;subst;destruct;simpl;auto;auto;unfold;destruct;simpl;apply;subst;destruct;simpl;auto;omega;auto
refl_trans_1n_trace_trans,core/Net.v,10,intros;induction;simpl;rewrite;assumption;simpl;apply;apply;apply;apply
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,18,induction;intros;simpl;congruence;destruct;destruct;simpl;auto;destruct;simpl;auto;destruct;subst;simpl;congruence;destruct;simpl;congruence
locks_correct_locked_at_head,systems/LiveLockServ.v,7,intros;rewrite;destruct;rewrite;inversion;subst;exact
trace_outputs_input,systems/Counter.v,3,unfold;simpl;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,9,intros;unfold;simpl;apply;exists;split;auto;split;auto
reachable_intro,systems/LockServ.v,4,intros;induction;apply;apply
locks_correct_update_true,systems/LiveLockServ.v,28,intros;unfold;destruct;split;intros;destruct;subst;exists;split;apply;congruence;rewrite;auto;apply;destruct;exists;split;auto;rewrite;auto;intros;destruct;subst;auto;rewrite;auto;apply;auto
nwnw_locked_lock,systems/LiveLockServ.v,8,intros;unfold;destruct;congruence;destruct;auto;destruct;congruence
LockServ_mutual_exclusion_trace,systems/LockServ.v,37,induction;intros;simpl;repeat;split;auto;unfold;intros;inversion;intros;inversion;intros;inversion;inv;repeat;inv;inv;inv;inv;unfold;unfold;repeat;inv;destruct;unfold;intros;apply;eauto;unfold;intros;repeat;apply;destruct;eauto;contradiction;auto;eauto
inductive_invariant_true_in_reachable,core/Net.v,8,intros;unfold;intros;induction;apply;assumption;apply;assumption
locks_correct_input_handlers,systems/LiveLockServ.v,9,intros;unfold;intros;destruct;subst;rewrite;auto;apply;apply
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,25,intros;inversion;subst;simpl;left;econstructor;eauto;apply;apply;apply;apply;simpl;auto;right;repeat;split;auto;apply;apply;simpl;auto;repeat;apply;apply;auto
in_tot_map_name,core/TotalMapSimulations.v,23,intros;induction;inversion;simpl;assert;apply;left;auto;subst;destruct;injection;subst;left;f_equal;rewrite;reflexivity;right;apply;intros;apply;right;auto;auto
nodup_pt_map,core/PartialMapSimulations.v,26,intros;induction;apply;simpl;destruct;apply;intro;apply;destruct;apply;apply;apply;exists;split;congruence;auto;apply;intros;apply;right;auto;apply;intros;apply;right;auto
at_head_of_queue_intro,systems/LockServ.v,3,intros;constructor;auto
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,6,intros;destruct;apply;auto;constructor;auto
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,7,intros;unfold;simpl;f_equal;apply;intros;apply
snoc_at_head_of_queue_preserved,systems/LockServ.v,7,intros;unfold;rewrite;destruct;inversion;simpl;congruence
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,30,intros;induction;intros;simpl;auto;simpl;apply;intros;apply;left;auto;auto;auto;simpl;apply;intros;rewrite;destruct;apply;auto;apply;left;auto;auto;apply;auto;intros;apply;right;auto
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,0,
Lock_delivered_MsgLock,systems/LiveLockServ.v,4,intros;unfold;simpl;auto
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,7,intros;destruct;auto;intros;apply;apply;exact
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,0,
nwnw_unlock_lock,systems/LiveLockServ.v,4,intros;inversion;subst;congruence
disk_correct_reboot,systems/LogCorrect.v,8,intros;unfold;destruct;simpl;destruct;inversion;subst;apply
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,25,intros;subst;induction;simpl;inversion;subst;assumption;inversion;subst;constructor;auto;apply;intros;apply;apply;destruct;apply;left;assumption;apply;right;simpl;auto;apply;assumption
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,18,intros;destruct;destruct;simpl;inversion;simpl;contradiction;injection;intros;subst;simpl;inversion;induction;contradiction;destruct;subst;eauto;eauto
dup_drop_step_star_step_1,core/DupDropReordering.v,3,intros;apply;apply
pt_map_map_pair_eq,core/PartialMapSimulations.v,8,intros;rewrite;rewrite;apply;apply;auto;apply;auto
trace_mutual_exclusion'_extend_input,systems/LockServ.v,27,intros;generalize_dependent;induction;intros;simpl;inversion;subst;constructor;auto;intros;inversion;subst;contradiction;inversion;inversion;subst;simpl;constructor;auto;apply;auto;intros;apply;apply;right;apply;auto
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,11,induction;exists;constructor;destruct;apply;destruct;eexists;rewrite;apply;eauto;exact
mgv_ghost_simulation_1,core/GhostSimulations.v,16,intros;inversion;subst;simpl;repeat;find_apply_lem_hyp;repeat;find_apply_lem_hyp;econstructor;eauto;apply;eauto;apply;eauto;apply;eauto
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,0,
locks_correct_update_false,systems/LiveLockServ.v,9,intros;unfold;intros;destruct;rewrite;auto;rewrite;auto;apply
last_holder'_input_extend,systems/LiveLockServ.v,0,
LockServ_nwnw_input_handlers_new_new,systems/LiveLockServ.v,15,intros;unfold;repeat;break_match;discriminate;simpl;auto;constructor;auto;apply;auto;apply;auto;apply;auto
PrimaryNetHandler_no_msgs,systems/Counter.v,5,intros;destruct;simpl;inversion;reflexivity
log_input_handlers_spec,systems/LogCorrect.v,15,intros;unfold;destruct;simpl;destruct;inversion;subst;apply;eauto;simpl;destruct;inversion;subst;apply;eauto
log_step_failure_star_simulation,systems/LogCorrect.v,8,intros;unfold;induction;apply;apply;apply;apply;apply
step_ordered_failure_serialized_simulation_star,systems/SerializedMsgParamsCorrect.v,6,induction;apply;apply;apply;apply;eauto
tot_map_net_label_event_inf_often_occurred_conv,core/TotalMapExecutionSimulations.v,9,intros;unfold;intros;destruct;exists;split;exact;rewrite;exact
inputs_m_inr,systems/PrimaryBackup.v,1,reflexivity
Nth_app,systems/LiveLockServ.v,5,intros;induction;apply;apply;apply
pt_ext_init_handlers_fun_eq,core/PartialExtendedMapSimulations.v,5,apply;rewrite;case;rewrite;case
nwnw_lock,systems/LiveLockServ.v,9,intros;unfold;destruct;apply;auto;apply;auto;apply;auto
locks_correct_net_handlers,systems/LiveLockServ.v,18,intros;unfold;intros;unfold;destruct;subst;rewrite;specialize;specialize;specialize;rewrite;destruct;inversion;subst;auto;rewrite;auto;apply
step_ordered_dynamic_failure_tot_one_mapped_simulation_star_1,core/SingleSimulations.v,63,move;move;induction;intros;exists;apply;rewrite;move;rewrite;case;case;move;case;case;move;case;case;case;case;move;rewrite;case;have;apply;case;exists;apply;exact;apply;apply;rewrite;rewrite;rewrite;move;rewrite;case;case;case;move;rewrite;case;have;apply;case;exists;apply;exact;apply;apply;rewrite;rewrite;rewrite;move;rewrite;case;case;case;move;rewrite;case;move;rewrite;case
decomposition_invariant,core/StatePacketPacketDecomposition.v,20,apply;unfold;split;intros;unfold;constructor;auto;apply;apply;intros;inv;constructor;auto;apply;eauto;apply;eauto;intros;apply;assumption
map_id_tr,core/GhostSimulations.v,7,induction;reflexivity;simpl;destruct;rewrite;rewrite;reflexivity
step_ordered_failure_tot_one_mapped_simulation_1,core/SingleSimulations.v,10,move;inversion;subst;simpl;left;reflexivity;right;eexists;apply;eauto
step_ordered_pt_mapped_simulation_1,core/PartialMapSimulations.v,54,intros;inversion;subst;simpl;destruct;left;rewrite;apply;eauto;right;split;auto;rewrite;auto;destruct;left;rewrite;apply;eauto;right;split;auto;rewrite;auto;destruct;left;rewrite;apply;eauto;right;split;auto;rewrite;auto;destruct;left;rewrite;apply;eauto;right;split;auto;rewrite;auto;destruct;left;rewrite;apply;eauto;right;split;auto;rewrite;auto
step_ordered_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,0,
lb_step_ordered_dynamic_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,38,move;inversion;subst;simpl;rewrite;congruence;econstructor;eauto;rewrite;reflexivity;apply;eauto;apply;eauto;apply;eauto;apply;eauto;apply;eauto;apply;eauto;apply;eauto;apply;eauto;apply;eauto;apply;eauto;apply;eauto;apply;eauto;apply;eauto;apply;eauto
inputs_with_key_plus_key,systems/VarD.v,0,
remove_neq_o,lib/FMapVeryWeak.v,17,induction;simpl;reflexivity;simpl;destruct;destruct;exfalso;apply;transitivity;symmetry;assumption;reflexivity;destruct;reflexivity;simpl;apply;assumption
ack_in_flight_to_primary_backup,systems/Counter.v,0,
step_1_star_trace_state_correct,systems/VarD.v,6,intros;induction;constructor;apply;apply;apply
LockServ_nwnw_net_handlers_old_new,systems/LiveLockServ.v,25,intros;unfold;destruct;destruct;simpl;destruct;simpl;destruct;simpl;inversion;subst;simpl;auto;inversion;subst;simpl;apply;assumption;apply;assumption;inversion;subst;simpl;apply;assumption
not_in_map_not_in_failed,core/TotalMapSimulations.v,10,intros;rewrite;rewrite;intros;apply;apply;exists;split;apply;exact
pt_ext_map_update_eq,core/PartialExtendedMapSimulations.v,17,intros;apply;intro;case;intro;rewrite;unfold;destruct;congruence;f_equal;apply;unfold;destruct;congruence;f_equal;apply;apply
step_ordered_dynamic_star_lb_step_reachable,core/LabeledNet.v,7,move;elim;apply;apply;exact;eexists;constructor
pt_map_odnet_tot_map_label_event_strong_fairness,core/PartialMapExecutionSimulations.v,36,intros;assert;apply;intros;apply;auto;unfold;intros;specialize;intro;assert;unfold;unfold;intros;specialize;destruct;exists;split;auto;unfold;rewrite;apply;auto;apply;unfold;unfold;intros;specialize;destruct;exists;split;auto;unfold;rewrite;apply;auto
step_1_star_singleton_trace,systems/PrimaryBackup.v,10,intros;inversion;subst;discriminate;destruct;inversion;subst;apply;simpl;inversion
lb_step_ordered_failure_tot_mapped_simulation_1,core/TotalMapExecutionSimulations.v,8,induction;simpl;econstructor;eauto;apply;rewrite;apply;rewrite
step_failure_serialize_simulation_star,systems/SerializedMsgParamsCorrect.v,7,induction;intros;apply;apply;apply;apply;auto
reachable_intro,systems/LiveLockServ.v,8,intros;induction;apply;apply;apply;apply;exists;exact
refl_trans_n1_1n_trace,core/Net.v,8,intros;induction;apply;apply;apply;apply;apply;apply
adjacent_to_irreflexive,core/NameOverlay.v,6,intros;unfold;destruct;contradiction;destruct;intuition
lb_step_execution_lb_step_ordered_dynamic_failure_tot_map_odnet_infseq,core/TotalMapExecutionSimulations.v,10,cofix;intros;inv;simpl;constructor;auto;apply;auto;apply;auto
In_n_Nodes,systems/LockServ.v,2,intros;apply
last_holder'_locked_some_eq,systems/LockServ.v,18,induction;simpl;intros;destruct;inversion;auto;destruct;destruct;simpl;apply;auto;destruct;simpl;apply;auto;destruct;inversion;auto
locks_correct_unlock_true_to_false,systems/LockServ.v,12,intros;unfold;simpl;destruct;simpl;subst;unfold;destruct;contradiction;simpl;rewrite;auto
