name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,3,intros;simpl;reflexivity
reachable_seen,systems/SeqNumCorrect.v,50,unfold;intros;destruct;induction;simpl;unfold;simpl;destruct;unfold;simpl;unfold;simpl;unfold;simpl;intros;discriminate;destruct;destruct;inversion;subst;simpl;unfold;simpl;intros;destruct;subst;simpl;destruct;apply;assumption;contradiction;apply;assumption;unfold;simpl;intros;destruct;subst;simpl;destruct;apply;assumption;contradiction;apply;assumption;unfold;simpl;intros;apply;assumption
refl_trans_1n_trace_trans,core/Net.v,9,intros;induction;apply;assumption;apply;apply;rewrite;apply;assumption
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,13,intros;unfold;destruct;inversion;subst;rewrite;simpl;rewrite;simpl;rewrite;simpl;reflexivity;discriminate
locks_correct_locked_at_head,systems/LiveLockServ.v,7,intros;unfold;destruct;unfold;rewrite;rewrite;assumption
trace_outputs_input,systems/Counter.v,3,intros;simpl;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,5,intros;unfold;simpl;apply;assumption
reachable_intro,systems/LockServ.v,4,intros;unfold;exists;assumption
locks_correct_update_true,systems/LiveLockServ.v,13,intros;unfold;intros;destruct;subst;rewrite;inversion;subst;apply;rewrite;assumption;apply;apply
nwnw_locked_lock,systems/LiveLockServ.v,13,intros;unfold;specialize;destruct;congruence;specialize;destruct;congruence;reflexivity;exfalso;apply;split;congruence
LockServ_mutual_exclusion_trace,systems/LockServ.v,94,intros;induction;split;unfold;intros;inversion;split;intros;inversion;intros;inversion;destruct;destruct;split;unfold;intros;apply;destruct;apply;assumption;simpl;destruct;subst;clear;unfold;destruct;simpl;discriminate;destruct;destruct;discriminate;inversion;subst;unfold;destruct;congruence;simpl;intros;destruct;subst;rewrite;discriminate;apply;assumption;contradiction;split;intros;apply;destruct;apply;assumption;simpl;destruct;subst;clear;unfold;destruct;simpl;discriminate;destruct;destruct;discriminate;inversion;subst;unfold;destruct;congruence;simpl;destruct;subst;rewrite;discriminate;assumption;contradiction;intros;unfold;destruct;simpl;discriminate;destruct;destruct;discriminate;inversion;subst;unfold;destruct;congruence;simpl;destruct;subst;apply;assumption;apply;assumption
inductive_invariant_true_in_reachable,core/Net.v,8,intros;unfold;intros;induction;apply;assumption;apply;assumption
locks_correct_input_handlers,systems/LiveLockServ.v,11,intros;unfold;intros;destruct;subst;rewrite;apply;eauto;rewrite;auto;apply
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,19,intros;inversion;subst;simpl;left;apply;auto;left;apply;auto;left;apply;auto;right;split;auto;split;auto;apply
in_tot_map_name,core/TotalMapSimulations.v,9,intros;apply;destruct;simpl;inversion;subst;apply;subst;assumption
nodup_pt_map,core/PartialMapSimulations.v,0,
at_head_of_queue_intro,systems/LockServ.v,4,intros;unfold;rewrite;reflexivity
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,27,intros;inversion;subst;split;inversion;subst;constructor;apply;assumption;simpl;rewrite;reflexivity;constructor;apply;assumption;simpl;rewrite;reflexivity;constructor;apply;assumption;simpl;rewrite;reflexivity;simpl;rewrite;apply
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,14,intros;unfold;destruct;simpl;f_equal;apply;intros;destruct;reflexivity;apply;intros;destruct;simpl;reflexivity
snoc_at_head_of_queue_preserved,systems/LockServ.v,13,intros;unfold;simpl;destruct;simpl;subst;simpl;discriminate;simpl;inversion;subst;simpl;assumption
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,20,intros;induction;simpl;assumption;simpl;apply;apply;apply;apply;assumption;intros;apply;destruct;apply;right;assumption;apply;left;reflexivity;assumption
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,0,
Lock_delivered_MsgLock,systems/LiveLockServ.v,4,intros;unfold;simpl;reflexivity
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,10,intros;unfold;intros;specialize;destruct;exists;split;apply;assumption;assumption
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,23,intros;unfold;destruct;unfold;apply;intros;unfold;destruct;simpl;destruct;simpl;contradiction;destruct;simpl;contradiction;destruct;contradiction;subst;simpl;assumption;exists;simpl;assumption
nwnw_unlock_lock,systems/LiveLockServ.v,18,intros;unfold;specialize;destruct;destruct;reflexivity;exfalso;apply;auto;exfalso;apply;auto;exfalso;apply;auto;exfalso;apply;auto
disk_correct_reboot,systems/LogCorrect.v,18,intros;unfold;destruct;destruct;inversion;subst;unfold;intros;specialize;destruct;simpl;rewrite;rewrite;reflexivity;simpl;rewrite;rewrite;reflexivity
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,13,intros;subst;induction;simpl;inversion;subst;assumption;simpl;inversion;subst;apply;constructor;assumption
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,11,intros;unfold;intros;destruct;apply;subst;specialize;assumption;apply;specialize;assumption
dup_drop_step_star_step_1,core/DupDropReordering.v,3,intros;apply;assumption
pt_map_map_pair_eq,core/PartialMapSimulations.v,27,intros;unfold;destruct;discriminate;inversion;subst;clear;apply;unfold;rewrite;apply;apply;intros;unfold;destruct;auto;apply;congruence;intros;unfold;destruct;auto;apply;congruence;apply;apply;apply
trace_mutual_exclusion'_extend_input,systems/LockServ.v,32,intros;unfold;intros;apply;apply;destruct;apply;eauto;destruct;contradiction;inversion;subst;destruct;contradiction;apply;eauto;destruct;contradiction;inversion;subst;destruct;contradiction;apply;eauto;destruct;contradiction;destruct;contradiction;inversion;inversion;subst;contradiction
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,0,
mgv_ghost_simulation_1,core/GhostSimulations.v,27,intros;inversion;subst;apply;auto;unfold;simpl;rewrite;simpl;rewrite;auto;apply;auto;unfold;simpl;rewrite;simpl;rewrite;auto;apply;auto;unfold;simpl;rewrite;simpl;rewrite;auto
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,12,apply;intros;unfold;intros;destruct;destruct;congruence;assert;admit;subst;reflexivity;congruence
locks_correct_update_false,systems/LiveLockServ.v,12,intros;unfold;intros;destruct;subst;rewrite;rewrite;simpl;auto;rewrite;auto;apply
last_holder'_input_extend,systems/LiveLockServ.v,31,intros;unfold;destruct;apply;destruct;rewrite;discriminate;simpl;destruct;destruct;discriminate;destruct;discriminate;rewrite;discriminate;apply;apply;exfalso;apply;intros;apply;destruct;apply;assumption;simpl;destruct;inversion;subst;simpl;rewrite;reflexivity
LockServ_nwnw_input_handlers_new_new,systems/LiveLockServ.v,33,intros;unfold;intros;apply;destruct;inversion;subst;apply;destruct;inversion;subst;destruct;destruct;simpl;destruct;subst;right;exists;split;auto;split;auto;intros;apply;apply;exists;auto;left;intros;apply;apply;exists;auto
PrimaryNetHandler_no_msgs,systems/Counter.v,6,intros;unfold;destruct;inversion;subst;reflexivity
log_input_handlers_spec,systems/LogCorrect.v,32,intros;unfold;break_match;discriminate;find_inversion;unfold;intros;specialize;destruct;simpl;destruct;subst;simpl;rewrite;rewrite;assumption;rewrite;auto;rewrite;auto;assumption;destruct;subst;simpl;rewrite;rewrite;assumption;rewrite;auto;rewrite;auto;assumption
log_step_failure_star_simulation,systems/LogCorrect.v,13,intros;induction;apply;inversion;subst;apply;apply;apply;assumption;apply;apply;apply;assumption
step_ordered_failure_serialized_simulation_star,systems/SerializedMsgParamsCorrect.v,26,intros;generalize_dependent;generalize_dependent;induction;intros;subst;constructor;destruct;destruct;simpl;inversion;subst;apply;apply;apply;auto;apply;econstructor;eauto;unfold;rewrite;rewrite;rewrite;rewrite;apply;eauto
tot_map_net_label_event_inf_often_occurred_conv,core/TotalMapExecutionSimulations.v,11,intros;unfold;intros;specialize;destruct;exists;split;auto;unfold;simpl;assumption
inputs_m_inr,systems/PrimaryBackup.v,3,intros;simpl;reflexivity
Nth_app,systems/LiveLockServ.v,5,intros;induction;apply;apply;apply
pt_ext_init_handlers_fun_eq,core/PartialExtendedMapSimulations.v,6,apply;intros;unfold;destruct;reflexivity;reflexivity
nwnw_lock,systems/LiveLockServ.v,20,intros;unfold;intros;destruct;congruence;exists;split;assumption;intros;unfold;specialize;destruct;apply;assumption;unfold;intros;specialize;destruct;apply;assumption
locks_correct_net_handlers,systems/LiveLockServ.v,11,intros;unfold;intros;destruct;subst;rewrite;apply;eauto;rewrite;auto;apply
step_ordered_dynamic_failure_tot_one_mapped_simulation_star_1,core/SingleSimulations.v,38,intros;revert;induction;intros;subst;simpl;unfold;rewrite;destruct;discriminate;simpl;inversion;subst;exists;constructor;destruct;destruct;simpl;destruct;apply;subst;unfold;destruct;discriminate;simpl;inversion;subst;specialize;destruct;exists;constructor;auto;apply;specialize;destruct;exists;constructor;auto
decomposition_invariant,core/StatePacketPacketDecomposition.v,16,unfold;intros;destruct;unfold;destruct;unfold;split;admit;admit;unfold;destruct;unfold;destruct;split;admit;admit
map_id_tr,core/GhostSimulations.v,12,intros;induction;reflexivity;simpl;destruct;simpl;f_equal;apply;simpl;f_equal;rewrite;apply
step_ordered_failure_tot_one_mapped_simulation_1,core/SingleSimulations.v,0,
step_ordered_pt_mapped_simulation_1,core/PartialMapSimulations.v,20,intros;inversion;subst;simpl;right;split;reflexivity;destruct;right;split;auto;simpl;rewrite;reflexivity;left;constructor;auto;simpl;rewrite;reflexivity
