name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,3,intros;simpl;reflexivity
reachable_seen,systems/SeqNumCorrect.v,5,unfold;exists;split;apply;reflexivity
refl_trans_1n_trace_trans,core/Net.v,8,intros;induction;apply;apply;apply;apply;apply;apply
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,14,intros;unfold;rewrite;destruct;apply;rewrite;simpl;rewrite;destruct;simpl;rewrite;reflexivity;discriminate;discriminate
locks_correct_locked_at_head,systems/LiveLockServ.v,5,intros;destruct;apply;apply;auto
trace_outputs_input,systems/Counter.v,3,intros;simpl;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,8,intros;unfold;unfold;apply;unfold;destruct;simpl;apply
reachable_intro,systems/LockServ.v,6,intros;induction;apply;apply;assumption;apply
locks_correct_update_true,systems/LiveLockServ.v,20,intros;unfold;unfold;apply;destruct;split;split;intros;destruct;apply;subst;rewrite;apply;apply;intros;destruct;apply;subst;apply;apply
nwnw_locked_lock,systems/LiveLockServ.v,6,intros;destruct;apply;apply;rewrite;assumption
LockServ_mutual_exclusion_trace,systems/LockServ.v,16,intros;split;apply;exact;split;intros;apply;destruct;apply;apply;exact;intros;apply;apply;apply;exact
inductive_invariant_true_in_reachable,core/Net.v,12,intros;unfold;induction;exists;split;auto;destruct;exists;split;constructor;auto;apply
locks_correct_input_handlers,systems/LiveLockServ.v,13,intros;unfold;destruct;split;intros;specialize;unfold;destruct;subst;rewrite;apply;apply;assumption
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,14,intros;destruct;left;apply;destruct;admit;admit;right;destruct;split;assumption;split;assumption;assumption
in_tot_map_name,core/TotalMapSimulations.v,14,intros;unfold;apply;destruct;apply;destruct;simpl;rewrite;apply;destruct;subst;apply;apply;apply
nodup_pt_map,core/PartialMapSimulations.v,33,intros;unfold;apply;apply;intros;apply;destruct;simpl;apply;apply;exists;split;auto;apply;simpl;apply;apply;exists;split;auto;apply;intros;destruct;simpl;apply;destruct;apply;subst;apply;apply;exists;split;auto
at_head_of_queue_intro,systems/LockServ.v,5,intros;unfold;rewrite;simpl;reflexivity
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,13,intros;inversion;destruct;unfold;destruct;split;split;rewrite;apply;auto;apply;apply;apply
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,4,intros;unfold;mgv_reghost;reflexivity
snoc_at_head_of_queue_preserved,systems/LockServ.v,12,intros;unfold;destruct;rewrite;rewrite;simpl;rewrite;assert;lia;rewrite;apply;apply
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,26,intros;unfold;unfold;destruct;destruct;split;intros;apply;apply;destruct;destruct;apply;assumption;apply;assumption;apply;assumption;apply;assumption;intros;apply;destruct;apply;assumption;apply;assumption
