name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,3,intros;simpl;reflexivity
reachable_seen,systems/SeqNumCorrect.v,10,apply;intros;apply;assumption;inversion;subst;clear;apply;assumption;assumption
refl_trans_1n_trace_trans,core/Net.v,8,intros;induction;simpl;apply;apply;apply;apply;assumption
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,17,intros;induction;simpl;inversion;subst;simpl;reflexivity;destruct;destruct;inversion;subst;simpl;reflexivity;apply;assumption;apply;assumption
locks_correct_locked_at_head,systems/LiveLockServ.v,5,intros;unfold;rewrite;rewrite;exact
trace_outputs_input,systems/Counter.v,3,intros;simpl;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,20,intros;unfold;simpl;apply;exists;split;reflexivity;apply;split;assumption;unfold;simpl;destruct;apply;destruct;apply;subst;apply;assumption;reflexivity
reachable_intro,systems/LockServ.v,3,intros;exists;assumption
locks_correct_update_true,systems/LiveLockServ.v,13,intros;unfold;intros;unfold;simpl;destruct;subst;simpl;apply;simpl;apply;reflexivity;assumption
nwnw_locked_lock,systems/LiveLockServ.v,3,intros;apply;assumption
LockServ_mutual_exclusion_trace,systems/LockServ.v,18,intros;induction;simpl;split;apply;split;intros;inversion;destruct;split;apply;assumption;split;intros;apply;assumption;apply;assumption
inductive_invariant_true_in_reachable,core/Net.v,15,intros;intros;assert;intros;induction;intros;auto;apply;eauto;apply;assumption;apply;apply;apply;assumption
locks_correct_input_handlers,systems/LiveLockServ.v,9,intros;unfold;intros;unfold;destruct;destruct;congruence;simpl;auto
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,24,intros;induction;right;split;split;auto;simpl;reflexivity;destruct;left;simpl;apply;eauto;right;split;split;auto;simpl;rewrite;reflexivity;left;simpl;apply;eauto
in_tot_map_name,core/TotalMapSimulations.v,12,intros;apply;destruct;injection;apply;subst;assert;rewrite;rewrite;reflexivity;rewrite;exact
nodup_pt_map,core/PartialMapSimulations.v,42,intros;destruct;induction;simpl;constructor;simpl;unfold;rewrite;now;left;simpl;constructor;intros;apply;destruct;unfold;rewrite;now;right;assumption;inversion;subst;apply;assumption;apply;intros;apply;now;right;induction;simpl;constructor;simpl;unfold;rewrite;now;left;apply;intros;apply;now;right
at_head_of_queue_intro,systems/LockServ.v,3,intros;exists;assumption
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,9,intros;induction;simpl;contradiction;apply;apply;assumption;apply;assumption
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,4,intros;destruct;simpl;reflexivity
snoc_at_head_of_queue_preserved,systems/LockServ.v,7,intros;unfold;simpl;rewrite;rewrite;simpl;constructor
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,23,intros;induction;simpl;assumption;simpl;split;intros;apply;destruct;apply;assumption;apply;left;reflexivity;assumption;apply;assumption;assumption;intros;apply;right;assumption;assumption
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,19,intros;assert;now;rewrite;clear;revert;induction;intros;exists;split;apply;assumption;destruct;destruct;exists;split;apply;eauto;assumption
Lock_delivered_MsgLock,systems/LiveLockServ.v,4,intros;unfold;simpl;reflexivity
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,12,intros;destruct;subst;unfold;destruct;exists;split;assumption;apply;assumption;unfold;assumption
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,10,intros;apply;apply;assumption;intros;apply;apply;assumption;intros;apply
nwnw_unlock_lock,systems/LiveLockServ.v,6,intros;inversion;subst;clear;discriminate;assumption
disk_correct_reboot,systems/LogCorrect.v,3,intros;apply;eauto
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,23,intros;subst;induction;simpl;inversion;subst;discriminate;apply;assumption;simpl;inversion;subst;discriminate;apply;apply;inversion;subst;discriminate;apply;apply;split;assumption;assumption
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,3,intros;apply;eauto
dup_drop_step_star_step_1,core/DupDropReordering.v,4,intros;apply;apply;apply
pt_map_map_pair_eq,core/PartialMapSimulations.v,6,intros;rewrite;rewrite;rewrite;rewrite;reflexivity
trace_mutual_exclusion'_extend_input,systems/LockServ.v,3,intros;constructor;assumption
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,4,intros;apply;apply;apply
mgv_ghost_simulation_1,core/GhostSimulations.v,9,intros;inversion;subst;clear;constructor;apply;eauto;constructor;eauto
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,5,apply;apply;intros;apply;eauto
locks_correct_update_false,systems/LiveLockServ.v,18,intros;unfold;intros;unfold;destruct;simpl;inversion;subst;rewrite;discriminate;destruct;simpl;inversion;subst;rewrite;discriminate;apply;assumption
last_holder'_input_extend,systems/LiveLockServ.v,8,intros;rewrite;simpl;rewrite;destruct;simpl;assumption;contradiction
LockServ_nwnw_input_handlers_new_new,systems/LiveLockServ.v,17,intros;unfold;destruct;simpl;constructor;destruct;simpl;constructor;unfold;destruct;simpl;auto;intros;inversion;constructor;simpl;inversion
PrimaryNetHandler_no_msgs,systems/Counter.v,6,intros;unfold;simpl;destruct;inversion;reflexivity
log_input_handlers_spec,systems/LogCorrect.v,0,
log_step_failure_star_simulation,systems/LogCorrect.v,7,intros;induction;apply;apply;apply;apply;assumption
step_ordered_failure_serialized_simulation_star,systems/SerializedMsgParamsCorrect.v,6,induction;apply;apply;apply;assumption;assumption
tot_map_net_label_event_inf_often_occurred_conv,core/TotalMapExecutionSimulations.v,10,intros;induction;apply;unfold;rewrite;apply;assumption;apply;rewrite;apply
inputs_m_inr,systems/PrimaryBackup.v,3,intros;simpl;reflexivity
Nth_app,systems/LiveLockServ.v,5,intros;induction;simpl;constructor;auto
pt_ext_init_handlers_fun_eq,core/PartialExtendedMapSimulations.v,6,apply;intro;unfold;destruct;reflexivity;congruence
nwnw_lock,systems/LiveLockServ.v,7,intros;unfold;split;intros;simpl;rewrite;reflexivity
locks_correct_net_handlers,systems/LiveLockServ.v,8,intros;destruct;rewrite;apply;eauto;rewrite;apply;eauto
step_ordered_dynamic_failure_tot_one_mapped_simulation_star_1,core/SingleSimulations.v,16,intros;induction;intros;inversion;subst;clear;inversion;subst;clear;exists;constructor;destruct;destruct;exists;constructor;assumption
decomposition_invariant,core/StatePacketPacketDecomposition.v,5,split;apply;intros;apply;eauto
map_id_tr,core/GhostSimulations.v,8,induction;simpl;reflexivity;destruct;destruct;simpl;rewrite;reflexivity
step_ordered_failure_tot_one_mapped_simulation_1,core/SingleSimulations.v,3,intros;specialize;exact
step_ordered_pt_mapped_simulation_1,core/PartialMapSimulations.v,0,
step_ordered_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,3,intros;apply;eauto
lb_step_ordered_dynamic_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,9,intros;inversion;subst;clear;congruence;econstructor;eauto;simpl;reflexivity
inputs_with_key_plus_key,systems/VarD.v,14,intros;induction;simpl;rewrite;destruct;reflexivity;exfalso;apply;reflexivity;destruct;rewrite;reflexivity;rewrite;reflexivity
remove_neq_o,lib/FMapVeryWeak.v,3,intros;apply;assumption
ack_in_flight_to_primary_backup,systems/Counter.v,5,intros;unfold;simpl;rewrite;reflexivity
step_1_star_trace_state_correct,systems/VarD.v,5,intros;induction;constructor;econstructor;eauto
LockServ_nwnw_net_handlers_old_new,systems/LiveLockServ.v,0,
not_in_map_not_in_failed,core/TotalMapSimulations.v,5,intros;apply;rewrite;apply;assumption
pt_ext_map_update_eq,core/PartialExtendedMapSimulations.v,19,intros;apply;intros;unfold;simpl;destruct;subst;rewrite;simpl;destruct;reflexivity;contradiction;simpl;destruct;exfalso;apply;rewrite;congruence;reflexivity
step_ordered_dynamic_star_lb_step_reachable,core/LabeledNet.v,10,unfold;intros;induction;exists;constructor;destruct;destruct;exists;econstructor;eauto
pt_map_odnet_tot_map_label_event_strong_fairness,core/PartialMapExecutionSimulations.v,3,intros;apply;eauto
step_1_star_singleton_trace,systems/PrimaryBackup.v,20,intros;inversion;subst;clear;simpl;inversion;simpl;destruct;simpl;inversion;subst;rewrite;exact;destruct;simpl;inversion;subst;inversion;simpl;discriminate
lb_step_ordered_failure_tot_mapped_simulation_1,core/TotalMapExecutionSimulations.v,8,intros;induction;simpl;constructor;constructor;apply;assumption;apply
step_failure_serialize_simulation_star,systems/SerializedMsgParamsCorrect.v,7,intros;apply;apply;simpl;split;reflexivity;apply
reachable_intro,systems/LiveLockServ.v,3,intros;exists;assumption
refl_trans_n1_1n_trace,core/Net.v,16,intros;induction;constructor;assumption;revert;induction;intros;simpl;constructor;assumption;constructor;assumption;constructor;assumption;apply;assumption
adjacent_to_irreflexive,core/NameOverlay.v,4,unfold;intros;apply;reflexivity
lb_step_execution_lb_step_ordered_dynamic_failure_tot_map_odnet_infseq,core/TotalMapExecutionSimulations.v,9,cofix;intros;inversion;simpl;apply;apply;assumption;apply;assumption
In_n_Nodes,systems/LockServ.v,11,intros;unfold;destruct;rewrite;left;apply;apply;rewrite;right;apply;apply
last_holder'_locked_some_eq,systems/LockServ.v,26,intros;revert;induction;intros;simpl;inversion;reflexivity;simpl;destruct;destruct;destruct;apply;assumption;destruct;apply;assumption;destruct;destruct;apply;assumption;apply;assumption;apply;assumption;apply;assumption
locks_correct_unlock_true_to_false,systems/LockServ.v,24,intros;unfold;split;intros;simpl;rewrite;simpl;destruct;congruence;inversion;split;intros;simpl;rewrite;simpl;destruct;congruence;inversion;simpl;rewrite;simpl;destruct;congruence;apply
tot_map_in_snd,core/TotalMapSimulations.v,8,intros;unfold;simpl;apply;destruct;rewrite;simpl;reflexivity
locks_correct_true_at_head_of_queue,systems/LiveLockServ.v,4,intros;destruct;apply;assumption
dup_drop_step_star_step_n1,core/DupDropReordering.v,9,intros;induction;apply;assumption;apply;apply;assumption;apply;assumption
locks_correct_invariant,systems/LiveLockServ.v,5,intros;induction;apply;apply;eauto
locks_correct_unlock_at_head,systems/LiveLockServ.v,7,intros;unfold;destruct;rewrite;inversion;subst;exact
network_eq,systems/SeqNumCorrect.v,5,destruct;simpl;intros;subst;reflexivity
locks_correct_locked_invariant,systems/LiveLockServ.v,16,intros;induction;simpl;inversion;destruct;apply;assumption;destruct;destruct;simpl;inversion;subst;simpl;destruct;simpl;auto
post_net_analyze_sent_packet,core/StatePacketPacketDecomposition.v,14,intros;apply;destruct;apply;destruct;subst;left;split;simpl;assumption;simpl;reflexivity;right;assumption
ZOOOPST_cons_intro,systems/PrimaryBackup.v,3,intros;constructor;assumption
Nth_tl,systems/LiveLockServ.v,7,intros;destruct;inversion;simpl;inversion;subst;assumption
NOABT_singleton_inl,systems/PrimaryBackup.v,3,intros;simpl;trivial
locks_correct_locked_at_head,systems/LockServ.v,3,intros;apply;eauto
pt_map_odnet_tot_map_labeled_event_state_continuously_enabled,core/PartialMapExecutionSimulations.v,10,intros;unfold;intros;specialize;destruct;exists;simpl;rewrite;apply;auto
ZOOOPST_singleton_singleton,systems/PrimaryBackup.v,6,intros;simpl;apply;simpl;apply;apply
last_holder'_no_out_extend,systems/LiveLockServ.v,6,intros;unfold;rewrite;simpl;rewrite;reflexivity
pt_nodup_perm_map_map_pair_perm,core/PartialMapSimulations.v,11,intros;apply;apply;assumption;rewrite;rewrite;apply;intros;reflexivity;apply;assumption
lb_step_ordered_dynamic_failure_pt_mapped_simulation_1_silent,core/PartialMapExecutionSimulations.v,8,intros;apply;eauto;destruct;split;rewrite;assumption;exact
in_failed_exclude,core/TotalMapSimulations.v,25,intros;induction;simpl;inversion;destruct;apply;destruct;split;assumption;apply;assumption;simpl;destruct;subst;split;intro;apply;assumption;apply;apply;destruct;split;assumption;apply;assumption
disk_correct_invariant,systems/LogCorrect.v,6,intros;induction;intros;apply;apply;eauto
collate_pt_map_update2_eq,core/PartialMapSimulations.v,25,intros;apply;intros;induction;simpl;destruct;simpl;destruct;simpl;reflexivity;destruct;simpl;rewrite;rewrite;rewrite;destruct;simpl;destruct;simpl;rewrite;reflexivity;rewrite;reflexivity;rewrite;reflexivity
step_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,0,
correspond_preserved_primary_apply_entry,systems/PrimaryBackup.v,16,intros;destruct;simpl;discriminate;simpl;destruct;simpl;discriminate;destruct;simpl;discriminate;inversion;clear;subst;econstructor;eauto
reghost_deghost_partial_inverses,core/GhostSimulations.v,14,intros;apply;intros;unfold;simpl;destruct;simpl;f_equal;reflexivity;induction;simpl;reflexivity;rewrite;reflexivity
LockServ_nwnw_input_handlers_old_new,systems/LiveLockServ.v,2,intros;finish_handler_nwnw
step_async_pt_ext_mapped_simulation_star_1,core/PartialExtendedMapSimulations.v,3,intros;apply;eauto
filterMap_pt_map_trace_ev_outputs_eq,core/PartialMapSimulations.v,9,intros;induction;simpl;reflexivity;destruct;simpl;rewrite;reflexivity;apply
locked_in_flight_all_clients_false,systems/LockServ.v,2,intros;apply
locks_correct_invariant,systems/LockServ.v,2,induction;eauto
tot_map_odnet_hd_step_ordered_dynamic_failure_star_always,core/TotalMapExecutionSimulations.v,14,intros;cofix;apply;simpl;apply;assumption;simpl;apply;apply;apply;apply;assumption;apply;assumption
last_holder_some_unlock_inv,systems/LiveLockServ.v,5,intros;unfold;rewrite;simpl;assumption
in_map_pair_adjacent_to,core/TotalMapSimulations.v,16,intros;clear;unfold;induction;simpl;inversion;destruct;inversion;subst;simpl;left;reflexivity;simpl;right;apply;assumption
NOABT_app,systems/PrimaryBackup.v,10,intros;induction;simpl;assumption;destruct;simpl;split;assumption;apply;assumption
revert_trace_app,systems/PrimaryBackup.v,7,intros;induction;simpl;reflexivity;simpl;rewrite;reflexivity
locks_correct_unlock_sent_locked,systems/LiveLockServ.v,4,intros;unfold;now;rewrite
map_eq_name_eq_eq,core/TotalMapSimulations.v,16,induction;intros;simpl;destruct;reflexivity;discriminate;destruct;discriminate;inversion;clear;apply;subst;destruct;simpl;subst;reflexivity
last_holder'_input_inv,systems/LiveLockServ.v,12,intros;unfold;rewrite;simpl;destruct;inversion;subst;unfold;simpl;reflexivity;now;contradict
snoc_at_head_of_queue_preserved,systems/LiveLockServ.v,8,intros;unfold;destruct;exists;simpl;rewrite;rewrite;reflexivity
post_input_analyze_sent_packet,core/StatePacketPacketDecomposition.v,13,intros;apply;destruct;left;apply;destruct;rewrite;simpl;split;assumption;reflexivity;right;assumption
NOABT_singleton_inr_read_response,systems/PrimaryBackup.v,8,intros;simpl;constructor;intros;destruct;simpl;discriminate;constructor
InputHandler_lbcases,systems/LiveLockServ.v,39,intros;destruct;simpl;destruct;simpl;inversion;subst;clear;left;exists;split;reflexivity;left;repeat;split;simpl;auto;destruct;simpl;inversion;subst;clear;left;exists;split;reflexivity;right;repeat;split;simpl;auto;inversion;subst;clear;right;repeat;split;simpl;auto
processPackets_ge_start,systems/SeqNumCorrect.v,20,induction;intros;simpl;inversion;subst;clear;inversion;destruct;simpl;destruct;inversion;subst;clear;simpl;destruct;subst;apply;assumption;apply;apply
locked_in_flight_all_clients_false,systems/LiveLockServ.v,4,intros;apply;assumption;assumption
processInputs_cons_defn,systems/PrimaryBackup.v,3,intros;simpl;reflexivity
locks_correct_true_at_head_of_queue,systems/LockServ.v,4,intros;unfold;apply;assumption
filterMap_pt_map_name_msg_empty_eq,core/PartialMapSimulations.v,7,intros;rewrite;rewrite;exact;intros;now;rewrite
all_Names_Nodes,systems/Counter.v,2,intros;apply
outputs_1_on_nil,systems/PrimaryBackup.v,2,simpl;reflexivity
ServerNetHandler_cases,systems/LockServ.v,53,intros;unfold;destruct;simpl;destruct;simpl;inversion;subst;clear;split;reflexivity;left;exists;split;reflexivity;split;reflexivity;destruct;left;simpl;reflexivity;right;simpl;reflexivity;inversion;subst;clear;split;reflexivity;right;left;split;reflexivity;split;reflexivity;destruct;left;simpl;reflexivity;right;exists;simpl;reflexivity;inversion;subst;clear;split;reflexivity;right;right;split;reflexivity;reflexivity
processInputs_app,systems/PrimaryBackup.v,11,induction;intros;simpl;destruct;reflexivity;destruct;simpl;rewrite;simpl;rewrite;reflexivity
