name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,3,intros;simpl;reflexivity
reachable_seen,systems/SeqNumCorrect.v,0,
refl_trans_1n_trace_trans,core/Net.v,10,intros;induction;intros;simpl;assumption;simpl;apply;assumption;apply;assumption
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,43,intros;induction;simpl;inversion;subst;simpl;destruct;contradiction;reflexivity;destruct;destruct;destruct;simpl;apply;assumption;simpl;simpl;destruct;destruct;apply;assumption;apply;assumption;apply;assumption;simpl;apply;assumption;destruct;simpl;apply;assumption;destruct;destruct;simpl;apply;assumption;simpl;apply;assumption;simpl;apply;assumption
locks_correct_locked_at_head,systems/LiveLockServ.v,9,intros;specialize;destruct;destruct;rewrite;injection;subst;exists;exact
trace_outputs_input,systems/Counter.v,4,intros;unfold;simpl;reflexivity
revertNetwork_In,systems/SeqNumCorrect.v,18,intros;unfold;simpl;apply;exists;split;apply;split;simpl;destruct;exfalso;apply;apply;assumption;reflexivity;apply;assumption;reflexivity
reachable_intro,systems/LockServ.v,3,intros;exists;exact
locks_correct_update_true,systems/LiveLockServ.v,22,intros;unfold;destruct;intros;unfold;simpl;destruct;inversion;subst;exists;unfold;simpl;destruct;discriminate;reflexivity;apply;exists;unfold;simpl;destruct;discriminate;reflexivity
nwnw_locked_lock,systems/LiveLockServ.v,11,intros;destruct;reflexivity;exfalso;apply;assumption;reflexivity;exfalso;apply;assumption;reflexivity
LockServ_mutual_exclusion_trace,systems/LockServ.v,0,
inductive_invariant_true_in_reachable,core/Net.v,6,intros;induction;apply;apply;apply;assumption
locks_correct_input_handlers,systems/LiveLockServ.v,50,intros;apply;destruct;subst;unfold;intros;unfold;simpl;destruct;subst;destruct;rewrite;apply;destruct;exists;simpl;destruct;discriminate;exact;congruence;apply;destruct;exists;simpl;destruct;discriminate;exact;unfold;intros;unfold;simpl;destruct;subst;rewrite;apply;destruct;exists;simpl;destruct;discriminate;exact;apply;destruct;exists;simpl;destruct;subst;rewrite;exact;exact
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,137,intros;inversion;subst;clear;simpl;destruct;left;apply;simpl;rewrite;rewrite;rewrite;rewrite;reflexivity;apply;assumption;rewrite;assumption;exact;simpl;rewrite;rewrite;rewrite;assumption;rewrite;simpl;rewrite;rewrite;rewrite;reflexivity;right;split;simpl;rewrite;rewrite;rewrite;reflexivity;rewrite;simpl;rewrite;rewrite;rewrite;reflexivity;split;reflexivity;simpl;rewrite;simpl;rewrite;rewrite;reflexivity;rewrite;simpl;rewrite;rewrite;rewrite;reflexivity;simpl;destruct;left;apply;apply;assumption;rewrite;assumption;exact;simpl;rewrite;rewrite;rewrite;reflexivity;simpl;rewrite;assumption;reflexivity;right;split;simpl;rewrite;reflexivity;split;reflexivity;simpl;rewrite;simpl;reflexivity;right;split;simpl;rewrite;rewrite;rewrite;destruct;reflexivity;split;reflexivity;simpl;rewrite;rewrite;rewrite;destruct;reflexivity;right;split;simpl;rewrite;rewrite;rewrite;destruct;reflexivity;split;reflexivity;simpl;rewrite;rewrite;rewrite;destruct;reflexivity;left;apply;apply;assumption;left;apply;apply;assumption;simpl;apply;simpl;unfold;rewrite;simpl;rewrite;f_equal;apply;intros;reflexivity
in_tot_map_name,core/TotalMapSimulations.v,11,intros;apply;injection;clear;apply;rewrite;assert;rewrite;apply;rewrite;exact
nodup_pt_map,core/PartialMapSimulations.v,39,intros;induction;simpl;constructor;destruct;simpl;inversion;subst;clear;simpl;destruct;assert;apply;simpl;left;reflexivity;subst;constructor;apply;intros;apply;simpl;right;assumption;assumption;apply;intros;apply;simpl;right;assumption;assumption;apply;intros;apply;simpl;right;assumption;assumption
at_head_of_queue_intro,systems/LockServ.v,4,intros;unfold;exists;assumption
lb_step_ordered_failure_pt_mapped_simulation_1_non_silent,core/PartialMapExecutionSimulations.v,0,
mgv_reghost_deghost_partial_inverses,core/GhostSimulations.v,12,intros;destruct;simpl;unfold;simpl;rewrite;apply;apply;intros;unfold;simpl;reflexivity
snoc_at_head_of_queue_preserved,systems/LockServ.v,8,intros;exists;unfold;simpl;rewrite;rewrite;simpl;reflexivity
distinct_pairs_and_app,core/StatePacketPacketDecomposition.v,21,intros;induction;simpl;assumption;destruct;split;intros;apply;destruct;apply;assumption;apply;simpl;auto;apply;assumption;assumption;intros;apply;simpl;auto
step_async_tot_mapped_simulation_2,core/TotalMapSimulations.v,0,
Lock_delivered_MsgLock,systems/LiveLockServ.v,20,intros;inversion;subst;clear;simpl;unfold;cbn;destruct;cbn;inversion;subst;assumption;apply;simpl;rewrite;apply;right;assumption;apply;assumption
locks_correct_locked_at_head_preserved,systems/LiveLockServ.v,24,intros;unfold;specialize;destruct;unfold;destruct;assert;exists;exact;specialize;destruct;exists;split;exact;split;exists;exact;unfold;simpl;destruct;discriminate;simpl;rewrite;reflexivity
Unlock_in_network_eventually_MsgUnlock,systems/LiveLockServ.v,8,intros;apply;discriminate;apply;apply;assumption;assumption;assumption
nwnw_unlock_lock,systems/LiveLockServ.v,12,intros;destruct;destruct;exact;exfalso;apply;assumption;assumption;exfalso;apply;assumption;assumption
disk_correct_reboot,systems/LogCorrect.v,39,intros;destruct;unfold;assert;apply;assumption;rewrite;clear;simpl;inversion;subst;clear;unfold;simpl;unfold;exists;split;rewrite;reflexivity;split;rewrite;discriminate;rewrite;discriminate;rewrite;reflexivity;split;simpl;reflexivity;split;rewrite;discriminate;rewrite;reflexivity;split;simpl;reflexivity;simpl;reflexivity
distinct_pairs_and_app_cons,core/StatePacketPacketDecomposition.v,20,intros;revert;induction;simpl;intros;destruct;exact;destruct;split;intros;apply;rewrite;destruct;left;assumption;right;constructor;assumption;apply;assumption
LockServ_nwnw_net_handlers_old_new,systems/LockServ.v,53,intros;destruct;simpl;apply;destruct;rewrite;inversion;apply;destruct;clear;destruct;destruct;destruct;rewrite;inversion;subst;clear;unfold;split;intros;discriminate;split;intros;discriminate;split;intros;destruct;apply;destruct;rewrite;discriminate;intros;destruct;apply;destruct;rewrite;discriminate;rewrite;inversion;destruct;destruct;rewrite;inversion;rewrite;inversion;subst;clear;assert;apply;apply;exact;rewrite;inversion
dup_drop_step_star_step_1,core/DupDropReordering.v,5,intros;apply;apply;exact;apply
pt_map_map_pair_eq,core/PartialMapSimulations.v,0,
trace_mutual_exclusion'_extend_input,systems/LockServ.v,38,intros;revert;induction;intros;simpl;exact;destruct;simpl;destruct;subst;simpl;destruct;simpl;destruct;simpl;apply;apply;assumption;apply;assumption;simpl;apply;assumption;destruct;simpl;apply;assumption;destruct;destruct;simpl;inversion;inversion;destruct;simpl;inversion;apply;assumption;inversion
step_ordered_dynamic_failure_pt_mapped_simulation_star_1,core/PartialMapSimulations.v,22,intros;induction;intros;destruct;simpl;apply;intros;simpl;specialize;destruct;apply;apply;apply;assumption;rewrite;rewrite;simpl;assert;rewrite;reflexivity;rewrite;apply
mgv_ghost_simulation_1,core/GhostSimulations.v,63,intros;inversion;subst;clear;unfold;simpl;rewrite;rewrite;rewrite;simpl;destruct;simpl;inversion;subst;apply;assumption;reflexivity;simpl;rewrite;simpl;f_equal;rewrite;apply;unfold;simpl;rewrite;simpl;destruct;simpl;inversion;subst;apply;assumption;reflexivity;simpl;rewrite;reflexivity;unfold;simpl;rewrite;apply;simpl;rewrite;reflexivity;unfold;simpl;rewrite;apply;simpl;rewrite;reflexivity;unfold;simpl;apply;unfold;simpl;apply;assumption;rewrite;reflexivity;simpl;rewrite;reflexivity
true_in_reachable_mutual_exclusion,systems/LiveLockServ.v,7,assert;apply;intros;apply;destruct;apply;assumption
locks_correct_update_false,systems/LiveLockServ.v,15,intros;unfold;intros;simpl;destruct;simpl;rewrite;discriminate;apply;destruct;exists;simpl;destruct;contradiction;assumption
last_holder'_input_extend,systems/LiveLockServ.v,39,intros;revert;induction;intros;simpl;assumption;destruct;destruct;simpl;destruct;simpl;apply;assumption;destruct;simpl;destruct;simpl;apply;assumption;apply;assumption;apply;assumption;simpl;apply;assumption;destruct;simpl;destruct;simpl;apply;assumption;destruct;simpl;apply;assumption;simpl;apply;assumption
LockServ_nwnw_input_handlers_new_new,systems/LiveLockServ.v,30,intros;apply;destruct;destruct;destruct;subst;simpl;split;intros;inversion;trivial;destruct;destruct;destruct;subst;simpl;split;intros;inversion;trivial;destruct;subst;simpl;split;intros;inversion;trivial;subst;simpl;trivial
PrimaryNetHandler_no_msgs,systems/Counter.v,5,intros;destruct;simpl;inversion;reflexivity
log_input_handlers_spec,systems/LogCorrect.v,127,intros;destruct;unfold;cbn;destruct;simpl;destruct;simpl;apply;subst;injection;subst;clear;cbn;specialize;simpl;unfold;simpl;rewrite;simpl;assert;exact;clear;unfold;cbn;cbn;specialize;clear;assert;exact;clear;specialize;simpl;unfold;simpl;rewrite;simpl;assert;exact;clear;assert;exact;cbn;assert;exact;clear;specialize;simpl;unfold;simpl;rewrite;simpl;assert;exact;clear;exists;repeat;split;auto;assumption;assumption;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity;apply;injection;subst;clear;cbn;specialize;simpl;unfold;simpl;rewrite;simpl;assert;exact;clear;assert;exact;clear;specialize;simpl;unfold;simpl;rewrite;simpl;assert;exists;split;auto;destruct;clear;assert;exact;clear;specialize;simpl;unfold;simpl;rewrite;simpl;assert;exact;clear;exists;repeat;split;auto;assumption;exact;assumption;rewrite;auto;rewrite;simpl;reflexivity;simpl;rewrite;rewrite;reflexivity
