name,file,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,7,intros;unfold;simpl;repeat;break_match;simpl;congruence
reachable_seen,systems/SeqNumCorrect.v,80,apply;unfold;intros;simpl;inversion;intros;assert;invcs;intros;destruct;destruct;subst;destruct;subst;simpl;unfold;simpl;destruct;simpl;invcs;simpl;unfold;unfold;destruct;simpl;destruct;apply;unfold;simpl;rewrite;simpl;apply;apply;apply;simpl;apply;omega;apply;simpl;apply;omega;simpl;unfold;simpl;destruct;simpl;invcs;unfold;destruct;subst;destruct;congruence;simpl;destruct;apply;unfold;simpl;rewrite;simpl;apply;apply;simpl;assumption;apply;simpl;assumption;simpl;unfold;simpl;destruct;simpl;invcs;apply;simpl;clear;destruct;subst;apply;omega;assumption
refl_trans_1n_trace_trans,core/Net.v,9,intros;induction;simpl;assumption;rewrite;apply;assumption;apply;assumption
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,32,induction;simpl;intros;destruct;simpl;discriminate;inversion;subst;simpl;destruct;contradiction;reflexivity;destruct;simpl;destruct;simpl;destruct;apply;assumption;destruct;simpl;destruct;apply;assumption;apply;assumption;apply;assumption;apply;assumption;apply;assumption
locks_correct_locked_at_head,systems/LiveLockServ.v,10,intros;unfold;specialize;destruct;rewrite;injection;subst;unfold;exists;assumption
trace_outputs_input,systems/Counter.v,7,intros;unfold;simpl;repeat;break_match;simpl;congruence
revertNetwork_In,systems/SeqNumCorrect.v,12,intros;unfold;simpl;apply;apply;split;apply;assumption;simpl;break_if;find_inversion;reflexivity
reachable_intro,systems/LockServ.v,3,intros;exists;exact
locks_correct_update_true,systems/LiveLockServ.v,0,
nwnw_locked_lock,systems/LiveLockServ.v,11,intros;destruct;reflexivity;exfalso;apply;assumption;assumption;exfalso;apply;assumption;assumption
LockServ_mutual_exclusion_trace,systems/LockServ.v,61,apply;split;simpl;constructor;split;simpl;auto;intros;inversion;subst;simpl;repeat;split;destruct;simpl;destruct;simpl;destruct;simpl;congruence;inversion;clear;subst;simpl;destruct;simpl;apply;auto;apply;auto;apply;auto;destruct;destruct;simpl;intros;simpl;rewrite;auto;apply;intros;simpl;apply;eauto;intros;simplify_eq;auto;destruct;destruct;simpl;intros;apply;auto;intros;apply;simpl;subst;auto;intros;apply;eauto
inductive_invariant_true_in_reachable,core/Net.v,6,intros;apply;auto;intros;apply;assumption
locks_correct_input_handlers,systems/LiveLockServ.v,15,set_up_input_handlers;now;rewrite;intros;destruct;inversion;subst;rewrite;apply;assumption;rewrite;apply;assumption;apply;assumption
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,105,move;case;move;rewrite;case;left;apply;rewrite;apply;have;rewrite;rewrite;rewrite;rewrite;rewrite;right;split;rewrite;rewrite;move;move;move;move;case;case;rewrite;case;move;simpl;f_equal;apply;rewrite;case;split;rewrite;move;rewrite;case;left;apply;apply;have;rewrite;rewrite;rewrite;rewrite;rewrite;right;split;rewrite;rewrite;move;move;move;case;rewrite;have;rewrite;split;rewrite;move;rewrite;case;left;apply;rewrite;rewrite;rewrite;rewrite;right;split;rewrite;rewrite;rewrite;split;move;rewrite;case;left;apply;rewrite;rewrite;rewrite;rewrite;right;split;rewrite;rewrite;rewrite;split;move;left;apply;move;left;apply;apply;rewrite;rewrite;rewrite;f_equal;apply;rewrite;case;rewrite
in_tot_map_name,core/TotalMapSimulations.v,10,move;apply;injection;clear;specialize;simpl;rewrite;have;rewrite;rewrite
nodup_pt_map,core/PartialMapSimulations.v,47,intros;unfold;destruct;assert;intros;apply;subst;apply;assert;induction;simpl;auto;rewrite;left;reflexivity;simpl;rewrite;reflexivity;rewrite;clear;revert;induction;simpl;constructor;intros;apply;destruct;destruct;simpl;inversion;subst;clear;apply;subst;apply;destruct;simpl;inversion;subst;clear;apply;apply;exists;split;auto;apply;apply
at_head_of_queue_intro,systems/LockServ.v,3,intros;exists;exact
