name,file,theorems_before_count,tactics_count,tactics
trace_outputs_backup,systems/Counter.v,22,1,auto
reachable_seen,systems/SeqNumCorrect.v,9,78,apply;unfold;simpl;intuition;find_apply_lem_hyp;unfold;invcs;unfold;repeat;break_match;find_inversion;simpl;eauto;apply;break_if;simpl;intuition;subst;eauto;repeat;find_rewrite;apply;eauto;eauto;case;intro;rewrite;rewrite;rewrite;case;intro;rewrite;rewrite;apply;apply;right;left;auto;apply;eauto;rewrite;eauto;case;intro;rewrite;rewrite;rewrite;case;intro;rewrite;rewrite;apply;apply;right;left;auto;apply;eauto;rewrite;eauto;unfold;repeat;break_match;find_inversion;simpl;eauto;apply;break_if;simpl;intuition;subst;eauto;repeat;find_rewrite;apply;eauto;eauto;eauto
refl_trans_1n_trace_trans,core/Net.v,0,8,intros;induction;simpl;auto;concludes;rewrite;constructor;auto
last_holder'_neq_unlock_extend,systems/LiveLockServ.v,71,8,induction;intros;simpl;repeat;break_match;subst;congruence;intuition
locks_correct_locked_at_head,systems/LiveLockServ.v,12,6,unfold;firstorder;repeat;find_rewrite;find_inversion;eauto
trace_outputs_input,systems/Counter.v,21,7,intros;unfold;simpl;repeat;break_match;simpl;congruence
revertNetwork_In,systems/SeqNumCorrect.v,11,10,intros;unfold;simpl;in_crush;apply;intuition;apply;auto;break_if;intuition
reachable_intro,systems/LockServ.v,55,3,unfold;intros;eauto
locks_correct_update_true,systems/LiveLockServ.v,11,6,unfold;intros;destruct;rewrite;find_inversion;auto
nwnw_locked_lock,systems/LiveLockServ.v,31,5,unfold;intros;destruct;intuition;discriminate
LockServ_mutual_exclusion_trace,systems/LockServ.v,72,158,apply;intros;intuition;red;red;auto;unfold;simpl;discriminate;unfold;simpl;discriminate;invcs;monad_unfold;repeat;break_let;repeat;find_inversion;unfold;break_match;find_apply_lem_hyp;break_and;break_or_hyp;intuition;subst;apply;auto;rewrite;find_apply_lem_hyp;auto;rewrite;find_apply_hyp_hyp;apply;auto;intuition;subst;apply;auto;destruct;auto;find_apply_hyp_hyp;rewrite;eauto;discriminate;my_update_destruct;find_inversion;rewrite;auto;find_apply_lem_hyp;congruence;my_update_destruct;find_inversion;rewrite;apply;rewrite;eauto;discriminate;find_apply_lem_hyp;break_and;subst;repeat;split;apply;auto;intros;my_update_destruct;discriminate;rewrite;find_apply_lem_hyp;auto;intros;my_update_destruct;discriminate;rewrite;apply;auto;unfold;break_match;unfold;monad_unfold;repeat;break_match;repeat;find_inversion;intuition;repeat;rewrite;apply;find_apply_lem_hyp;apply;auto;apply;auto;congruence;rewrite;find_apply_lem_hyp;congruence;auto;rewrite;apply;auto;congruence;apply;auto;rewrite;auto;discriminate;my_update_destruct;find_inversion;rewrite;discriminate;assert;eauto;unfold;assert;eauto;congruence;apply;auto;rewrite;find_apply_lem_hyp;auto;rewrite;assert;congruence;find_apply_hyp_hyp;apply;auto;apply;auto;congruence;rewrite;find_apply_lem_hyp;congruence;auto;rewrite;apply;auto;congruence;unfold;monad_unfold;find_inversion;intuition;repeat;rewrite;apply;apply;auto;find_apply_lem_hyp;rewrite;find_apply_lem_hyp;auto;apply;auto;rewrite;unfold;rewrite;auto
inductive_invariant_true_in_reachable,core/Net.v,3,6,unfold;intros;break_exists;induction;intuition;eauto
locks_correct_input_handlers,systems/LiveLockServ.v,7,2,set_up_input_handlers;auto
step_failure_pt_mapped_simulation_1,core/PartialMapSimulations.v,8,111,move;invcs;rewrite;case;destruct;simpl;move;case;move;find_inversion;left;rewrite;set;have;apply;exact;rewrite;repeat;break_let;find_inversion;pose;have;rewrite;break_match;rewrite;find_inversion;rewrite;rewrite;right;rewrite;destruct;simpl;move;case;move;have;break_and;rewrite;rewrite;set;set;have;rewrite;apply;rewrite;case;rewrite;rewrite;rewrite;case;left;apply;exact;rewrite;repeat;break_let;tuple_inversion;rewrite;rewrite;right;rewrite;have;rewrite;split;rewrite;rewrite;set;set;have;rewrite;apply;rewrite;case;rewrite;rewrite;case;left;destruct;simpl;move;case;move;find_inversion;rewrite;find_rewrite;rewrite;move;set;move;set;exact;right;split;rewrite;find_rewrite;rewrite;rewrite;find_rewrite;case;right;left;rewrite;exact;left;exact;rewrite;left;rewrite;apply;exact;rewrite
in_tot_map_name,core/TotalMapSimulations.v,23,15,move;elim;case;case;inversion;rewrite;have;rewrite;left;left;right;apply;move;apply;right
nodup_pt_map,core/PartialMapSimulations.v,18,26,move;elim;move;exact;case;inversion;rewrite;have;rewrite;rewrite;rewrite;rewrite;case;apply;apply;move;apply;right;apply;move;apply;right;apply;move;apply;right
at_head_of_queue_intro,systems/LockServ.v,10,2,unfold;firstorder
